Year,Mean_asmmeg,Mean_chattisgarh,Mean_coastalkar,Mean_gnbwl,Mean_gujarat,Mean_kerala,Mean_kngoa,Mean_marathwada,Mean_mpmah,Mean_nwest,Mean_orissa,Mean_pen,Mean_saurashtra,Mean_shwbl,Mean_southkar,Mean_telangana,Mean_vidarbha,Mean_wmp,Mean_westup
1964,3867.5,3162,6879.5,2401.25,2521,4597.5,6206.75,1730,1712.5,1422.25,3139,1983.25,1213.75,6205.5,1784.25,2016,2577.25,2266.75,2260.75
1965,3720.5,2253.25,5748,2529.75,1570.25,3660.5,5214.25,1643.25,1404.5,907.5,2469.5,1445,1004,5385.5,1005.25,2001.5,1846.25,1580.25,1403.5
1966,4649.75,2179.5,5490.5,2301,1715.75,3512.25,4809,1468.25,1144.25,1024,2591.75,1642.25,751.75,5115.25,1350.75,1860.25,2387.25,1518.75,1928.75
1967,3201,2882.25,7204.25,3030.5,2231.25,5026.75,6080.5,1557.25,1766,1395.25,2908.25,1603,1668,4459,1110.75,2104.25,1925.25,2193,2644
1968,3869.25,2438,7174,3299.75,1377.75,6522.75,4042.75,1451.5,1345.5,855,2605.25,1623.75,780.5,4691.5,1307.75,1436,2050.25,2072,1596.75
1969,3630,2516,6547.25,2841.75,1564.5,4624.25,6603,1818.25,1955.25,913.75,2869.5,1420.75,618.5,4750.75,1083.5,1964.25,2313.5,2544,2143.75
1970,4130.5,3338.5,9598,3302.5,2936.75,4723.5,7188.5,2285.75,1555.75,1603.5,2233.5,1728,1937.5,5148.5,977,2256.25,3221.75,2545.25,1712
1971,3112.75,3233.5,7529.25,3970.25,1901.5,5596,5599.5,1190.25,1317,1365,2819,1673.5,1040,4825.75,1335.5,1293,1736,2577.25,2156.25
1972,3306.5,2667,5534.5,2817.75,1085.25,3933.5,3997.75,795.75,851.75,776.5,2822.75,1346,515.75,3943.5,1129.5,1095.25,1443,1830,1492
1973,3867,3039,7454,3152.75,2719.25,4301.5,6181.75,1968,1636.25,1580.5,2903.75,1589,921,4478.5,1375.5,1834.25,2647.75,3307.5,1708.25
1974,4930,1833.5,8004,3224.75,744.75,5526,6217.25,1394.5,1397.25,750,1887,1804.25,243.5,5704,1312.5,1358,1644,1890,1560.75
1975,3054.5,3075,11557,2770,2803.25,6303.75,7488.75,2291.25,1831.5,1697.25,2738,2154.5,1051.5,5238.75,1543,2202.5,2799,2398,2409.75
1976,3926.25,2644.75,6317.75,2164,2929.75,3151.5,6083,1447.25,1645.5,1589,2426.5,1389.25,1176.75,4474.25,790.75,2101,2211.75,2422.5,2153
1977,3720.5,3484.75,6890,3114,2664.25,4473.75,6480.25,1301.75,1102.25,1588.25,2787.25,1593,1253.5,4198.75,1266.75,1403,2401.5,2481,2142.75
1978,3254,2715.25,8525,3506.5,1954,5118.75,6514.25,1574.5,1195.75,1444.25,2513,1961.5,1098.75,3752.5,1382.25,2675,2460.75,2522.5,2620.25
1979,4139,1897,6418.25,2258.25,1725.75,4671,5535.5,1895.75,1704.5,1187,2175.5,1589.5,2133.75,4036,1571.25,1454.25,2416.75,1444.25,935
1980,3244.25,3485.5,7534.75,2710.75,1942.5,4938,5696,1868.5,1448,1197.5,3139,1637,1530.5,5043,1422.75,1919.5,2452,2067.25,2031
1981,3340.75,2392.5,8178,2895.5,2383.25,6315.75,6494.75,1891.5,1812.5,1184,2734.75,1988.5,1224.75,4594.75,1420,2288.5,2839.5,1951.25,1595.5
1982,3485.5,2262,8439.75,2262,1450.5,4373.25,5957,1538.75,1037,841.75,2684.75,1451,580.5,4090.5,940,1819.25,1814,2056,1702.5
1983,3983,2894,9135.75,2453,2775.5,5134.5,8888.25,2634.75,1828.5,1527.25,2522.5,2112.75,1517.25,5127.25,1497.75,2707.75,2593.5,2527.25,2646.25
1984,3751.25,2634,6226,3798,2579.5,4054.75,5970.75,915.75,1248.75,1219.75,3219,1431,970,5790,1248.25,1438.25,1531,2169.75,2033
1985,3625.75,2878.25,6077.25,2711,1168.5,4119,6142.25,1224.25,889,852.75,2909.5,1489.5,496,5171,1014,1386.5,1820.25,1929.75,2069.5
1986,2951,2930,6174.75,2911.75,1155.5,3821.5,3875.25,1285.25,1186.75,852.25,3130.25,1468.25,533,4885.75,1390.25,1775.5,2505.5,2163.25,1429.75
1987,4384.25,2349,7063.25,3179,929.5,3641.25,6353.5,1340.5,1105,492.5,2271.75,1346.25,155.5,6661.25,1139.25,1446.5,1574.25,1534,1117.25
1988,4740,2152.25,8988.5,2989,2740.5,5127,7178.5,3143.75,1906.5,1563,2739.75,2110.75,1769.75,6118.25,1673.5,2964.75,2908.5,2151.25,2337
1989,4327.75,2543.5,7729.75,3059.25,1972.75,4408.25,6390.5,2634.75,1608.25,1141,3159,1924.5,1297.25,5455.5,1522.25,2635.25,2016.25,1738.75,1677.25
1990,3220.25,3018.25,6756.75,3018.75,2405.75,3792.75,6739.5,2287.75,1585.75,1517,3002.75,1404.75,986.75,4735.25,936,2011.25,3148.5,2691.75,1751.25
1991,3656.25,2578.75,7874.5,2839.25,1923.5,5617.25,5812.75,1294,1619,888.5,3058.5,1918.25,681.5,5941.75,1446.5,1641.5,1948.5,1888,1391.25
1992,3201.25,2633,7673.5,2335.5,2287.25,5380.75,5538,1539.25,1374.25,1454,2861.5,1717.75,1161.5,3824.25,1472.75,1488,2466,1712.25,1617.25
1993,5381,2631,6752,4002.75,2024.5,4384.75,6564.25,1497.25,1393,1237,3212.25,1550.25,545.25,4721.5,1326,1497,2081.75,2446,1658.5
1994,3320.75,4049.5,8629.75,3277.5,3404.25,5606.5,5900,1196.25,1608.75,1733.5,3864.5,1545.5,1611.5,3394.5,1111,1379.5,2973.5,2914,1655
1995,4094.25,2531.25,7474.25,3865.5,1544.25,4308.75,4386.75,1434.5,1202.25,1269.25,2227.5,1497.75,913,6748,1068.75,1214.5,1979.25,2047,1820.25
1996,2981.5,3086.75,7067,2993,2139.75,4722,5359,1950,1465.25,1471.75,2181.25,2126.25,945,5000.5,1504.5,1739,1674.5,2053.25,2352.5
1997,3665.5,2632.25,7915,3632,3225.75,5758,5992.75,1269.25,1405.75,1422.25,3326.25,1786.75,1320.75,4888.75,1203.25,1204.25,1758.75,1999,1931
1998,4089,2203.5,8279,2425.75,2530.5,5080.5,6534.75,2470.75,1667.25,1277.75,2326,1982.25,1243.25,6547.25,1699.75,1897.25,2176.75,2118.25,2234.75
