Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1914,468.25,-152.9773341606,-271.6858717152,51.8396103957,214.5240698259,-31.1446470595,348.949824522,-222.9868442258,399.8180574936,442.5562085579,-381.3723241274,-465.3715905532,-416.2180750104,467.213092132,-312.2372214617,411.7461958564,-243.7285034665
1915,212.4166666667,-174.1085638519,-63.7858899218,66.8736189669,125.641661403,-40.5676632829,172.2293696015,-117.4835677065,189.4851223546,121.6842153741,-202.6134263189,-201.6153748206,-171.2746717926,208.506846347,-124.3297411099,176.970199742,-96.0011910554
1916,387,-386.9372124009,3.4855990061,195.5089383568,274.8799072462,-120.9148164246,335.7312609395,-242.0683786214,357.8739471548,-6.9709152514,-386.9843027819,-333.9839143171,-272.4151915594,367.6256345374,-192.4929100719,301.9468497461,-147.2930342815
1917,723.5,-577.7074691317,229.6528859858,487.2789088481,587.199332855,-310.3661817451,661.815133006,-501.3041613143,688.5822272324,-435.5529016198,-686.084398568,-534.8004440834,-422.6691300469,653.5480726228,-292.3234163118,521.6765164822,-222.0512696197
1918,77.9166666667,-22.7863420929,46.3442074214,63.3001215164,69.5772703763,-41.9782170037,74.1725738147,-58.8038948368,75.8031527311,-74.5103318908,-62.6356239127,-45.4323844901,-35.0715039802,65.6417263761,-23.862863159,51.1185768236,-18.0246769868
1919,356.5833333333,115.9589213394,290.2591017626,326.5744899377,339.5977264705,-228.2307955351,349.0004970016,-288.9918736762,352.3113416485,-337.2020198233,-207.126356254,-143.1809209811,-108.7430815598,273.9751404425,-73.1459274583,208.8908101383,-55.0308291497
1920,363.0833333333,297.2717382751,346.2397439515,355.5647793168,358.8477304587,-265.506989531,361.1988041472,-312.1328901407,362.0228839994,-208.4682723277,-109.3048336207,-73.5064259358,-55.2974980359,247.6601410292,-36.9449702543,185.4792868135,-27.7297386426
1921,451,450.9391953031,450.9847985696,450.9932437876,450.9961996264,-365.735308666,450.9983109437,-406.7948825568,450.9990499056,7.4055478772,3.7028987487,2.4686145746,1.8514649758,263.8914246333,1.23431191,194.727819085,0.9257344381
1922,262.4166666667,209.7884042681,248.9121137046,256.3856888864,259.0185264762,-230.3634207377,260.904565697,-245.8950917623,261.5657520273,157.6430536976,83.0979337622,55.9364414198,42.0940599914,125.6789613679,28.1303135945,91.6412068432,21.1154993033
1923,173.0833333333,50.8809071856,139.2201086346,157.7469127569,164.3996969998,-161.1291501136,169.2057944646,-166.9493090151,170.8986363806,165.4357082426,102.8377441873,71.2302730124,54.1348307851,63.2078892342,36.4312969489,45.670214551,27.4134339517
1924,236.8333333333,-76.6600963714,137.7213883543,190.8820159899,210.6027578796,-229.5738577917,225.0524959849,-233.1201847935,230.1822983372,224.0831484117,192.6729014873,140.1930231837,108.3351565802,58.1882427679,73.7658581509,41.7732835629,55.7327310471
1925,236.5833333333,-193.4842314958,71.4021329387,157.415447873,190.8719835765,-234.8065523532,215.8860173645,-235.6762556864,224.8652971509,136.1452377926,225.551344538,176.6127129684,139.7839743915,28.9405698478,96.7724191987,20.6972490136,73.534153618
1926,765.6666666667,-765.5824906261,-5.6767415135,379.5511718877,539.3973269735,-765.6632995658,662.1386278768,-765.6649487575,706.8394435079,-11.3531709773,765.6456223673,664.9709409916,543.4114169746,-2.2707140804,384.4709116668,-1.6219397934,294.3186122995
