Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1947,244.6666666667,-196.7624342982,-76.55249458,164.2066505614,-143.4083925436,214.5946227469,-223.6489119302,75.8766683073,-111.2980781553,-145.4177507282,232.3822139308,-181.3779305462,-198.2317096881,-117.5198947663,99.211601994,-232.6037596093,217.8864740564
1948,194.8333333333,-58.7558298423,-115.1356452121,157.9214841065,-88.1128998377,181.2634149554,-185.3758303167,76.7744882318,-101.9624876921,-185.7626987242,157.1744603279,-114.1088630885,-173.7703791213,-71.4395001137,59.9652341959,-179.0689971338,166.0231275498
1949,207.9166666667,65.7314425946,-168.665353166,190.1522115186,-63.8788003384,201.4619380446,-203.4270806162,98.7213610308,-122.3680371681,-197.2529283236,121.5785298446,-84.092072946,-197.8606558796,-51.4045503542,42.9739822424,-182.9847894062,168.0934375798
1950,259.0833333333,210.6913638154,-246.6888672528,253.5499997981,-40.0699362804,257.0867715753,-257.6962870565,142.9500472974,-168.4380018777,-150.7757368568,79.1756047317,-53.259470646,-255.9659622246,-32.1024219041,26.7730694613,-216.0774342424,196.8573420895
1951,181.5833333333,181.5790543754,-181.5822635907,181.5828578919,0.3116467815,181.5831621743,-181.5832144729,113.3545337001,-128.5089428909,1.2465779463,-0.6232926451,0.4155288834,-181.5830658974,0.2493174693,-0.2077645777,-141.8564649005,128.2885752571
1952,193.75,155.9981435811,-184.0702349904,189.4277415688,30.6223322969,192.1902641458,-192.6664052565,134.0242998692,-147.4315763033,114.9071002995,-60.474879831,40.6963539417,-191.3147544354,24.5349723365,-20.4626192244,-139.9162233073,125.70995509
1953,309.3333333333,93.7551665496,-249.6885152516,282.3282546674,96.047202961,299.5190032359,-302.5067364717,233.1310924803,-250.3973967121,294.7831064636,-182.5999903136,126.4035906434,-294.0442924365,77.3012148138,-64.628055056,-203.3150383765,181.6266908549
1954,232.6666666667,-73.2043418625,-136.2012620557,187.9615314462,105.9346122368,216.2266144084,-221.2082285551,188.3466735081,-198.4706916544,220.8504066337,-188.6345514275,137.1285545544,-207.1512387316,85.9059311065,-72.1158609275,-136.5990788996,121.4214245182
1955,340,-276.1788130563,-104.1614217474,227.0331220342,200.231262052,297.7609287682,-310.4764576354,292.0117805343,-303.0500198793,198.30598382,-323.651661852,253.0927922708,-274.7861745013,164.129306643,-138.5798298967,-174.1525768664,154.1450143571
1956,337.25,-337.2453124566,0.8890652429,168.1114371928,238.7858870967,272.6317976819,-291.9187769682,303.9618791844,-311.6633623987,-1.778124307,-337.2488281121,292.362971638,-238.1572224885,198.5181739608,-168.881586188,-146.0983863795,128.854612018
1957,212.3333333333,-171.1608894154,66.1146060208,65.2810529358,171.9357134554,154.6402501298,-171.678169867,198.8466217437,-201.9815927275,-125.6558569226,-201.7778563548,202.0490746626,-124.5935587541,145.50545517,-124.9481910054,-74.4678821073,65.4895460643
1958,238.9166666667,-72.7752535882,140.8792969318,24.6064277233,213.0018610675,152.1204852921,-177.4261244876,230.3488326862,-232.347657887,-227.563037588,-192.961647244,237.6461599223,-108.2191332109,184.2295621382,-160.0035748365,-63.408113765,55.639369924
1959,304,95.1883811023,246.3262753495,-32.2116646657,289.2223951445,162.6696786834,-203.2531106055,299.148012974,-300.2828734077,-288.7129579758,-178.1554547929,302.2886181441,-93.6290881451,256.8162293101,-226.0623211178,-54.0968236934,47.3940496058
1960,187.5,152.1301269391,178.4385731857,-58.1782993926,185.2207905073,79.6979244844,-110.1086256019,186.7547498465,-186.9293291864,-109.6023470438,-57.5840741826,178.2457165819,-29.1463336261,169.7188582123,-151.7640951215,-16.7007008769,14.6176567869
1961,340.8333333333,340.8310257451,340.8327564358,-170.7785935889,340.8331891089,105.0847014831,-170.2356070219,340.8332862396,-340.8332972772,1.2541932159,0.6270976694,294.9610704532,0.3135489674,324.2291884228,-295.2747859418,0.1791708555,-0.1567745003
1962,241.25,194.697610545,229.3167689507,-161.628530574,238.248014692,45.0464237151,-98.0017334006,240.2683865948,-240.4983326808,142.458425332,74.9358524207,179.1027096515,37.9400315672,237.0071353577,-220.4477778307,21.7408579203,-19.0293057619
1963,145.1666666667,44.4386753302,117.3123511824,-117.5287821325,138.0275408951,9.0269224221,-44.7889471385,142.8224980973,-143.3707765395,138.1975587556,85.5053996609,85.2076668005,44.9639751976,144.8857335375,-138.0844354927,25.9825931802,-22.7636013317
1964,282,-87.8730931504,165.4445341067,-257.7238678554,251.1765898906,-17.8602656049,-58.5058512662,271.8083095537,-274.1858843459,267.9595482534,228.3683562453,114.4657500637,128.1964145011,281.4338481998,-275.8642154532,75.1281761896,-65.9249635983
1965,187.1666666667,-151.6852326092,57.6235270575,-183.1077719297,151.3548225067,-35.1599891554,-19.4896100304,175.2093481132,-177.9886776225,109.6492194201,178.0755183639,38.7673183244,110.1048537309,183.8345350409,-186.1491773068,65.8258721543,-57.8912061483
1966,219,-218.9995230017,-0.2285417022,-218.9999470002,154.7755622946,-67.7616583154,0.0761805797,197.2838417158,-202.3077459497,-0.4570831554,218.9998807504,-0.1523611501,154.937165704,208.2531096103,-218.99998675,95.0793657839,-83.860455095
