Year,annual_mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1908,1022.25,-295.8365951676,-609.3341050236,-931.0001413155,-459.4035663987,648.3620239222,215.9631543114,42.8631280724,536.3626416656,-978.5069092549,820.7965709937,-422.1774500971,-913.2050293774,790.3301515414,-999.1771506995,1021.3509753027,-870.2357032009
1909,918.0833333333,301.3195155749,-748.168908804,-739.0867840294,-279.2808633377,488.7912397558,286.6476483769,-43.8418206508,541.5135736965,-867.2275113706,532.0904912169,-544.6354125628,-874.5737283487,777.1487186391,-872.1869826043,917.0359326146,-741.3771350985
1910,1083.25,888.879390614,-1033.5156414836,-719.4732008484,-164.1260854692,457.3158800491,443.8813003952,-148.4630587636,705.5639518908,-619.1316430628,324.4626038678,-809.8079252274,-1070.7442227575,981.9840876282,-988.1295227142,1073.0280903511,-821.9550305778
1911,755.5833333333,755.4381117992,-755.5470270775,-373.5071334521,3.7035389682,230.6684716171,379.9278936151,-170.1957027944,535.5858969063,14.8132660936,-7.4069889573,-656.8094052855,-755.5742567148,719.5124945495,-653.1163520111,736.1654680582,-532.9670915227
1912,845.3333333333,674.1788064831,-801.4032262823,-256.0481314239,136.263685234,155.1953368667,499.0703477537,-263.4366020118,644.1182654201,509.9719417119,-268.9634052221,-805.622615645,-834.278522156,830.9650124158,-682.2882326681,803.2369520664,-547.4487232578
1913,959.25,279.066578815,-770.6669767897,-94.2347679588,300.7476226128,56.5993084159,644.1140665036,-379.3981565815,777.3843063413,917.7594494684,-571.1680780522,-954.6100622808,-910.8849707799,957.5787595738,-710.8288344125,881.0321227302,-561.9912835217
1914,888.25,-290.1913872251,-515.3763492814,98.3374990582,406.9428831241,-59.0800485865,661.942726389,-422.9964001784,758.4375644821,839.5099887913,-723.4468059929,-882.7897817595,-789.547688474,886.2830306166,-592.3005060615,781.0647271105,-462.3424307615
1915,967.8333333333,-793.2902552279,-290.6274325429,304.6960418525,572.4606730226,-184.838305754,784.7280888787,-535.2899785576,863.3504162519,554.4293751881,-923.166862796,-918.6194441609,-780.3782025105,950.0190323552,-566.4831750686,806.328717067,-437.4098991435
1916,1155.4166666667,-1155.2292097197,10.4065095218,583.7061650123,820.6739694161,-360.9999848679,1002.350114756,-722.7127626154,1068.4587160424,-20.8121748408,-1155.3698014795,-997.1332842393,-813.315381346,1097.5730884714,-574.701593055,901.4842962381,-439.7540741416
1917,1076.5833333333,-859.6409575803,341.7283614433,725.0813434011,873.7650519643,-461.8314561121,984.794943942,-745.9512163118,1024.6249474332,-648.1119484021,-1020.9081254434,-795.7943949682,-628.9406232523,972.4933828857,-434.9834387621,776.2657125585,-330.4169951873
1918,672.75,-196.7423954185,400.1462957358,546.5474663124,600.7457794093,-362.4493538724,640.422661397,-507.7260353129,654.5014459868,-643.3389404855,-540.8100447559,-392.273411752,-302.8152423869,566.7654085929,-206.0373200883,441.3692734722,-155.6291094274
1919,943.9166666667,306.9564622602,768.3488772295,864.479842843,898.9538321412,-604.1528911022,923.8440358816,-764.9943802595,932.6082184747,-892.6121239866,-548.2870383944,-379.0161934921,-287.8553131172,725.243378311,-193.6255948399,552.9577486414,-145.6728679082
1920,520.6666666667,426.2919028559,496.5127198093,509.8849532181,514.5927518721,-380.7408011452,517.964224997,-447.603006105,519.1459672317,-298.9464690163,-156.7446868172,-105.4092607865,-79.2973990655,355.1481664335,-52.9796130706,265.9799366562,-39.7648398069
1921,805.5833333333,805.474723022,805.5561802979,805.5712652799,805.5765450458,-653.2821930662,805.5803163143,-726.623453377,805.5816362596,13.2279067497,6.6141763126,4.4094783986,3.3071160239,471.3670365724,2.2047474564,347.8259104018,1.6535614954
1922,939.9166666667,751.4142304668,891.5464371148,918.3150793742,927.7453033105,-825.109248174,934.5006657657,-880.7401524251,936.8688844446,564.6414743267,297.6378516684,200.3515791595,150.7713250694,450.153383699,100.7563693337,328.2379079022,75.630903983
1923,800.25,235.247641648,643.6835354927,729.3421296125,760.1012471303,-744.9798885608,782.3222167759,-771.8893666214,790.1490636317,764.8912403728,475.4698398801,329.3328414725,250.2921425274,292.2413867677,168.43993481,211.1560280853,126.7458864894
1924,802.4166666667,-259.732606601,466.6147953779,646.7286882363,713.5446712256,-777.8207870078,762.5019295703,-789.8361222297,779.8822486591,759.2176763042,652.7963998667,474.9889585629,367.0510987724,197.1479907151,249.9266179224,141.5323530707,188.8284543466
1925,759.1666666667,-620.866977431,229.1206167918,505.1267101526,612.4845968236,-753.4651961739,692.7515386373,-756.2559666444,721.5649373179,436.8732357486,723.7663785634,566.7283603882,448.549491619,92.8667105717,310.5307287427,66.4149131785,235.962007559
1926,939.75,-939.6466855453,-6.9674155472,465.8466004982,662.0356613278,-939.7458673491,812.6836424213,-939.7478915039,867.5477148932,-13.9344480965,939.7241710314,816.1599152766,666.9624019615,-2.786987667,471.8849010521,-1.9907069057,361.2354147694
1927,1010.8333333333,-809.0745009763,-319.330982713,307.7113191667,591.1825547516,-1002.4907351495,816.342111567,-1006.5740324867,899.8252775416,-605.9558396844,959.0681682014,962.859165109,819.9312256129,-129.6007473631,596.128832267,-92.69705983,460.5415265476
1928,811.3333333333,-239.7405592486,-481.5351859976,80.9895566453,365.7705771416,-785.2679631247,601.6524348558,-797.99953504,691.0223004235,-775.1040201347,652.9821149343,807.2809111407,724.2055389703,-204.0000094799,544.3125254941,-146.487268572,425.1469841068
1929,759.3333333333,244.6424914802,-617.3946507874,-82.8632034893,232.1408763516,-705.2319924885,506.7870946437,-731.5673452636,613.5386770832,-718.844324227,442.053114784,754.7985165715,722.9783707953,-281.4870296866,565.4679052021,-203.4608818791,447.3895426069
1930,828.5833333333,676.8775315859,-789.7467257474,-259.6040878088,126.8451137586,-725.0083454698,485.513501282,-775.1834091289,629.1470763871,-477.8986791276,250.6999191243,786.8647011213,818.8166201252,-401.1399248103,671.4365050775,-292.6448743597,539.1885538022
1931,1129.0833333333,1128.9844360341,-1129.0586087378,-568.8501843147,-3.7360492988,-911.6876074056,562.3832818184,-1016.3408209775,797.060494133,14.943788138,-7.4720576916,975.3146371383,1129.0771521675,-666.0742301831,979.057821552,-491.8134902846,799.7022835427
1932,892.1666666667,714.9441665038,-846.7026381776,-599.825216583,-142.410481971,-648.7815592898,361.121376444,-765.0336958771,578.3197541641,533.681740266,-281.16899476,660.4324875885,880.7273220106,-612.4082375644,815.8141409576,-459.0041451706,679.3435235982
1933,1304.6666666667,387.5000332668,-1050.6458698931,-1058.7086720999,-407.0703048557,-829.0902028449,400.5578590613,-1054.1155892237,765.2006447253,1245.7924527502,-773.497490098,762.4244610004,1239.5357510035,-1007.3552236713,1241.6555531449,-768.7622751324,1056.7038773579
1934,934.6666666667,-299.7218884985,-544.7300796394,-855.4094799978,-426.8844867222,-498.8797269007,192.4565541534,-702.7908996444,487.1381105608,885.3070469237,-759.5201894051,376.6648368347,831.4874700041,-790.3928111169,914.6377712194,-616.1872516977,797.6830442081
1935,919.4166666667,-750.2346196706,-278.8806139812,-900.0802384806,-542.6414665504,-389.4772577995,94.2821148153,-634.2380084752,416.1810895353,531.4837931605,-876.1007990465,187.5701768437,742.2043153502,-832.8472084371,914.5697839807,-665.6344008161,819.8294381502
1936,1276.6666666667,-1276.5801346263,7.4321117993,-1276.657051899,-905.3634925197,-391.6832697882,-2.4773830381,-794.3273490758,486.8420614845,-14.8639717234,-1276.6450334733,-4.9547567475,900.1081736049,-1215.0975244588,1276.6642629725,-999.4607747621,1180.1959942939
1937,1083.4166666667,-869.2348007891,340.6231078403,-1058.8835624578,-878.3018916344,-200.6011478818,-115.28133844,-595.3874004367,333.3352410484,-646.7012716149,-1028.4782797981,-229.2537344689,634.3322952228,-1064.683452055,1077.2659312439,-905.1549685067,1030.8633714932
1938,1121.6666666667,-334.85245404,664.2827994021,-1023.0128665831,-1000.8096683287,-67.9657236214,-235.2197686141,-529.9690257394,260.3471398624,-1070.518540304,-903.8055507296,-459.9791146526,506.4742035789,-1119.6056321419,1096.7259327491,-988.5691391441,1091.0341323151
1939,712.75,227.4838127276,578.8573442661,-575.1307234245,-678.4515954089,46.2743317709,-221.4589571221,-279.1276228313,110.5581020829,-675.4729287299,-415.8566309309,-420.9955029133,218.4399120746,-711.2462644676,677.4721343424,-655.8203509137,704.1231913265
1940,1165,949.5543407411,1109.8323762991,-776.5401560748,-1151.1254750001,220.6719295704,-475.686723681,-358.3631777298,89.8994483433,-674.9604091943,-354.2556936992,-868.4528691894,179.2627702725,-1143.9094804659,1063.4599855724,-1108.5128925039,1161.5261896262
1941,685.3333333333,685.2987206302,685.3246801029,-340.6763880346,-685.3311700223,213.0893705384,-343.6603651704,-151.5415443294,-0.8609846536,6.8877630829,3.4439250255,-594.6607237858,-1.7219679483,-651.3637216957,592.9412544162,-668.368863817,685.3327925053
1942,1031.25,828.3603495295,979.2147805646,-315.4905039869,-1018.1580930674,440.9002299925,-607.505958927,-137.0071835647,-82.1615147872,614.2440018652,323.4423843962,-981.8056347333,-163.8006716146,-932.246506935,833.314509875,-1022.1084062621,1027.9718128372
1943,781.5,234.4897093721,630.0777562628,-79.2498526228,-742.6802867046,419.9901621164,-523.8360860877,-34.0119589401,-123.1616944109,745.4909967254,462.3248544723,-777.4713569382,-243.2452296353,-659.0527397147,579.9465534964,-780.7595254936,771.7340520087
1944,1112,-353.231001162,649.5194865083,119.5877891578,-989.6488440344,710.3728101483,-827.503964203,51.332970368,-260.8203265025,1054.4059274388,902.589849625,-1105.5508856151,-507.0889128165,-855.5200001181,742.8197555452,-1110.8145327431,1080.979536015
1945,1015.3333333333,-826.6278888851,309.5148848841,316.5788169294,-820.1105283934,741.3649854418,-822.2939873407,137.5528601536,-314.8144066607,589.5660362462,967.0068840566,-964.7173837188,-598.5987796479,-693.7432782655,595.5958161044,-1005.9726578995,965.2946012159
1946,951.25,-951.2159770365,-4.0227070521,477.9456246705,-671.2115770816,770.5221124064,-824.4762998315,212.7934153821,-364.9565383721,-8.0453421645,951.2414942211,-822.4624869004,-674.0560668755,-557.8281427042,474.4632688798,-927.1437455271,878.4550572451
1947,927.0833333333,-745.5661040758,-290.0703345375,622.20673961,-543.3986263786,813.1352786306,-847.4435099534,287.5095146182,-421.7272205304,-551.0124239957,880.5354666143,-687.2716203426,-751.1334367436,-445.3027347668,375.9295204984,-881.3749406174,825.6086593587
1948,978.9166666667,-295.2116052856,-578.485211423,793.4575165954,-442.7126751041,910.7362427207,-931.3985794398,385.7441887335,-512.2982647218,-933.3423532566,789.7041854028,-573.32626805,-873.0883847469,-358.9391821366,301.2881121042,-899.7106541195,834.1632503539
1949,1132.3333333333,357.9794957815,-918.5670616512,1035.5864729919,-347.8898352698,1097.1802862321,-1107.8826338326,537.6456327398,-666.4276108378,-1074.2576312867,662.1278811735,-457.9731812387,-1077.5673715799,-279.9539199249,234.0402688213,-996.5520314432,915.4523566471
1950,619.25,503.5855659415,-589.6252726136,606.024460759,-95.7734630105,614.4779027263,-615.9347407904,341.6731429615,-402.5933714871,-360.3777743915,189.2421739343,-127.2985289067,-611.7989917309,-76.7298479155,63.9918556342,-516.4591231441,470.5200736787
1951,842.6666666667,842.6468094742,-842.6617023539,842.6644603043,1.4462470193,842.665872376,-842.6661150759,526.0399471206,-596.3664206115,5.7849454765,-2.8924897784,1.9283286227,-842.6654255876,1.1569978199,-0.9641649425,-658.3077434943,595.3437691604
1952,612.8333333333,493.4238055465,-582.2161325245,599.1619834395,96.8587663276,607.8998720552,-609.4059115082,423.9203016077,-466.327661133,363.4523938075,-191.282695173,128.7230051128,-605.1306254272,77.6043813174,-64.723484635,-442.5565187964,397.6219396696
