Year,annual_Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1940,3128.25,2549.7367952133,2980.1142756718,-2085.1602946276,-3090.994220746,592.5467499388,-1277.3107239101,-962.2743439771,241.3973813563,-1812.3990558472,-951.2449560639,-2331.9636807225,481.3551597468,-3071.6178817745,2855.5954505294,-2976.5712068458,3118.9221482388
1941,1862.1666666667,1862.0726180939,1862.1431543751,-925.675409414,-1862.1607885845,578.9998874089,-933.783380362,-411.7640259709,-2.3394410347,18.7152181238,9.3577272155,-1615.7938392167,-4.678878377,-1769.8654821271,1611.1217499011,-1816.0713315729,1862.1651971456
1942,2591.3333333333,2081.5105801186,2460.5788134494,-792.7670878364,-2558.4358837998,1107.8976607553,-1526.5458827307,-344.2727579902,-206.4561182888,1543.4772914749,812.7486371865,-2467.0891327408,-411.5996512749,-2342.5565559314,2093.9594342685,-2568.3622627173,2583.0958781403
1943,3121.1666666667,936.5085918984,2516.414190986,-316.509274913,-2966.1279012834,1677.3631405319,-2092.1045818221,-135.8374824207,-491.8850610435,2977.353358003,1846.4400831101,-3105.077010318,-971.4765227937,-2632.1349235737,2316.1994257469,-3118.2093482448,3082.1632740388
1944,2581.6666666667,-820.0761702636,1507.9521651698,277.6401160153,-2297.6110003137,1649.2318389084,-1921.168526005,119.176815198,-605.5316033459,2447.9538093567,2095.4911227055,-2566.6941274248,-1177.2792655167,-1986.2117508737,1724.5620523675,-2578.9144352803,2509.6482333441
1945,2978.5,-2424.92892355,907.9679100074,928.690091488,-2405.8101203084,2174.8085447852,-2412.2153394232,403.5139796135,-923.5141597889,1729.5033870249,2836.7334249797,-2830.017131392,-1756.0011147552,-2035.1093443669,1747.1918630338,-2951.0402773016,2831.7104101001
1946,3413.1666666667,-3413.0445893526,-14.43381826,1714.9099338812,-2408.364763391,2764.6994901394,-2958.291746693,763.5210431204,-1309.4953919094,-28.8673783947,3413.1361472017,-2951.0660130062,-2418.5710369764,-2001.535266656,1702.4149423372,-3326.671356049,3151.9721624743
1947,2616.75,-2104.4064030639,-818.7414449271,1756.2169735275,-1533.7762037675,2295.1245738678,-2391.9616769483,811.5133724518,-1190.3511417417,-1555.2666180574,2485.3657696321,-1939.8666202587,-2120.1205435674,-1256.8944875877,1061.0843032064,-2487.7352368835,2330.3314617999
1948,2872.1666666667,-866.1584394121,-1697.290482413,2328.0247524453,-1298.930370319,2672.1235499796,-2732.7473771152,1131.7833667225,-1503.0962792117,-2738.4504594654,2317.0123822331,-1682.1540099269,-2561.6637668075,-1053.1367882454,883.987066637,-2639.7741895703,2447.4564217839
1949,3051.3333333333,964.6583174517,-2475.2908102311,2790.6266039942,-937.4694000764,2956.6053400556,-2985.4452841046,1448.8101625259,-1795.8429053898,-2894.8349593167,1784.2562920995,-1234.1143659285,-2903.7538179108,-754.4004071218,630.6754844835,-2685.4392981545,2466.8975192075
1950,3085.8333333333,2509.4568035006,-2938.2080264945,3019.9281095283,-477.2562690457,3062.0531204351,-3069.3128046652,1702.6182860805,-2006.1946637288,-1795.826804699,943.0275468693,-634.3513020339,-3048.7036285555,-382.3585342901,318.8828440497,-2573.6080379528,2344.6855508441
1951,2723.75,2723.6858156312,-2723.7339538605,2723.7428683786,4.6747017231,2723.7474326156,-2723.7482170941,1700.318005502,-1927.6341433631,18.6986691948,-9.3493896765,6.2329332508,-2723.7459884622,3.7397620394,-3.1164686654,-2127.8469735077,1924.3286288576
1952,2269,1826.8892272806,-2155.6405842231,2218.3821709398,358.6171457123,2250.7339837259,-2256.310056914,1569.5542524035,-1726.5664342303,1345.6733449267,-708.2193668985,476.5936882256,-2240.4809177498,287.3282695825,-239.6370736527,-1638.5543777251,1472.1852288993
1953,2700.6666666667,818.5391803716,-2179.9314122507,2464.8960337453,838.5500413689,2614.9816424754,-2641.0663565669,2035.3751199094,-2186.120375174,2573.6344057852,-1594.2081050877,1103.5796243458,-2567.1841134919,674.8862526095,-564.2419203275,-1775.062975136,1585.7106134771
1954,2616.4166666667,-823.2079947913,-1531.6300231952,2113.6920497194,1191.2711391107,2431.5426262822,-2487.5625902375,2118.0231046321,-2231.871169725,2483.5387596982,-2121.2603908192,1542.0577461834,-2329.4869063236,966.0417331482,-810.9676524142,-1536.1036103909,1365.4256681935
1955,3358.1666666667,-2727.8073060151,-1028.7982778372,2242.3972430718,1977.6763230815,2940.9730165444,-3066.5637965172,2884.1889048946,-2993.2131620334,1958.6604254853,-3196.6947718903,2499.787584051,-2714.0522696209,1621.0987252691,-1368.7475453864,-1720.0981721967,1522.4842619027
1956,2942.6666666667,-2942.6257656209,7.7575171376,1466.8522535586,2083.520446049,2378.8421150837,-2547.1301834205,2652.2119786903,-2719.4110830305,-15.514980363,-2942.6564413875,2551.0059931998,-2078.0350483106,1732.1654951578,-1473.5721698715,-1274.7779144632,1124.3177809686
1957,2491.3333333333,-2008.2519426861,775.7308718984,765.9506901762,2017.34304924,1814.4132330773,-2014.3212583775,2333.0920736465,-2369.8750769943,-1474.3357529665,-2367.4846128669,2370.6668509085,-1461.8716768105,1707.2335509273,-1466.0326209966,-873.7408961847,768.3969659095
1958,2780.25,-846.8785439359,1639.3986688299,286.3426048599,2478.6819291222,1770.2112838508,-2064.6905445686,2680.5469497414,-2703.8070840892,-2648.1289232817,-2245.4759110574,2765.4652366541,-1259.3355219094,2143.8614864369,-1861.9460297412,-737.8740493688,647.4699333011
1959,3124.5833333333,978.3685168392,2531.7992582863,-331.0790478728,2972.6956430764,1671.9571278051,-2089.0831639675,3074.7134721655,-3086.3778339968,-2967.4595283175,-1831.1235683823,3106.993349044,-962.3417379386,2639.6174665519,-2323.5215817745,-556.0198476928,487.1271628205
1960,2721.5,2208.1180824781,2589.9764102656,-844.4386229171,2688.4180339502,1156.7888079161,-1598.1899977367,2710.6829424383,-2713.2169033636,-1590.8415332249,-835.8136420686,2587.177160947,-423.0493171383,2463.4126539985,-2202.8052526573,-242.4051063279,212.1704157092
1961,4626.8333333333,4626.8020076826,4626.825501914,-2318.3298467585,4626.8313754781,1426.5312459031,-2310.9587709218,4626.8326940336,-4626.8328438695,17.0257495679,8.5128891929,4004.1145608078,4.2564463976,4401.4310512498,-4008.3732677414,2.4322553153,-2.1282234239
1962,3143.4166666667,2536.8527002994,2987.9301698063,-2105.9722976792,3104.3016795153,586.9416749417,-1276.9338119525,3130.6265322087,-3133.6226621937,1856.1914549049,976.3921551504,2333.6557204708,494.3474717608,3088.1333861242,-2872.3698195341,283.2769953757,-247.9462668887
1963,2547.9166666667,779.9727314702,2059.027059358,-2062.8257828352,2422.6131244932,158.4375161052,-786.1205848222,2506.7726058118,-2516.3958052202,2425.5972209831,1500.762109433,1495.5364020807,789.192618637,2542.9858225654,-2423.6117193966,456.0377649159,-399.5390991481
1964,2604.75,-811.657586466,1528.1618801934,-2380.5185985687,2320.0433422604,-164.9699533132,-540.4011208715,2510.6123911699,-2532.5733413124,2475.0625294793,2109.3704820215,1057.2860371578,1184.112094581,2599.5206244621,-2548.0755858218,693.936584858,-608.9292515339
1965,2177.3333333333,-1764.5733560158,670.3417252712,-2130.1157012369,1760.7296538086,-409.0205684114,-226.7250805322,2038.2323452809,-2070.5646344259,1275.5631366904,2071.5748636737,450.9850815587,1280.8635878358,2138.5702277598,-2165.4967518567,765.7606356395,-673.4556697432
1966,2328.0833333333,-2328.0782625949,-2.4295165652,-2328.0827699178,1645.3443241341,-720.3414948085,0.8098389857,2097.2293325774,-2150.6360344739,-4.8590304846,2328.0820656484,-1.6196778735,1647.0622520063,2213.8383269339,-2328.0831924794,1010.7428622163,-891.4800357644
1967,2556.5,-2065.5910725586,-792.1517130588,-2500.3205528034,1501.7583686408,-1089.3229163961,267.9764511651,2194.2929783393,-2277.6015366422,-1506.3285733751,2430.6764312631,-533.0003595017,2068.9161539844,2312.805187173,-2542.4163450586,1311.7814510088,-1161.1302641327
1968,2669.5,-821.2384772368,-1570.6581637989,-2438.1844908197,1211.065291745,-1431.0432447782,555.6513078167,2159.3457763623,-2275.8700584956,-2540.0388999986,2158.5326456859,-1086.9621146693,2378.9811073505,2253.5184671031,-2611.0308068121,1569.5400817139,-1395.222465001
1969,2344.5833333333,727.0387893524,-1897.5871567792,-1896.2878271413,723.8852759977,-1494.9024596657,724.936608341,1765.3894255574,-1896.6128176692,-2229.0100057472,1377.0381219744,-1378.8268504711,2230.0361239536,1806.1942428847,-2229.6945801682,1542.8775658082,-1378.3797832228
