Year,annual_Mean_eastmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1940,987.3333333333,804.743907661,940.5789695559,-658.1150049481,-975.5747230187,187.0186710694,-403.1427970081,-303.7115114265,76.1894609422,-572.0265327706,-300.2304334011,-736.0107005834,151.9245566659,-969.4591934592,901.2785342676,-939.4607117586,984.3892914657
1941,730.75,730.713093532,730.7407733247,-363.2528266872,-730.7476933275,227.2106870441,-366.4345503622,-161.5841199203,-0.9180416376,7.3442113903,3.6721520609,-634.0685660114,-1.8360818262,-694.529240704,632.2351483434,-712.6613043302,730.7494233317
1942,1239.25,995.4381218467,1176.7194344869,-379.1239826092,-1223.5174951115,529.8284703207,-730.0380699154,-164.6411173164,-98.7332433455,738.135155696,388.6797332004,-1179.8328560905,-196.8387707136,-1120.2778023944,1001.3915213213,-1228.264574507,1235.3106124204
1943,1141.3333333333,342.4579931286,920.1903337359,-115.7396013565,-1084.6394974095,613.3701493225,-765.0308205435,-49.6724023932,-179.8701819846,1088.744368858,675.1973988966,-1135.4497445751,-355.2448992413,-962.5065390416,846.976753752,-1140.2519152443,1127.0707588304
1944,1214.5,-385.7905134094,709.3897629175,130.6109441836,-1080.870972194,775.8523182779,-903.780183925,56.0646515395,-284.8617684688,1151.59712129,985.7872053683,-1207.4564303773,-553.8304717766,-934.3786332225,811.2901017173,-1213.2052608062,1180.6201856926
1945,1083.8333333333,-882.3967763329,330.3964701907,337.9369741451,-875.4397186708,791.3815660421,-877.77048583,146.8329365691,-336.0535270051,629.3414205037,1032.2465146126,-1029.8025519244,-638.9835627135,-740.54703522,635.7780026472,-1073.8411349836,1030.418711705
1946,1188.8333333333,-1188.7908128254,-5.0274147004,597.3168884406,-838.8527690447,962.9670131922,-1030.396749312,265.9405049357,-456.1077508906,-10.0547394936,1188.8227031588,-1027.8799682979,-842.407696018,-697.1507913988,592.9647826403,-1158.706322706,1097.8571919981
1947,1207.75,-971.2799592244,-377.8866839059,810.5745867117,-707.9079813128,1059.3051319724,-1103.999891214,374.5505973359,-549.4015826649,-717.8267919973,1147.1101588891,-895.3373117865,-978.5327549416,-580.1143851663,489.7390148839,-1148.2037765725,1075.5547236033
1948,1241.5,-374.3987822887,-733.6573320661,1006.293528751,-561.4653472121,1155.0309478209,-1181.2357228649,489.2157081597,-649.7164848748,-1183.7008920419,1001.5334088815,-727.1145604332,-1107.2844773951,-455.22056146,382.1052433922,-1141.047869675,1057.9181155845
1949,1027.5833333333,324.8634944422,-833.5921723006,939.7863407759,-315.7072092075,995.6822276662,-1005.394521474,487.9090592666,-604.7776618517,-974.8801038708,600.8756919893,-415.606954508,-977.8836663933,-254.055915999,212.3896493108,-904.362901069,830.7656027241
1950,1037.9166666667,844.053051245,-988.2630561704,1015.7495167209,-160.5246241146,1029.918218067,-1032.3600049178,572.6737983563,-674.7813809544,-604.0243816507,317.1862839929,-213.3633666441,-1025.4281310737,-128.60587482,107.2558958315,-865.6302487903,788.6324206256
1951,990.4166666667,990.3933277888,-990.41083193,990.414073449,1.6998265253,990.4157331081,-990.4160183621,618.2738104755,-700.9310629913,6.7992560312,-3.3996480436,2.2664345016,-990.4152079815,1.3598614606,-1.1332179926,-773.7329441683,699.7291036859
1952,942.9166666667,759.1909654283,-895.8084769533,921.8816756348,149.0286838451,935.3259521764,-937.6431722485,652.2515926967,-717.5003380093,559.2145547909,-294.3110818443,198.0555891829,-931.0651382525,119.4035320378,-99.5847468922,-680.9256200955,611.7884481048
1953,838.9166666667,254.2654260924,-677.159020215,765.6784859206,260.4814634183,812.3000553814,-820.4028329906,632.2550398707,-679.0815174302,799.4562318884,-495.2139284719,342.8084447757,-797.4525571008,209.6420607572,-175.2722603042,-551.3934513297,492.5743256565
1954,935.0833333333,-294.2069914181,-547.3905306326,755.4141634519,425.749385354,869.0110459442,-889.0320675559,756.9620427772,-797.6502976553,887.5939874055,-758.1190191859,551.1173032431,-832.5372671229,345.2544602241,-289.8324052534,-548.9893496893,487.990617664
1955,1245.5,-1011.7079754752,-381.5677964305,831.6757455693,733.4942261347,1090.7683434729,-1137.3483176025,1069.7078607513,-1110.1435287049,726.4414789643,-1185.6121906961,927.1384493331,-1006.6064127687,601.2442688935,-507.6505239303,-637.9618661386,564.6694570053
1956,1316.0833333333,-1316.0650406788,3.4694853918,656.0375407921,931.8372905655,1063.917464984,-1139.1829119494,1186.1798759474,-1216.2341196845,-6.9389466718,-1316.0787601617,1140.9163358236,-929.3839917866,774.696694184,-659.0429677951,-570.133880922,502.841830393
1957,911.5,-734.7558117842,283.815369174,280.2371102872,738.0819598805,663.8363641758,-736.976382263,853.6045324306,-867.0622689378,-539.412779835,-866.1876737871,867.3519539483,-534.8525689374,624.6227114009,-536.3749266946,-319.6741344149,281.1321251377
1958,1063.5,-323.947605962,627.1020535206,109.5316465312,948.1443149434,677.1404371461,-789.7845136764,1025.3616333244,-1034.2590896246,-1012.9611041849,-858.9384520851,1057.8445388658,-481.7204667029,820.0689473341,-712.23077156,-282.2512549244,247.6699124416
1959,1107.3333333333,346.727853094,897.2542617444,-117.3324013371,1053.5052595066,592.5314392392,-740.3583699907,1089.6597577846,-1093.7935366889,-1051.6496122758,-648.9390579188,1101.0995498626,-341.0480601074,935.4643791316,-823.4419196858,-197.0500529708,172.6349043755
1960,1053.0833333333,854.4304062794,1002.1903330432,-326.7551864108,1040.2822798404,447.6189652041,-618.4189785473,1048.8976772488,-1049.8781924124,-615.5754931522,-323.4177535312,1001.1071646423,-163.6987635702,953.2165383238,-852.3746089114,-93.7985586584,82.0992572514
1961,1369.5833333333,1369.5740606654,1369.5810151644,-686.2460111573,1369.582753791,422.2657870109,-684.064107923,1369.583144095,-1369.5831884477,5.0397715167,2.5198900235,1185.2531033982,1.2599455449,1302.8622767064,-1186.5137180817,0.7199689512,-0.6299728391
1962,958.8333333333,773.8137156927,911.4054381854,-642.3826848995,946.9021267862,179.0342491418,-389.5018806586,954.9319710398,-955.8458776596,566.1922769846,297.8279509334,711.8327382555,150.7903292617,941.9703279537,-876.1561767598,86.4077068156,-75.6308090141
1963,958.75,293.4942363226,774.7867969882,-776.2162103522,911.5998036728,59.6181070414,-295.8075986387,943.2679911648,-946.8890838613,912.7226828262,564.7184977605,562.7521277494,296.9635675362,956.8945834379,-911.9755627689,171.6014549585,-150.3416953622
1964,981.75,-305.9198907815,575.9757849621,-897.2354867626,874.4419046988,-62.1784246723,-203.681274754,946.2688223557,-954.5460707682,932.8698102759,795.0377083116,398.4991139187,446.3008153776,979.7790087593,-960.3889841177,261.5499538091,-229.5100461439
1965,605.1666666667,-490.4444163881,186.3143604149,-592.0430274948,489.3761001974,-113.682921303,-63.0158272667,566.5050249323,-575.4914411819,354.529221473,575.7722236681,125.3465118754,356.0024255536,594.3928733157,-601.8768146044,212.8350327623,-187.1798481964
1966,743.5833333333,-743.5817137536,-0.7759808251,-743.5831533799,525.5183951122,-230.075067408,0.2586603168,669.8492083827,-686.9071602395,-1.5519608052,743.5829284383,-0.5173206022,526.0670964904,707.0937964431,-743.583288345,322.8284554374,-284.7362407963
1967,1212.5833333333,-979.7384346046,-375.728521309,-1185.9366439742,712.3047793889,-516.680936061,127.1049397257,1040.7835298199,-1080.2979320582,-714.4724907484,1152.9034732156,-252.8094475229,981.3155667457,1096.9955107423,-1205.9032608692,622.1960979734,-550.7401549447
1968,857.8333333333,-263.9017570293,-504.7248279374,-783.5010035742,389.1710717744,-459.8601224245,178.5563639466,693.897278575,-731.3418986749,-816.2315176557,693.6359822279,-349.2910035714,764.4762289775,724.1593026272,-839.0444878979,504.3655366536,-448.3492556259
1969,1082.1666666667,335.5722665197,-875.8509620734,-875.2512430517,334.116729842,-689.9876787353,334.6019831497,814.833733083,-875.4012457883,-1028.8226029726,635.5861756517,-636.4117817742,1029.2962184348,833.6676182016,-1029.1385753711,712.1310847552,-636.2054332658
1970,1069,865.3497337693,-1016.8136174834,-715.0852992934,167.0138361188,-779.3864423697,434.9337967182,738.6562251455,-812.8034174421,-627.6390987385,329.9258512155,-794.6156396236,1055.8728041506,731.6541351282,-976.5211684712,772.753506012,-694.3425700578
1971,1294.8333333333,1294.8331750296,-1294.8332937574,-647.2318259779,-0.160069116,-1047.6174354396,647.5090804153,807.2438638118,-915.5288357785,0.6402764394,-0.3201382295,-1121.4652578446,1294.8333234393,760.9803348799,-1121.3052001532,1012.3984914298,-915.6420217361
1972,822.9166666667,665.668448898,-782.6178829257,-254.2493313866,-128.7682817833,-721.1413228954,483.7178040919,453.3250442166,-534.4278599869,483.8154156489,-254.3640886657,-782.6551716863,812.7795333818,396.4177502213,-665.7393831541,686.7956352248,-625.7624970767
1973,1060.25,327.7790323717,-857.8046926813,-110.876415689,-327.5993262239,-985.7843891785,709.4270021523,502.43826587,-623.2146006277,1008.310948288,-623.1381642252,-1054.4365713233,1008.3693489777,390.332166945,-787.9361592903,933.6411791955,-857.7491615061
