Year,annual_Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1922,1994.0833333333,1594.1653622519,1891.4633117935,1948.2544138971,1968.2611368841,-1750.5132724137,1982.5929985909,-1868.5372025339,1987.6173008135,1197.9169996598,631.4545751018,425.0565597755,319.8694066482,955.0244098353,213.7600107977,696.3742262782,160.4549961351
1923,1998.1666666667,587.3964335559,1607.2314707951,1821.114816604,1897.918119722,-1860.1611754569,1953.4022819799,-1927.3522058575,1972.9453553848,1909.8783881765,1187.2139769493,822.3204074589,624.9614696993,729.7057140388,420.5823968422,527.2414080421,316.4753583509
1924,1831.9166666667,-592.9693520522,1065.2812386324,1476.4811250906,1629.0219656821,-1775.764291286,1740.7913508924,-1803.1952928626,1780.4706067372,1733.2934030735,1490.3337063319,1084.3994470961,837.977391662,450.0887194817,570.5822870275,323.1182591704,431.0952240005
1925,1558.25,-1274.3788815568,470.2883000427,1036.8127720244,1257.173378266,-1546.5472780742,1421.9276642128,-1552.2755565625,1481.0694580578,896.7170840026,1485.5880914113,1163.2550615695,920.6835284066,190.6163140484,637.3890336729,136.3218947886,484.3307990501
1926,2245.8333333333,-2245.5864303844,-16.6508689366,1113.2895170192,1582.1460559355,-2245.8234570416,1942.167612242,-2245.8282944072,2073.2828692357,-33.3008225771,2245.7716067478,1950.475278594,1593.9200791755,-6.6603988318,1127.719968374,-4.7574311527,863.2876144395
1927,1985.8333333333,-1589.4678778455,-627.3419058574,604.5144876952,1161.4081022038,-1969.4438762254,1603.7454673242,-1977.4657208705,1767.7523795398,-1190.4309694708,1884.1380418995,1891.5856475307,1610.796463838,-254.6072390489,1171.1253151626,-182.1080738458,904.7571786999
1928,2192.6666666667,-647.9101884705,-1301.3715914101,218.8781033741,988.5122664083,-2122.2237721587,1625.9941316688,-2156.6314467927,1867.5204158531,-2094.7552360091,1764.7150172711,2181.714804225,1957.199685845,-551.319664075,1471.0303174612,-395.8887644482,1148.9798116082
1929,1810.1666666667,583.2006365159,-1471.8005492102,-197.5367105129,553.3981690199,-1681.1950549644,1208.1243711427,-1743.9756226752,1462.6083344603,-1713.6453479874,1053.805724247,1799.3561651633,1723.5004576839,-671.0339397337,1348.0129320457,-485.0282348748,1066.5271778434
1930,2043.5833333333,1669.4224788375,-1947.7983461234,-640.2766816188,312.8454917733,-1788.1303083533,1197.450225479,-1911.8799901507,1551.7020772645,-1178.6693460975,618.3158117958,1940.6902409331,2019.4951197155,-989.3547597429,1656.0029582636,-721.7670978501,1329.832133651
1931,2823.3333333333,2823.0860353409,-2823.2715081583,-1422.4403457512,-9.3421913236,-2279.7236798954,1406.26950978,-2541.4146442333,1993.0924452896,37.3677424248,-18.6842803596,2438.8264747395,2823.3178769972,-1665.5542784416,2448.1865078001,-1229.8059672922,1999.6983811667
1932,2098.3333333333,1681.5144883771,-1991.4041125826,-1410.7602235718,-334.9426430066,-1525.9032003471,849.3402072539,-1799.3226659989,1360.1804044321,1255.1939304967,-661.2960291478,1553.3056265157,2071.4285417734,-1440.3548871539,1918.7558443219,-1079.5557981876,1597.7834788158
1933,2354.5833333333,699.3365763894,-1896.1419937294,-1910.6932505225,-734.6558165367,-1496.2917527709,722.9025490404,-1902.403932902,1380.9877501733,2248.3307200087,-1395.9613938885,1375.9774620315,2237.0390038709,-1818.0136589698,2240.8646943093,-1387.4155648867,1907.0751184687
1934,2452.9166666667,-786.5828983554,-1429.5764884259,-2244.9160167382,-1120.3053554448,-1309.2479280779,505.0783408973,-1844.3874938511,1278.4335132272,2323.3784705954,-1993.2664742455,988.5101169961,2182.1356704323,-2074.2878383761,2400.3533163199,-1617.1069680566,2093.4201503446
