Year,Annual_Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1974,684.5,-211.2219306576,-402.4666684739,71.4450994682,-310.6861884842,-662.9794723037,508.6474322092,269.0670947519,-357.683906531,651.0956504303,-553.6793573609,-680.7612266882,609.9297847172,170.2893693215,-458.0589915142,629.399037592,-583.6115771716
1975,1206.0833333333,-975.1889179329,-373.1473610882,372.4021388604,-708.7278017189,-1196.5494211083,975.6497885824,372.8279994018,-547.6551001412,709.6785055821,-1146.9080407153,-1147.1502316247,975.8800694835,151.3489008539,-709.044777841,1147.011896105,-1074.5747522782
1976,956.4166666667,-956.4160899605,-0.5251530474,477.9051040323,-676.1030155053,-956.4166435984,828.193590551,212.9690091242,-366.1261038665,1.0503059365,-956.4165224901,-828.4561254633,676.4743548003,0.2100612278,-478.359923957,932.4039046628,-883.5635327159
1977,1299.4166666667,-1052.3311540206,400.6663407527,869.0233511989,-1050.9795893731,-1289.2164711201,1186.9513679763,174.685542317,-401.7606743158,-762.2878825542,-1236.1028100442,-966.0652610887,764.1502315202,-162.4948128521,-528.8006464353,1287.6213088159,-1235.7475608653
1978,994.5833333333,-308.9840508907,583.9030825671,804.2965452205,-885.9842778367,-963.4224502973,945.8160354631,44.8681100672,-232.3906308489,-945.3702254882,-805.1417248615,-585.0667263576,451.915773536,-247.0084800315,-307.6166998153,993.5707622728,-967.0525330291
1979,728.75,223.7722356518,589.1309613453,665.5431783826,-692.9667201895,-677.6847496897,712.7731594786,-32.4816479089,-114.1863940273,-693.5434730796,-428.9536955015,-296.8650201832,225.5519612192,-267.9924300014,-151.7596310843,728.0257585066,-719.7485879938
1980,1236,998.2187175417,1175.051984995,1208.7868470092,-1220.6679018992,-1083.3974495629,1229.1778843811,-165.497219201,-97.3408271298,-728.8726856931,-383.3390569186,-257.9347950504,194.0769776998,-594.9335814027,-129.6831852953,1224.8700626747,-1232.1610135748
1981,844.5833333333,844.5802757236,844.5825689305,844.5829935987,-844.5831422326,-683.5493337347,844.5832483996,-187.6209377402,-0.2840778748,-2.2726202985,-1.1363111777,-0.7575409121,0.5681557174,-496.0658376619,-0.3787704941,823.4800487358,-844.5832855581
1982,907,735.3794384249,863.0290118679,887.3685912488,-895.9398176675,-661.5481171652,902.0787970745,-279.9075462759,70.8222612445,530.9106153977,278.98015104,187.6858632534,-141.2120501866,-620.4861712199,94.3548825906,862.7286743454,-904.2307268127
1983,1080.5,337.3107949062,875.1984243291,987.5727710616,-1027.8939992741,-689.290587178,1057.0129207186,-424.1911533945,168.5834864159,1026.4997212078,633.6465639865,438.3837039143,-333.0378000411,-832.0809674712,224.0623472026,993.75153604,-1067.2674726177
1984,1010.25,-308.678858916,595.2991875016,818.0305736929,-900.5570683398,-541.9409408825,960.9943937332,-478.2623329705,235.3904035955,961.9368090256,816.2254222088,592.8161966442,-457.8231417952,-852.5872853235,311.6004456245,889.8708914003,-982.4441054814
1985,1106.8333333333,-892.8604300342,344.1165077423,741.7025174307,-896.0914152856,-472.0607369046,1011.439839409,-609.2278228064,341.5085501315,654.1255844689,1051.9809203959,821.5579123925,-649.6923912354,-1001.1187184599,449.5213888505,924.0787237548,-1052.8304412225
1986,1182.4166666667,-1182.4058190986,2.532424267,592.6698271431,-836.9897114874,-366.3501024078,1024.4246812372,-736.6589007842,451.9062894672,5.0648369176,1182.4139547716,1023.1576856015,-835.1990160886,-1124.2316380875,590.4771342595,924.901528546,-1092.6526800183
1987,929.0833333333,-754.1493998889,-285.0685899898,288.4576614906,-546.9658876298,-174.9327651982,752.0628450937,-641.6131627916,421.3187333712,-542.6366398658,884.2690423615,883.1693030247,-751.0154179823,-912.4660913907,545.5248090667,671.958621948,-828.06181242
1988,780.3333333333,-244.7850598308,-457.1138640553,82.8398087712,-355.1189419476,-49.763927961,580.3286892883,-587.2857278428,407.3137386655,-740.9456023182,632.4294635764,775.923757333,-694.8457729461,-778.7449278069,521.6691705477,513.824469039,-665.5941927371
1989,876.6666666667,266.5330781431,-707.8859758523,-90.1138954387,-271.9966963163,54.1295548841,587.1731414625,-708.8523691146,514.8271590255,-835.1673860371,517.1478411791,872.0228955098,-833.4040086522,-874.9939632549,650.9778386317,515.8224144463,-709.5755356368
1990,1168.5,941.5046696125,-1110.3018635584,-359.0270022712,-184.3970206268,217.6791259496,687.7024057854,-1002.6212713341,758.2625967953,-692.0702327783,364.1730656966,1111.9765562457,-1153.8587386608,-1148.0453162336,944.6997676918,600.1190184193,-889.0613501335
1991,924.5,924.484039067,-924.4960097581,-460.680892093,-1.358119766,284.6526949546,463.0338892889,-832.6087013422,653.2398748838,-5.432449755,2.7162366011,801.5443628773,-924.499002439,-879.5868878372,800.1873951581,401.8245891545,-654.200210839
1992,891.3333333333,724.3354179266,-848.5574269379,-595.0493836304,138.0717046208,378.5117825215,363.3784256817,-834.2198615368,677.3267394064,519.4355719896,-272.8101983057,663.6198777555,-880.5744235976,-806.972082295,813.8987841618,313.9304600204,-579.3993434551
1993,941.1666666667,296.6602585132,-763.2173481656,-760.2169936284,289.378616115,503.2667453552,291.8079853328,-907.0163475299,760.9691853085,893.1894454501,-550.7213214536,554.8556722637,-895.5750727772,-795.3095482038,894.786451697,251.2290583472,-553.8236122227
1994,1434.9166666667,-434.0802008452,-847.3833032976,-1309.5291321161,649.2539623757,913.1387927303,299.9338786457,-1411.6062382448,1222.826883044,1367.684254319,-1157.9841870986,586.616819071,-1279.6308579498,-1106.8709886382,1403.2196936754,257.5920581582,-750.7864239468
1995,980.25,-788.8988645344,-306.2449595832,-958.3407093011,574.7579668298,713.6111638848,103.6257260713,-976.2135373752,873.0110421652,581.8321442103,-931.1842391438,206.0901438602,-794.0675928822,-672.0484872976,974.757288455,88.8661462283,-445.8046464064
1996,1122.5,-1122.4686920999,-4.1918443382,-1122.4965213301,792.243934887,907.1349993995,1.3972843329,-1122.4993610604,1036.6532850743,8.3836302184,-1122.4921729977,2.7945665007,-795.2080216112,-661.1447215735,1122.4991303322,1.1976723674,-430.5301575322
1997,1125.9166666667,-916.0116686203,343.7553895702,-1101.9166223588,909.5955866899,985.802309575,-116.2369345068,-1121.4956411625,1070.4711979447,-654.6838651053,-1072.1569719119,-231.2316968916,-663.5692947629,-543.9505002429,1119.9005827904,-99.6788198732,-348.9695612065
1998,1039.25,-329.1469716452,607.4432369439,-950.5407661421,925.0205258517,965.6487273526,-214.6987089934,-1022.7630197502,1010.2891031758,-985.7498838736,-843.2397502437,-420.1342813935,-473.6851161405,-384.1394250299,1016.8308742641,-184.3810400543,-243.631874976
1999,1083.75,326.202320633,874.0811825815,-878.5575183458,1029.9998893502,1049.2464075913,-333.4496603633,-1045.0409785025,1070.2281164741,-1033.4921908334,-640.6997336951,-634.5476731169,-337.0671897985,-271.2858983742,1031.1766999422,-287.0599514921,-170.662946208
2000,827,664.7816255704,785.3990719204,-555.1597327974,816.533536506,820.2963623118,-335.2699665766,-774.6285732118,824.3792315101,-491.9292533525,-258.9928528486,-612.965472992,-131.1563332856,-105.0850987436,755.9914348137,-289.6197050682,-65.7866449574
2001,1172.25,1172.2018738278,1172.2379683952,-589.1887063628,1172.2469920949,1172.2480749405,-584.5911398004,-1056.8182745168,1172.2492480235,-10.6221228894,-5.3111159563,-1013.4232732647,-2.6555647921,-2.1244524879,1016.0823105275,-507.2525969843,-1.3277832478
2002,783.5,638.1566206877,746.280095644,-244.4434639166,774.1391040818,777.5047204348,-459.5382443395,-673.1325116818,781.1562705528,454.5639421165,238.6174110278,-744.3921298271,120.7513872859,96.7401659172,634.5839991595,-400.954949735,60.5568408684
2003,1239.8333333333,394.5473706963,1006.568347459,-133.5834051119,1180.0770491587,1201.4775050986,-828.1200202889,-1004.0549646221,1224.8031588572,1175.3803923501,723.8831786539,-1232.6159857486,380.2694472256,306.0040836106,922.7155176115,-727.3653294336,192.4679622636
2004,992.4166666667,-297.2038725698,587.3417930565,100.4396811342,885.3752381722,923.4557387058,-736.3996380465,-748.2942816707,965.2854455792,946.8688918786,799.9502849596,-987.3209765479,448.3319394258,363.4836157645,665.2867151558,-651.8792129657,230.4665894026
2005,1135.0833333333,-911.357049371,356.3340961473,347.0387893349,920.0225723443,995.8093413834,-917.1510560985,-785.6242150069,1079.9806622735,676.6406004467,1077.7013433851,-1080.7304253643,664.8102285524,544.7732824071,668.7661130084,-819.2733160587,349.3650565329
2006,926.5833333333,-926.5307457682,4.9359275397,460.4389785291,656.9361543574,750.7804723626,-801.6207822696,-578.817184134,856.5228442087,9.8717150108,926.5701863488,-804.0849586096,653.4459141422,543.0334758834,464.7158218143,-723.551892377,353.4477202638
2007,1007.5,-821.5333404259,-306.0730382776,671.4061151735,594.4273142847,735.9476444119,-919.6461034108,-556.3460458584,898.3155818369,-583.214557919,959.8830893601,-751.1791254472,813.4570781746,688.0678125625,411.4696762598,-839.961503438,456.1637484819
2008,1015.0833333333,-324.558269283,-592.0052718373,818.9682306115,463.3894090954,648.8030581496,-964.8096120568,-482.4573993204,866.2485323586,-961.7983694367,824.5750006687,-599.7376183466,903.1414225631,780.6719960052,315.4941934393,-893.1007957963,529.1574943224
2009,715.0833333333,213.0626215933,-576.0649717127,652.1306812353,222.9458604933,384.5616799881,-699.1680609545,-282.1358081516,579.1239257212,-682.6041992918,423.6665221335,-293.3764615689,679.4404439684,602.8735256219,150.0273180198,-657.0719590499,419.4754489459
2010,953.3333333333,764.5241219011,-904.9007608545,931.7052501758,151.9414126615,407.9662937359,-947.9108914551,-296.1407726421,725.8427026045,-569.5149791495,299.9984290781,-201.9152575693,941.147305985,861.6309811165,101.5351481266,-906.170561883,618.0589094255
2011,1171.1666666667,1171.0788403854,-1171.1447098906,1171.1569080826,3.5857387205,364.637511315,-1171.1642270181,-262.6063247498,829.4066731031,-14.34261876,7.1714438287,-4.7809791511,1171.1611774598,1112.9559049905,2.3904945552,-1141.3453812552,826.8711699673
,,-18.946247498,-12.832349993,-59.7742384104,188.6390970356,50.7154028796,-180.4019782317,26.6968991084,-33.1215229114,21.9426302236,-23.9904922705,-108.9645432364,12.9312003738,-170.3415861369,254.9023245056,-70.0348901603,-217.5832975276
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,840.4393153859,,,,,,,,,,,,,,,,
20,740.2129257237,,,,,,,,,,,,,,,,
30,15446.2312602559,,,,,,,,,,,,,,,,
40,35751.924873498,,,,,,,,,,,,,,,,
50,31588.3080568846,,,,,,,,,,,,,,,,
60,97520.068788254,,,,,,,,,,,,,,,,
70,5617.6102617693,,,,,,,,,,,,,,,,
80,48439.5266429617,,,,,,,,,,,,,,,,
