Year,Annual_mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1905,614.4166666667,-504.7287998221,183.5674991937,-601.8909689661,-495.1236064059,537.1386215347,-62.0322393151,188.0680616354,191.4362092734,350.3664922735,586.3538296264,123.4305543815,-363.8137636998,298.3118192992,-611.2772215316,584.9258452749,-583.8321831287
1906,780.75,-780.5745732745,-8.2753977532,-780.7305074927,-549.1400302765,629.6886479201,2.7585118311,171.4272639319,300.6904420343,-16.5498657808,780.7061420868,-5.5169892271,-554.9917023235,461.5872281385,-780.745126858,761.6976143332,-720.5246842192
1907,896.5,-714.1234882398,-285.9200437124,-875.590772095,-523.1562533373,650.9518314034,96.8119900034,117.6896041413,409.0859743887,-541.9777611159,849.6834578851,-192.4916876701,-728.0245769162,616.4202812957,-891.2573638358,888.7414737015,-797.7223298607
1908,861.3333333333,-249.2677140012,-513.4162639214,-784.4474982177,-387.0869211948,546.3006341616,181.9674869946,36.1158630274,451.9315451419,-824.4760262541,691.5915348325,-355.7207242361,-769.4535896017,665.9209624466,-841.8924781633,860.5758278902,-733.2482455599
1909,753.8333333333,247.4118487693,-614.3175046783,-606.8602204166,-229.3160288421,401.3438826206,235.3648567866,-35.9982853414,444.6339101079,-712.0758888861,436.8966672913,-447.1972353674,-718.1078285052,638.1126721257,-716.1480842914,752.9733181839,-608.7408154762
1910,775.5,636.3498429921,-739.8951119045,-515.0717445261,-117.4980653416,327.3929979027,317.7751658956,-106.2848853646,505.114096184,-443.2371005725,232.2831749822,-579.7424842038,-766.5470987754,703.0036094675,-707.4031339625,768.1821223792,-588.4386117822
1911,302,301.9419562325,-301.9854887095,-149.2875098302,1.4802718894,92.1961554142,151.8538310865,-68.0257226124,214.0689633163,5.9207319205,-2.9605082145,-262.5209313725,-301.9963721556,287.5828036007,-261.0448505226,294.2388503632,-213.0222498818
1912,916.5833333333,731.00282852,-868.9505210843,-277.6294753087,147.7488440348,168.2761741125,541.1351296277,-285.6406925796,698.4085963481,552.9555783606,-291.6333294596,-873.5255470702,-904.5967532723,901.0039601303,-739.7957680517,870.9388047888,-593.5911383195
1913,960,279.2847700416,-771.2695311109,-94.3084464326,300.9827653983,56.6435611981,644.6176740614,-379.6947931386,777.9921126793,918.4770096322,-571.6146519991,-955.3564344952,-911.5971560581,958.3274528963,-711.3846036341,881.7209672359,-562.4306824924
1914,873.8333333333,-285.4814604036,-507.0115769364,96.7414405783,400.338031001,-58.1211548436,651.1991208288,-416.1309928014,746.1278075953,825.8843927634,-711.704963659,-868.4617367042,-776.7330013451,871.8982886805,-582.6872226814,768.3877219702,-454.8384209556
1915,402.25,-329.7065663841,-120.7903062584,126.6374887224,237.9255784984,-76.8223266639,326.1479666797,-222.4767286462,358.824906083,230.4314270736,-383.6857625897,-381.7957686383,-324.3400709074,394.8460366091,-235.4412162955,335.1255999038,-181.7959000487
