Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1936,465.6666666667,-465.6351039355,2.7108773325,-465.6631596614,-330.2331068016,-142.8672396591,-0.9036303144,-289.7324560467,177.5765952726,-5.4216627931,-465.658775917,-1.8072572262,328.3162189363,-443.2092014802,465.6657899145,-364.5552747631,430.4788000075
1937,577.6666666667,-463.4670901523,181.6167512921,-564.5858668531,-468.3015700954,-106.9584768185,-61.4668285567,-317.4544619512,177.7309353855,-344.814492334,-548.3740816522,-122.2357424305,338.2194808464,-567.6783085644,574.3871575558,-482.6193555641,549.6457881079
1938,727.0833333333,-217.0570328008,430.599362911,-663.1342690146,-648.7417798044,-44.0565333281,-152.4734384218,-343.5348996713,168.7614260995,-693.9282514228,-585.8620676163,-298.1662537402,328.3051579663,-725.7473358423,710.9163271348,-640.8072614436,707.2268056797
1939,618.5833333333,197.4292460981,502.3802252411,-499.1459558026,-588.8163442909,40.1606880317,-192.2003786645,-242.2500110226,95.9514546663,-586.2312112664,-360.914740021,-365.3746776716,189.580201956,-617.2782674083,587.9662870599,-569.1750806538,611.0962760688
1940,657.25,535.7035111177,626.1264629378,-438.0952940602,-649.422505102,124.4949576911,-268.3648919651,-202.1752777364,50.7179505782,-380.7877501656,-199.857986853,-489.9490543131,101.133438422,-645.3515073272,599.9648716888,-625.3820588826,655.290204405
1941,499.3333333333,499.3081145448,499.3270285964,-248.2165512042,-499.3317571466,155.2567495459,-250.3906746231,-110.4130512672,-0.6273127486,5.0184188221,2.5092410935,-433.2693405793,-1.2546245071,-474.5831007297,432.0165365348,-486.9730340456,499.3329392865
1942,599.75,481.7542978233,569.4875778362,-183.4816288641,-592.1360643076,256.4168852732,-353.3107382947,-79.680056575,-47.783145206,357.2294207211,188.1062497373,-570.9943558122,-95.2624996857,-542.1719685181,484.6355173794,-594.4334706964,597.8434858173
1943,835.8333333333,250.7924701431,673.8835460989,-84.7596525705,-794.3147020311,449.1897340614,-560.2554855469,-36.3766206194,-131.7244396397,797.3208250325,494.4677213006,-831.5246012038,-260.1567128643,-704.8729984366,620.2670005938,-835.0413777672,825.3884134834
1944,687.1666666667,-218.2810877984,401.3742270494,73.899948246,-611.5590803288,438.9788813311,-511.3607380709,31.7214983254,-161.175390613,651.5760849566,557.7604841133,-683.1814000886,-313.3584513703,-528.6734053488,459.0296540937,-686.4341004946,667.9973961316
1945,569.5,-463.6552029417,173.6067566725,177.56891291,-459.9996184374,415.8312795888,-461.2243195573,77.1533360382,-176.5792560013,330.6873187546,542.3937168125,-541.1095371253,-335.7537803771,-389.1202859214,334.0694195057,-564.2496014515,541.4332981541
1946,838.4166666667,-838.3866793661,-3.5455502103,421.2536951213,-591.5952410879,679.1259722226,-726.6803375038,187.5527421953,-321.6669060501,-7.0910370142,838.409169808,-724.9053947179,-594.102329289,-491.6608798727,418.1844019448,-817.169796211,774.2563583831
1947,657.5,-528.7655335873,-205.7217923147,441.2774090358,-385.3856325507,576.6865032265,-601.0183634636,203.9056243,-299.0946310099,-390.7854404787,624.4876253112,-487.4222997306,-532.7139609804,-315.8147035784,266.6142846501,-625.082991593,585.5327930194
1948,751.25,-226.5542369669,-443.9468954608,608.9230877762,-339.7509803408,698.92629847,-714.783195169,296.0316558638,-393.1530481371,-716.2749054744,606.0426688862,-439.9877676403,-670.0342034982,-275.4606901303,231.217530486,-690.4649312069,640.1618883068
1949,748.8333333333,236.7385744107,-607.4656767734,684.8528147119,-230.0660921206,725.5859620313,-732.6636258183,355.5551704298,-440.7211150271,-710.4267791244,437.8776229191,-302.8662795563,-712.6155726389,-185.1387933798,154.7752322364,-659.0386042499,605.4058637644
1950,745.8333333333,606.5254764064,-710.1528986531,729.9043094863,-115.3508940848,740.0857528462,-741.8403889212,411.5158968517,-484.8890694132,-434.0440157185,227.9259126244,-153.3201229598,-736.8592350951,-92.4144985659,77.0726830744,-622.0305681792,566.7009365394
