Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1926,584,-583.9357960718,-4.3298437665,289.496583869,411.4166812614,-583.9974317977,505.0356447715,-583.9986896922,539.13047672,-8.6594495221,583.9839487974,507.1959462852,414.4783641878,-1.7319508354,293.249036674,-1.2371086278,224.4868126899
1927,747.4166666667,-598.2348886444,-236.1153820241,227.5237280797,437.124182487,-741.2480959239,603.6086066484,-744.267312232,665.336596395,-448.0476443636,709.1411707007,711.9442581915,606.2624206531,-95.8276259769,440.7814918881,-68.5408021117,340.527366167
1928,795.8333333333,-235.1604705037,-472.3357668731,79.4423034061,358.7827661979,-770.2659252096,590.158253171,-782.7542686557,677.8207651032,-760.2961577944,640.5073128207,791.8583300527,710.3700592816,-200.1027208846,533.9137857918,-143.6887237945,417.0248252074
1929,627.1666666667,202.0609515891,-509.9332903672,-68.4403500286,191.7353199541,-582.4819990637,418.5776639913,-604.233520682,506.7484727534,-593.7250202078,365.1110340062,623.4211628312,597.1395103825,-232.4924698663,467.0447162589,-168.0472560385,369.518623536
1930,664.1666666667,542.5640075168,-633.0364481754,-208.0905742569,101.675103757,-581.1441731263,389.1725440227,-621.3629458672,504.3047569954,-383.0687390775,200.9532691764,630.7263067421,656.3379726842,-321.5413055153,538.2026496498,-234.5750426076,432.1967991355
1931,871.4166666667,871.3403385939,-871.3975844396,-439.0336096671,-2.8834502559,-703.6325419323,434.042510737,-784.4029791839,615.164335903,11.5334853169,-5.766868941,752.7393284047,871.4118960969,-514.0702800963,755.6282854801,-379.5773612743,617.2032459227
1932,739.9166666667,592.9375354369,-702.2111642423,-497.4638612031,-118.1078525519,-538.065707541,299.4953018351,-634.4791879033,479.6283483302,442.607899479,-233.1869516602,547.7283819632,730.4294687215,-507.8995648547,676.5938499498,-380.6741831655,563.4122124069
1933,943.3333333333,280.1801466901,-759.6647449661,-765.4945176399,-294.3303430612,-599.4699218321,289.6215485803,-762.1735098372,553.2748657569,900.7645992036,-559.2738622834,551.2675586691,896.2407192999,-728.3636389856,897.7734326519,-555.8500865163,764.0449598678
1934,699.0833333333,-224.176794099,-407.4305133822,-639.8029714427,-319.2879778096,-373.1367714845,143.9477561334,-525.6520022394,364.3546370804,662.1648374324,-568.082638099,281.7262229142,621.9105194243,-591.17379569,684.1027338409,-460.876859352,596.6265208507
1935,734.9166666667,-599.684502028,-222.9174417384,-719.4604933527,-433.7492154,-311.320577951,75.3624554116,-506.9650137536,332.6657326758,424.8305603084,-700.2930251782,149.9303353199,593.2656446183,-665.7191635282,731.0424113954,-532.061069591,655.3136785142
1936,934.9166666667,-934.8532983272,5.4426150311,-934.9096256694,-663.0073774529,-286.83385142,-1.8142141191,-581.6944209714,356.5196532503,-10.8850456113,-934.9008244476,-3.6284214067,659.1588511536,-889.8289247326,934.9149064157,-731.9158245467,864.2701605733
1937,761.8333333333,-611.2256402441,239.5182256654,-744.582226597,-617.6014070703,-141.0580489144,-81.0631486823,-418.662534789,234.3935676997,-454.7452522962,-723.2019409209,-161.2058795873,446.0476765577,-748.6605737009,757.508279627,-636.4838644787,724.8790817776
1938,1019,-304.2032546806,603.4806887881,-929.3760276804,-909.2050983896,-61.7447896317,-213.689994845,-481.460716697,236.5174462287,-972.5334852033,-821.0798123567,-417.877014411,460.1163864311,-1017.1276129146,996.3421029462,-898.0849504794,991.1712756277
1939,576.25,183.9179895956,467.9993611131,-464.9864319514,-548.5201429033,37.4122535012,-179.0469646322,-225.6714032361,89.3849264472,-546.1119258935,-336.2151996828,-340.3699172975,176.6061021859,-575.0342474914,547.72826014,-530.2230476521,569.2753265548
1940,772.25,629.4363430363,735.6807318429,-514.7494725569,-763.0529167973,146.2780237002,-315.3210921568,-237.5501836926,59.5921450499,-447.4147433479,-234.8274330122,-575.6761615721,118.8289050154,-758.2696105491,704.941608462,-734.8060783143,769.9472960848
