Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1916,815.3333333333,-815.2010521382,7.3434755976,411.8991069946,579.1182197452,-254.7438768083,707.3201242533,-509.990744279,753.9704347464,-14.6863554736,-815.3002623638,-703.638806563,-573.925545697,774.5153334009,-405.5449250955,636.1429754341,-310.3176243347
1917,632.0833333333,-504.7121807606,200.6354688093,425.709574247,513.0047154694,-271.1503672583,578.192557458,-437.9626887317,601.5775389953,-380.5193225969,-599.3953194123,-467.2266031298,-369.2634590424,570.9700680539,-255.3873661282,455.7609280715,-193.9943423249
1918,308.4166666667,-90.1949220171,183.4437557932,250.5601601415,275.4069279814,-166.1619049526,293.5964659768,-232.762796568,300.0507681899,-294.9334099761,-247.9298867387,-179.8344973237,-138.8231403535,259.8289083615,-94.4561032636,202.3420885818,-71.3468765008
1919,649.9166666667,211.3492936495,529.0326559118,595.2218852594,618.9583240813,-415.9784936617,636.0960215274,-526.7229779857,642.130440177,-614.5918561818,-377.5130760518,-260.9647120195,-198.1975445397,499.3531480046,-133.3173844934,380.7290087096,-100.3004058282
1920,414.8333333333,339.6416601179,395.5890395663,406.243165352,409.9940331016,-303.3495051378,412.6802035907,-356.6209610099,413.6217389371,-238.1811015946,-124.8839710268,-83.9832426689,-63.1790096908,282.9589584677,-42.2107096456,211.915512912,-31.6820378615
1921,507.5,507.4315778633,507.4828941775,507.4923973885,507.4957235264,-411.5535901286,507.4980993436,-457.7569909037,507.4989308805,8.3332938973,4.1667873946,2.7778756023,2.0834112533,296.9509933512,1.3889430029,219.1227675956,1.0417078211
1922,562.4166666667,449.622718452,533.4734377239,549.4909540471,555.1337044102,-493.7195066873,559.1759015208,-527.0072957458,560.5929693339,337.8637565592,178.0971594033,119.8841038875,90.2168341957,269.3576723632,60.2894526672,196.4072737328,45.2551618921
1923,516.5,151.834310417,415.4483549916,470.7344079286,490.5870592225,-480.8273819952,504.9289908963,-498.1953862668,509.9806202634,493.678632493,306.8793155864,212.5590910597,161.5443818999,188.6194017688,108.7150594557,136.2850215633,81.8047489807
1924,561.25,-181.6698624424,326.3735223668,452.3541089699,499.0885201687,-544.0464223178,533.3316539262,-552.4505434849,545.4883108027,531.0344843606,456.5981673177,332.2308272844,256.733736653,137.8950791843,174.8110677856,98.9947448261,132.0759829706
1925,480.75,-393.1703175411,145.0929570002,319.8766180977,387.8620899094,-477.1394859196,438.6919458176,-478.9067696566,456.938323094,276.6544124077,458.3324081155,358.8864885927,284.0485199945,58.8087874081,196.6467370051,42.0579181259,149.4253371688
