Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1901,709.3333333333,709.1491066348,709.2872751634,-359.3233590836,-709.3218186974,709.3259639591,-352.3306272058,440.4540775857,2.0208556475,16.1654674163,8.0832585673,611.5885065914,-4.0416948927,3.2333622126,-615.6434901065,556.0161718114,-709.3304546685
1902,734.0833333333,584.0399753911,695.5617701588,-495.2703919498,-724.3889297384,727.8739842489,-296.0646889228,402.4353453203,59.6510691674,444.7197403116,234.6745920873,541.8353801069,-118.9076059392,95.277506954,-671.7321194128,613.9414736884,-731.655718371
1903,1022.3333333333,294.3017874693,820.3779530905,-831.5001005898,-970.5321148268,989.0786016283,-312.3260915625,481.6000326662,162.7238648546,979.056638983,610.0372599501,594.788220431,-321.2987060885,258.6290089014,-973.4566538751,901.7909142258,-1009.2999495944
1904,866.6666666667,-285.7477887616,501.7285259569,-794.2841733917,-770.0462649328,804.4052879723,-177.1037749057,338.1340881702,204.6187693037,818.2049329655,706.6679541003,346.7329851783,-397.6680286046,322.5573496192,-848.3780784682,797.9827376131,-842.1652274701
1905,753.6666666667,-619.1193904233,225.1708209288,-738.3021732441,-607.3372977533,658.874500632,-76.0910853609,230.6913806362,234.8228776168,429.7727595444,719.2437318787,151.4045753189,-446.2676900721,365.9205335335,-749.8157048056,717.492112392,-716.1505851372
1906,836.9166666667,-836.7286198523,-8.8707246916,-836.8957718807,-588.6448205857,674.988055402,2.9569574469,183.7596340771,322.3219243624,-17.7404527736,836.8696536426,-5.9138779814,-594.9174582597,494.7935246232,-836.9114429539,816.4936642916,-772.3587793376
1907,514.5833333333,-409.9007752259,-164.1156599669,-502.5816153269,-300.2872155008,373.6407844316,55.5692543475,67.552826322,234.8118508877,-311.0906000084,487.7110385239,-110.4885825769,-417.8798812472,353.8199699759,-511.5741050089,510.1300055871,-457.8857953978
1908,592.4166666667,-171.443902751,-353.1226993245,-539.5353390896,-266.2346094015,375.7402484767,125.1554629493,24.8401383767,310.8341093667,-567.0665703019,475.6699130345,-244.6612450266,-529.222674969,458.0139436951,-579.0454360743,591.8956618103,-504.3209924232
1909,912.4166666667,299.459687395,-743.5510014065,-734.5249340418,-277.5570638726,485.7742837512,284.8783790578,-43.5712166929,538.1712007265,-861.8747410364,528.8062801429,-541.2737707316,-869.1756151121,772.351939764,-866.8036010289,911.3757307977,-736.8011484246
1910,924.9166666667,758.9562548216,-882.4517351202,-614.3113359655,-140.1365814772,390.472263456,379.0013503413,-126.7629424738,602.4351336285,-528.6362109666,277.0374982944,-691.4422772597,-914.2387974757,838.4522954524,-843.6994824683,916.1888433578,-701.813899868
1911,913,912.8245233122,-912.9561297741,-451.3228360099,4.4751266059,278.7254632224,459.0812840462,-205.6539229972,647.1687533369,17.8994312696,-8.9501456949,-793.6477163679,-912.9890323776,869.4142373757,-789.1852600236,889.5366568927,-644.0043514639
1912,732.1666666667,583.9249796688,-694.117581439,-221.770394587,118.0217604955,134.418989522,432.2586825084,-228.169754069,557.888710566,441.7008556666,-232.9566717549,-697.7721116973,-722.5917878217,719.7218650518,-590.9487788074,695.7058222452,-474.1605365284
1913,678.6666666667,197.4388165988,-545.2447101881,-66.6708322697,212.7780938718,40.0438509025,455.7088834684,-268.4231245939,549.9972018802,649.3122193094,-404.0998025938,-675.3839238307,-644.4485450467,677.4842687837,-502.9093934025,623.3277393376,-397.6072463731
1914,821.25,-268.30247876,-476.5019159554,90.919978724,376.2475010028,-54.6236869143,612.0129063292,-391.0901138717,701.2292145577,776.1864095636,-668.8777815048,-816.2016417337,-729.9927263262,819.4313975727,-547.6237439944,722.1496280771,-427.4683042645
1915,1180.3333333333,-967.4671237341,-354.4383463525,371.5958960563,698.151624995,-225.4218841657,957.0250259065,-652.8196363259,1052.9098756494,676.1613285831,-1125.859776532,-1120.3139148524,-951.7200671913,1158.6076781711,-690.8616920674,983.3683441137,-533.4487524942
1916,997.8333333333,-997.6714429991,8.9872012271,504.096474566,708.7450493897,-311.7644297734,865.6430057041,-624.1444370398,922.7352806269,-17.9736733894,-997.7928599289,-861.1376808857,-702.3900740163,947.8788432279,-496.3200054266,778.5339317097,-379.7775177621
1917,953.5833333333,-761.4266953782,302.6857837291,642.2405613854,773.9371073324,-409.0670603213,872.2817976259,-660.7260444505,907.5612101152,-574.0649450859,-904.2690362604,-704.8746235483,-557.0839501413,861.3856939671,-385.2864377858,687.5770995283,-292.6667447889
1918,506.5,-148.1234088137,301.2621312378,411.4846401891,452.2894645423,-272.8808587683,482.1613942736,-382.2567623723,492.7610291971,-484.3570023871,-407.1650504182,-295.334794578,-227.983530686,426.7063239722,-155.1213714229,332.2980854904,-117.1700392791
1919,833.5,271.049574956,678.4696274432,763.3554681836,793.7967890065,-533.4808172335,815.7754080416,-675.5075299157,823.5143816707,-788.1969156982,-484.1499918797,-334.6799653313,-254.1828235012,640.40648626,-170.9758276321,488.2743358268,-128.6324732778
