Year,annual_Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1926,639,-638.9297494689,-4.7376201486,316.7608169389,450.1631152843,-638.9971899293,552.5989332346,-638.99856629,589.9047510686,-9.4749798709,638.9824371259,554.9626878018,453.513141637,-1.8950626435,320.8666685526,-1.3536171458,245.6285501864
1927,567.5833333333,-454.2956657996,-179.3044784219,172.7800325511,331.9492481792,-562.8989610143,458.376432142,-565.1917341523,505.2522642486,-340.2444537585,538.5171717741,540.6458181003,460.3917211582,-72.770873066,334.7265850429,-52.0494373044,258.5942569922
1928,707,-208.9111446862,-419.6122142567,70.5747122615,318.7343443375,-684.2865036103,524.2829968485,-695.3808602382,602.1603529985,-675.4295919087,569.0119415676,703.4686986563,631.07639612,-177.7666475377,474.3167077128,-127.6497521123,370.4752478597
1929,748.1666666667,241.044807782,-608.3153176876,-81.6446269674,228.7270399347,-694.8609337755,499.334343252,-720.809001951,604.5160494791,-708.2730841649,435.5523336843,743.6985383867,712.3463359307,-277.3475145442,557.1522007139,-200.4688100868,440.8102846275
1930,768.6666666667,627.9310420747,-732.6384188167,-240.8315504323,117.6726671336,-672.5814119093,450.4049618652,-719.1282073625,583.6520801162,-443.3407840967,232.5712615914,729.9647996725,759.6062057765,-372.1326225939,622.8834680514,-271.4830856979,500.198654357
1931,674.6666666667,674.6075720815,-674.6518928586,-339.9078228808,-2.2324197449,-544.7651390919,336.0436231163,-607.2990838168,476.2714414718,8.9294345535,-4.464815047,582.7845082495,674.6629732046,-398.0025808224,585.0211914743,-293.8757116646,477.8500027723
1932,893.75,716.2129820431,-848.2052862371,-600.8897298573,-142.6632186754,-649.9329556681,361.7622606354,-766.3914055933,579.3461015701,534.6288683311,-281.667986998,661.6045609365,882.2903538729,-613.4950819986,817.2619710228,-459.8187424766,680.549158471
1933,1011.5,300.426379905,-814.559246855,-820.8102875542,-315.5990904662,-642.7885080564,310.5500315078,-817.249298799,593.2553286712,965.8551859659,-599.6878215897,591.1029705942,961.0044037864,-780.9962765024,962.64787328,-596.0166387045,819.2559825862
1934,603,-193.3655122303,-351.432494318,-551.86724298,-275.4044352641,-321.8521490597,124.1633047302,-453.4053985224,314.2770477904,571.1556518848,-490.0042876725,243.0052388851,536.4339633514,-509.9217529638,590.078362388,-397.533073581,514.6250452826
1935,754.4166666667,-615.5963030796,-228.8322485608,-738.5503851142,-445.2581525135,-319.5810400488,77.3620942103,-520.4166310819,341.4925590105,436.1028532115,-718.8743346115,153.9085299525,609.0071301428,-683.3831032341,750.439613376,-546.1785761433,672.7015230286
1936,735.5833333333,-735.5334757406,4.2821965308,-735.5777935451,-521.6477512057,-225.6780824034,-1.4274060103,-457.6715085047,280.5061929976,-8.5642479375,-735.5708688295,-2.8548066456,518.619768173,-700.1087368405,735.581948385,-575.8642466595,679.9993499759
1937,663.6666666667,-532.4656529101,208.6549058411,-648.6384656114,-538.0198650086,-122.8818969103,-70.6176893574,-364.7154262809,204.1905899323,-396.1486752666,-630.0131543967,-140.4335621345,388.5718328709,-652.1912939132,659.8989213465,-554.4692076908,631.4741858759
1938,592.25,-176.8050810448,350.7472403678,-540.1599140272,-528.4364274006,-35.8865080072,-124.1981348841,-279.8283704257,137.4656109214,-565.2433332794,-477.217388487,-242.8730733905,267.4228948615,-591.1617553961,579.0810701373,-521.973318863,576.075748764
1939,726.0833333333,231.7393265867,589.6859628891,-585.8896285745,-691.1433123813,47.1399804419,-225.6017646913,-284.349231583,112.6262999472,-688.1089241229,-423.6360137146,-428.8710179918,222.5262427109,-724.551467591,690.1455286478,-668.0887077646,717.2951439293
1940,879.6666666667,716.9882418357,838.0107699724,-586.3489189933,-869.190308591,166.6246701392,-359.1809052344,-270.5923965748,67.8811571325,-509.6482174145,-267.4909229391,-655.7502494394,135.3574966378,-863.7416649355,802.9959662162,-837.014455885,877.0436665018
1941,750.1666666667,750.1287795615,750.1571948306,-372.9047720194,-750.1642987039,233.2478737338,-376.1710368755,-165.8775513197,-0.9424348069,7.5393535107,3.7697243531,-650.9163224125,-1.8848681263,-712.983490115,649.0341892334,-731.5973385313,750.1660746758
1942,694.6666666667,557.9969190851,659.6149018818,-212.519502322,-685.8477465705,296.9975205832,-409.2258322113,-92.2902531067,-55.3453242235,413.7646868322,217.8760174809,-661.3601431222,-110.3387796832,-627.9763136817,561.3341215611,-688.5087413819,692.4584268131
1943,844.9166666667,253.5179316831,681.2069066697,-85.680769433,-802.9468358817,454.0712575921,-566.3440047817,-36.7719398266,-133.1559415261,805.9856276177,499.8412987305,-840.5611098311,-262.9839393551,-712.5331337137,627.0076888356,-844.1161046044,834.3582377177
1944,748.6666666667,-237.8167951468,437.296392895,80.5138412615,-666.2923572246,478.266586209,-557.1264699041,34.5605070284,-175.6002557928,709.8908012673,607.6788975593,-744.3247269459,-341.4033867464,-575.9885852114,500.111861797,-747.8685373324,727.7817859382
1945,552.3333333333,-449.6790583988,168.3736586517,172.2163820262,-446.1336656428,403.2967107279,-447.3214501062,74.827672119,-171.2565567422,320.7192784176,526.0441256999,-524.7986555555,-325.6330196575,-377.3908772442,323.9994311507,-547.2411996518,525.1126573259
1946,839,-838.9699918356,-3.5480170478,421.5467848605,-592.0068469608,679.5984781172,-727.185929628,187.6832331202,-321.8907076943,-7.095970645,838.9924979254,-725.4097519153,-594.5156794833,-492.0029558253,418.4753562051,-817.7383469091,774.7950518041
1947,691.5833333333,-556.1755593461,-216.3859511305,464.1522455751,-405.3631640733,606.5806451555,-632.1738147509,214.4756370172,-314.5990294995,-411.0428859991,656.8596707804,-512.6891844695,-560.3286644077,-332.185833333,280.4349744374,-657.4858995222,615.885506878
1948,787.75,-237.5615310092,-465.5163619292,638.5080364668,-356.2580163241,732.8841153008,-749.5114302753,310.4145582785,-412.2546604592,-751.075616356,635.4876704361,-461.3648771496,-702.5882779444,-288.8441379703,242.4513938641,-724.0116466665,671.2645956921
1949,631.6666666667,199.6971282031,-512.4181871737,577.6968991227,-194.0686599459,612.0567095702,-618.0269623529,299.9230126706,-371.7634155248,-599.2694175121,369.364832153,-255.4781214152,-601.1157401072,-156.170938551,130.5582306201,-555.9217249293,510.6806640702
1950,731.0833333333,594.5305032976,-696.1085340652,715.4693304048,-113.0696529392,725.4494200804,-727.1693555314,403.3775377743,-475.2996431243,-425.4601284803,223.4183275367,-150.2879819806,-722.2867116748,-90.5868598792,75.5484523588,-609.7289580599,555.4935548894
1951,749.5833333333,749.5656696222,-749.5789173925,749.5813706919,1.2864905002,749.5826267822,-749.5828426728,467.9320929934,-530.4901061512,5.1459241061,-2.572977211,1.715320012,-749.5822293473,1.0291925821,-0.8576605674,-585.5892160533,529.5804196596
1952,641.25,516.3035332718,-609.2131003231,626.9447188696,101.3500417312,636.0877774633,-637.6636509458,443.5771989219,-487.9509589908,380.3054351848,-200.1523442149,134.6918036909,-633.1901227444,81.2028439268,-67.7246687879,-463.0775648815,416.0593997495
1953,926.5833333333,280.836125233,-747.9220369296,845.6917736118,287.7017375333,897.1852901346,-906.1348067967,698.32559733,-750.0454348173,882.9992890004,-546.9637102095,378.6318761757,-880.786230496,231.5496248693,-193.5881853901,-609.0139848351,544.0482692931
1954,832.5,-261.9310083118,-487.339042957,672.5414395228,379.0425416351,773.6761740472,-791.500789135,673.9195087198,-710.1440578894,790.2204735925,-674.9495590115,490.6569699134,-741.2037517652,307.3783136653,-258.0363361983,-488.7624635413,434.4555984729
1955,802.0833333333,-651.5247734477,-245.7239422349,535.586715583,472.3592885418,702.4384655377,-732.4352707697,688.8758303045,-714.9157944456,467.8174250656,-763.5164816974,597.0632660799,-648.2394435232,387.1922981467,-326.9193291067,-410.8378804753,363.6386674478
