Year,annual_Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1929,2214.3333333333,713.4153076834,-1800.4182024497,-241.641905522,676.9586662,-2056.5654636089,1477.8694774884,-2133.3634216796,1789.1735872976,-2096.2611263566,1289.095189425,2201.1091069292,2108.3166449487,-820.8596743671,1648.9917885239,-593.3233706423,1304.6570375496
1930,1898.4166666667,1550.8344611344,-1809.4357999852,-594.7944005202,290.6224013411,-1661.1098378909,1112.3889241381,-1776.0689171645,1441.4763700267,-1094.9421511825,574.3935288717,1802.8326215674,1876.0395678441,-919.0755935939,1538.3682009626,-670.4961161409,1235.367036525
1931,2116.6666666667,2116.4812661648,-2116.6203160337,-1066.4104126942,-7.0038860573,-1709.1198780799,1054.2870586898,-1905.3108607889,1494.2310540247,28.0147773787,-14.007695429,1828.4000135297,2116.6550789767,-1248.6741048529,1835.4172756235,-921.9914866949,1499.1835561286
1932,2074.3333333333,1662.2819159921,-1968.6271314697,-1394.6244434134,-331.1116866449,-1508.4504552439,839.6257521432,-1778.7426450375,1344.6231384879,1240.8374629835,-653.7323573291,1535.5394620822,2047.7362693337,-1423.8806136233,1896.8097885966,-1067.20821797,1579.5085923225
1933,1767.3333333333,524.917009806,-1423.2305575301,-1434.1526263345,-551.427377707,-1123.1058394184,542.6054595664,-1427.9307240837,1036.5594834781,1687.5808851511,-1047.7985928716,1032.7987971957,1679.1054041442,-1364.5879907779,1681.9769399013,-1041.384155021,1431.4368824096
1934,2368.1666666667,-759.405904721,-1380.1836129807,-2167.3525858219,-1081.5980156626,-1264.0124892175,487.6275281678,-1780.6626057503,1234.2627341223,2243.1041065867,-1924.3977124209,954.3563956105,2106.7413447374,-2002.6197313053,2317.4194171285,-1561.2347823418,2021.0910084081
1935,1866.5,-1523.0449570725,-566.1531761035,-1827.245280657,-1101.6118524242,-790.6744874642,191.4013239946,-1287.5612176043,844.8857104515,1078.9607540296,-1778.5648234427,380.7846298327,1506.7427041797,-1690.7560749184,1856.6603844465,-1351.2987681936,1664.328809543
1936,2023.25,-2023.1128647905,11.7783448025,-2023.2347626015,-1434.8120257758,-620.7361688765,-3.9261346464,-1258.8429313454,771.5429772051,-23.5562904355,-2023.2157159072,-7.8522545086,1426.4834430126,-1925.6757699957,2023.2461906468,-1583.9365633452,1870.3641348212
1937,1822.5,-1462.2079142571,572.9887984361,-1781.2309446159,-1477.4603776667,-337.4468967138,-193.9237652244,-1001.5477615223,560.7293071093,-1087.8668417982,-1730.0838381035,-385.6456559368,1067.0600181926,-1790.9873930037,1812.1533663797,-1522.6320407077,1734.0959875822
1938,2049.25,-611.7649849405,1213.6239465153,-1869.0125855977,-1828.4480352059,-124.1712562834,-429.7391775624,-968.2368731023,475.6461007694,-1955.8039691393,-1651.2245392268,-840.3674894815,925.3125661374,-2045.4845542348,2003.6840573723,-1806.0849703336,1993.285315584
1939,1826.75,583.0319956509,1483.5884302183,-1474.0372487067,-1738.8445484576,118.5992782356,-567.5905295303,-715.3930340331,283.3560336442,-1731.2103438194,-1065.8240625086,-1078.9947877192,559.8528367342,-1822.8959854314,1736.3342285653,-1680.8415658107,1804.6398312953
1940,1885.9166666667,1537.150521124,1796.6106228917,-1257.0729808391,-1863.4564109248,357.2264977188,-770.0476569117,-580.1228236913,145.5303587595,-1092.6344077593,-573.4735768316,-1405.862437956,290.1928293303,-1851.7750681276,1721.542412982,-1794.4746259125,1880.2932187004
1941,2001.5,2001.3989144088,2001.4747284427,-994.9374377207,-2001.4936821007,622.3225318082,-1003.6520732809,-442.5735422791,-2.51448558,20.1155512798,10.0579026341,-1736.6927606868,-5.0289671914,-1902.2925422773,1731.6710905362,-1951.9556628352,2001.4984205246
