Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1912,2099.5,1674.4145160228,-1990.3936201654,-635.9302664721,338.4293459962,385.4486708419,1239.5089058861,-654.2805353988,1599.75508468,1266.5844932464,-668.0071008643,-2000.8730459939,-2072.0438768927,2063.8143259863,-1694.5553759701,1994.9479268889,-1359.6631638169
1913,2232.25,649.4098207555,-1793.4025112731,-219.291697447,699.8633104795,131.7110307129,1498.9039613788,-882.8892728997,1809.034264092,2135.698234116,-1329.1529238802,-2221.4525009396,-2119.7007829278,2228.3608924249,-1654.1544598565,2050.2308636587,-1307.7978031183
1914,1803.1666666667,-589.0947778194,-1046.2251098369,199.6272450157,826.1028337593,-119.9337734604,1343.7580179758,-858.6918197823,1539.6446214714,1704.2233922006,-1468.6126267075,-1792.0823058178,-1602.7988444695,1799.1736763752,-1202.3828079707,1585.5782498561,-938.5651108752
1915,1812.75,-1485.8311453395,-544.3446306274,570.6951092145,1072.2177561788,-346.2017965445,1469.7942239866,-1002.597115857,1617.053694225,1038.4451694909,-1729.0897852937,-1720.5724788043,-1461.6468950588,1779.383848013,-1061.0219138339,1510.2521596658,-819.2679125252
1916,2691.75,-2691.3132854782,24.2438271954,1359.8480227957,1911.906951757,-841.0141010615,2335.1540610697,-1683.6887807602,2489.1658843769,-48.4856876691,-2691.6408191553,-2323.0005203182,-1894.7638033073,2556.9930278191,-1338.8702601708,2100.1690770132,-1024.4858527838
1917,2273.5833333333,-1815.4334116931,721.6793006624,1531.2635878947,1845.2613911867,-975.3191127104,2079.7399532139,-1575.3376449134,2163.8549764548,-1368.7157123813,-2156.0056031018,-1680.5989997614,-1328.2287347466,2053.7608921179,-918.6201067997,1639.357336925,-697.7913832104
1918,2431.4166666667,-711.0557253963,1446.1871015341,1975.302294636,2171.1829067047,-1309.9448529587,2314.5809477989,-1834.9959782393,2365.4637296615,-2325.1208059638,-1954.566415935,-1417.733350017,-1094.4184723304,2048.3728882095,-744.6489394546,1595.1729582683,-562.466310636
1919,1915.5833333333,622.9370705372,1559.2862753486,1754.3743398457,1824.3358117268,-1226.0671411465,1874.8479608731,-1552.4786632846,1892.6339823499,-1811.4659569241,-1112.6930477242,-769.1750013069,-584.1732217379,1471.8080283601,-392.9435462687,1122.1717814089,-295.6283406555
1920,2318.9166666667,1898.5955154883,2211.3411418265,2270.8976621639,2291.8649978142,-1695.7225149596,2306.880680056,-1993.5097392577,2312.1438588598,-1331.4314009788,-698.1008962966,-469.4659891014,-353.1704103385,1581.7394409964,-235.9576973296,1184.60686577,-177.1024643578
1921,2545,2544.6568781518,2544.9142180923,2544.9618745887,2544.9785544327,-2063.8500234036,2544.9904686293,-2295.5498361576,2544.9946386025,41.7896216133,20.895515112,13.9304303603,10.4478455953,1489.1434050813,6.9652412659,1098.8521054795,5.2239338026
1922,2216.5,1771.9758579622,2102.4339156289,2165.5594007621,2187.7976396357,-1945.762548358,2203.7280528447,-2076.9506670984,2209.3127571999,1331.5306263092,701.8859454451,472.4666461995,355.5470967457,1061.5462097371,237.6024391824,774.0466242028,178.35187376
1923,2103.5833333333,618.3855272437,1692.0236891016,1917.1908130592,1998.04600451,-1958.2971287036,2056.4573277178,-2029.0329357102,2077.0314290591,2010.6372571832,1249.8474610114,865.7033132657,657.9323704904,768.2025748387,442.770933501,555.0569214783,333.1715518747
1924,2445,-791.4170399495,1421.7964582393,1970.6116640203,2174.2029965478,-2370.0552384266,2323.3779845873,-2406.6665101482,2376.3366056348,2313.3707158338,1989.1002567338,1447.312913515,1118.4213561098,600.7188750213,761.5377474132,431.2555030733,575.3688701349
1925,2253.1666666667,-1842.7004759363,680.0179184211,1499.1894609336,1817.8220119556,-2236.245002651,2056.0500660455,-2244.5278623636,2141.5667151701,1296.6167451341,2148.1004767944,1682.0199130818,1331.2712573431,275.62350389,921.6388412454,197.1159629549,700.3228057498
1926,2025.0833333333,-2024.8606992494,-15.0142028211,1003.8607997433,1426.6319593799,-2025.0744278133,1751.2658680925,-2025.078789699,1869.4933953728,-30.0275803134,2025.0276740474,1758.7569478706,1437.248676959,-6.0057273474,1016.8728367887,-4.2898083281,778.4323680332
1927,2191.4166666667,-1754.0174898743,-692.287456917,667.0968310081,1281.6428394316,-2173.3304915275,1769.7731663544,-2182.182797387,1950.7588889954,-1313.6702981189,2079.1933733879,2087.4119921577,1777.5541170604,-280.9654454582,1292.3660265561,-200.9608064592,998.4221371495
1928,2217.5833333333,-655.2728042485,-1316.1599049488,221.3653545488,999.7453603447,-2146.3399513877,1644.4713377105,-2181.1386223243,1888.7422387604,-2118.5592727819,1784.7685970128,2206.5070179093,1979.4405913659,-557.5846602577,1487.7465710686,-400.3875004078,1162.0364003765
1929,2272.5,732.1554809773,-1847.7120420294,-247.9894160615,694.7411872375,-2110.5878440695,1516.6905257831,-2189.4031502787,1836.1720504894,-2151.3262425014,1322.9574670939,2258.9283962803,2163.6984384974,-842.4222233927,1692.3079208583,-608.9089386353,1338.9280977713
1930,1742.5,1423.4646671489,-1660.8271181112,-545.9440285711,266.753628552,-1524.6831443,1021.0285941674,-1630.2006522062,1323.0881391185,-1005.0147219711,527.2186773499,1654.7662577136,1721.9607288363,-843.5920575062,1412.0222589933,-615.4283740181,1133.9065332399
1931,2103.6666666667,2103.482404845,-2103.6206007069,-1059.8608054352,-6.9608700642,-1698.6229213483,1047.8119098255,-1893.6089515652,1485.0538869212,27.8427181161,-13.9216639138,1817.1704701395,2103.6551501452,-1241.0050827916,1824.1446340881,-916.3288618159,1489.975972083
1932,2104.8333333333,1686.7233100646,-1997.5728783007,-1415.130330698,-335.9801936879,-1530.6299854792,851.9712055131,-1804.8964216759,1364.3938306254,1259.0821404482,-663.3445235987,1558.1172960498,2077.8451988925,-1444.8166695684,1924.6995677475,-1082.8999344965,1602.732927241
1933,1960.75,582.363840236,-1578.9886735254,-1591.106051727,-611.7754984,-1246.0183560767,601.9881110023,-1584.2032255266,1150.0003813069,1872.2694571257,-1162.469496967,1145.8281261419,1862.8664208841,-1513.9282740011,1866.0522170378,-1155.3530641026,1588.0930972377
1934,2120.3333333333,-679.9325723035,-1235.7446635471,-1940.5348438894,-968.4066405278,-1131.7310780368,436.5963412873,-1594.3127363189,1105.0946937507,2008.358817932,-1723.0056793172,854.4811080974,1886.2666892637,-1793.0416089567,2074.8968839966,-1397.848469347,1809.5798303165
1935,2181,-1779.6737483927,-661.548393829,-2135.1309708614,-1287.2303509976,-923.9009146313,223.6519087234,-1504.5116611813,987.2465762094,1260.7626062355,-2078.2479935326,444.9457689071,1760.6246117417,-1975.643717866,2169.5024369022,-1578.988809767,1944.7635326083
1936,2196.0833333333,-2195.9344835382,12.7844936192,-2196.0667943011,-1557.3788589015,-673.7616976977,-4.2615192692,-1366.377847924,837.4509690797,-25.5685539704,-2196.0461205692,-8.5230224913,1548.3388184732,-2090.1739596646,2196.0791985714,-1719.242153871,2030.1374045448
1937,2018.8333333333,-1619.7278889251,634.7154380847,-1973.1184665872,-1636.6234617902,-373.7992007219,-214.8146838741,-1109.4419785385,621.1352626442,-1205.0599958575,-1916.461411152,-427.1902908425,1182.0117055662,-1983.9259525792,2007.3720829407,-1686.6613542837,1920.9057793857
1938,2631.4166666667,-785.5598767624,1558.3995510193,-2399.9760243755,-2347.8875852018,-159.4467797023,-551.8227810942,-1243.3010346042,610.7712953518,-2511.4237702213,-2120.3170784093,-1079.1055351697,1188.1824611004,-2626.5815041711,2572.9060013683,-2319.1714492386,2559.5531052091
1939,2064.8333333333,659.0195149965,1676.9469515054,-1666.1509487913,-1965.471019647,134.0565173177,-641.5655371882,-808.631385305,320.2862917584,-1956.8418365566,-1204.7346663399,-1219.6219538391,632.8193781579,-2060.4770187044,1962.6335256325,-1899.9084128305,2039.84150996
1940,1905,1552.7047374351,1814.7902805578,-1269.793130749,-1882.3124719959,360.8412238898,-777.839664045,-585.9930073608,147.0029605958,-1103.6906261932,-579.2764776798,-1420.0881680736,293.1292509606,-1870.5129272854,1738.9624656784,-1812.6326697167,1899.3196491313
1941,2023,2022.8978285531,2022.974456977,-1005.6249995048,-2022.9936142342,629.00748531,-1014.4332471882,-447.3276422836,-2.5414960421,20.331631396,10.1659440563,-1755.3482162725,-5.082988073,-1922.7268613675,1750.2726036247,-1972.9234603626,2022.9984035579
1942,1849.3333333333,1485.4927577178,1756.0189422456,-565.7668900587,-1825.8557092001,790.6632649691,-1089.436140647,-245.6940135489,-147.3396635279,1101.5194254055,580.0269409713,-1760.6651027072,-293.7425862199,-1671.7910692446,1494.377018436,-1832.9397779207,1843.4545834734
