Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1891,819,818.7236842955,-818.9309181604,818.9692967204,-5.3187417046,257.1282521644,-818.9923241441,818.9943605933,-577.2369316598,21.2727236984,-10.6372590915,7.091616835,818.982729358,-777.5899060166,-3.5458416499,3.0392953619,-580.9978698137
1892,1006.3333333333,798.6972987768,-953.0116716966,982.5170649462,-163.7976884661,433.1429240656,-1000.3615473422,1001.9447459894,-651.1035647081,612.2004595754,-323.2267491834,217.6395985736,992.9134378338,-908.3468418559,-109.4694129736,93.8802628991,-767.3140985294
1893,1256.1666666667,357.7822790847,-1006.8239338024,1143.2088402136,-395.7373052921,678.4542718427,-1227.6024463481,1235.1595028764,-735.1335534378,1204.137257632,-751.1725905324,520.603728475,1192.202449102,-1057.1917969143,-266.3586457481,228.7699650276,-1018.5938116121
1894,1169.75,-389.1927892253,-675.6688528057,940.5802053912,-537.5646109681,750.1277450184,-1110.9812684641,1126.47598947,-608.0702503906,1103.1065385152,-954.8752085211,695.4307583982,1038.9125812766,-897.565278213,-366.1088412233,315.225169756,-999.2825591843
1895,899.6666666667,-740.6853470565,-267.4230673259,596.4688637748,-533.2956457446,658.8634752382,-820.3728620432,841.1784826276,-405.9629263592,510.6714479654,-859.0023365353,673.5168933727,724.5659841181,-612.616545735,-369.3081075934,319.0906947491,-802.8662488441
1896,718.25,-718.0364771634,8.7567910044,354.0573318673,-510.9660593616,583.1284340278,-620.5581121513,646.0313872044,-272.8384965172,-17.5122803421,-718.1966173071,624.9211696295,504.7739580055,-419.3379209281,-361.6499577536,313.8893264301,-664.41118091
1897,1143.75,-908.8678959371,366.5013004901,344.7008982717,-929.3411442887,1004.9162198681,-922.6092658591,979.8282003833,-350.1643390751,-694.3509272946,-1083.4393657418,1090.5711133304,666.7001575163,-546.1752956204,-675.9853586069,590.0006442654,-1088.8291868517
1898,1215.5833333333,-348.0786809428,726.1281557119,117.4896437373,-1086.3498801549,1132.3333554306,-900.1281278363,980.9980002419,-280.2624054282,-1164.6819618037,-974.8747313169,1209.892153827,545.423485161,-442.113121788,-816.9529936023,717.8340781817,-1182.8338109732
1899,1420.9166666667,470.62488517,1159.2503863914,-159.5575472349,-1353.9206713236,1377.9166303393,-946.6483495609,1066.9168197727,-218.1693452149,-1340.7148806029,-821.6706854102,1411.9297300969,431.1646893867,-346.9148792508,-1059.6513935653,938.4522754501,-1404.0677727303
1900,1063.9166666667,874.9475866948,1015.5761895485,-336.5531332091,-1051.7621185282,1056.1324100297,-622.0346396991,732.6902722938,-80.4096584385,-605.2977731233,-317.054690603,1009.2822509776,160.3593453477,-128.4640264666,-863.1289478552,771.4166439073,-1060.8736778905
1901,848.3333333333,848.1130058203,848.2782496667,-429.7358782273,-848.3195623049,848.3245198665,-421.3728600746,526.7648625261,2.4168597852,19.3332305332,9.6672429764,731.4345626292,-4.8336999539,3.8669674958,-736.284155226,664.9723483365,-848.3298905692
1902,992.1666666667,789.3722269278,940.1019906358,-669.3937208031,-979.0639797328,983.7742827186,-400.1528194251,543.9204474269,80.6227301064,601.0708625441,317.1796677707,732.3296668809,-160.7122211729,128.7744349863,-907.8944958257,829.7862624287,-988.8855696362
1903,766.25,220.582404286,614.8822366047,-623.2184076397,-727.4244209189,741.3252153548,-234.0918170784,360.9644848684,121.9633140967,733.813644885,457.2295896024,445.8002679217,-240.816889671,193.8452671054,-729.6163948795,675.9021402272,-756.4813365276
1904,1117.75,-368.5322202557,647.0850691019,-1024.3974632406,-993.137553033,1037.4507814973,-228.412782001,436.0954350602,263.8991877568,1055.2483428717,911.3978142641,447.1855317497,-512.8770449686,416.0059356194,-1094.1629967782,1029.1675441927,-1086.1502111593
1905,1182.4166666667,-971.327402777,353.2672244757,-1158.3115365061,-952.8426490293,1033.6986167036,-119.378196615,361.9283502705,368.4101957656,674.2642287899,1128.4110251688,237.5364351172,-700.1428852756,574.0874005204,-1176.3749486385,1125.662934844,-1123.5582322546
1906,1099.8333333333,-1099.5862117703,-11.6574553898,-1099.8058744678,-773.5670956974,887.0349850837,3.8858831409,241.4875685104,423.5790857049,-23.313601086,1099.7715512073,-7.7717177734,-781.810277219,650.2324940732,-1099.8264685955,1072.9944619456,-1014.9946400176
1907,919.25,-732.2454172498,-293.1756834162,-897.8101698253,-536.4321091805,667.4706871361,99.268735985,120.6761501471,419.4671299016,-555.7312402741,871.2454195882,-197.3764460577,-746.499266403,632.0628483893,-913.8743242678,911.294589738,-817.9657018678
1908,540,-156.2746504187,-321.878617474,-491.797580152,-242.6783329472,342.4949796214,114.0817836421,22.642298028,283.3316962577,-516.8928647568,433.5829281845,-223.0137667424,-482.3973742859,417.4891482831,-527.8118477649,539.5250933367,-459.6989774796
1909,1183.9166666667,388.5673375487,-964.8030940708,-953.0912172739,-360.1473382444,630.3219699747,369.6471943806,-56.5363298525,698.3101880282,-1118.3354138189,686.158628367,-702.3359631733,-1127.8087463602,1002.174080576,-1124.7309123954,1182.5659884412,-956.0447452432
