Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1922,1523.25,1217.7587302688,1444.8601227077,1488.2419838533,1503.5248159599,-1337.1905264094,1514.4727076452,-1427.3472157264,1518.310695874,915.0706187798,482.3585681928,324.6942561802,244.3433860221,729.5286550788,163.2880286418,531.949704632,122.5691367944
1923,1628.8333333333,478.8243677656,1310.1570743248,1484.5070566911,1547.1143368123,-1516.3362388639,1592.3430229201,-1571.1079412665,1608.2738308596,1556.8639158936,967.7739758717,670.3259105927,509.446029141,594.8297558847,342.8435869829,429.7881625486,257.9792874437
1924,1657.25,-536.4318566284,963.710503238,1335.703959181,1473.7005791529,-1606.4515516901,1574.8131554017,-1631.2671059072,1610.7091368868,1568.030109945,1348.2357466143,981.0058592731,758.0792607006,407.1743785804,516.1793177507,292.310095079,389.9918445935
1925,1617.5833333333,-1322.9032819883,488.1954217942,1076.291390864,1305.0426464261,-1605.4350080056,1476.0702652566,-1611.3814015954,1537.46399542,930.8612929875,1542.1546843352,1207.548211141,955.7403053586,197.8743928548,661.6588337678,141.5126102862,502.7726156672
1926,1678.1666666667,-1677.9821719882,-12.4421223987,831.889584183,1182.2358914445,-1678.1592867498,1451.2568228323,-1678.1629014016,1549.230813383,-24.8835608556,1678.1205423632,1457.4646070622,1191.0338610181,-4.9768872607,842.67253147,-3.5549220242,645.0792571274
1927,1828.3333333333,-1463.4043323512,-577.5862951956,556.5693604714,1069.2947445384,-1813.2437534362,1476.549540625,-1820.6293712085,1627.5487707555,-1096.0157561976,1734.7036776867,1741.5606003703,1483.0413099709,-234.4138826996,1078.2412679256,-167.6647561971,832.9992656599
1928,1447.5,-427.7211908533,-859.1070440405,144.4934879754,652.5713768437,-1400.9967665854,1073.4082573384,-1423.711167178,1232.8530565281,-1382.8632733915,1164.9855522195,1440.2700725672,1292.0552805992,-363.9564672006,971.1081109114,-261.3479719697,758.504839147
1929,1925,620.197712159,-1565.1686164605,-210.0680422083,588.5046360537,-1787.8466885958,1284.7653518735,-1854.609929279,1555.3932660912,-1822.3555629549,1120.6570403326,1913.5037020196,1832.8358609934,-713.602983512,1433.5281617832,-515.7974507691,1134.185517364
1930,1747.5,1427.5492142569,-1665.5927626395,-547.5105824551,267.5190622064,-1529.0581318016,1023.9583749254,-1634.8784159141,1326.8846617558,-1007.8985518764,528.7314999534,1659.5145109639,1726.9017926206,-846.012694687,1416.0739727924,-617.1943090942,1137.1602105232
1931,1471.5833333333,1471.4544361891,-1471.5511086944,-741.407144794,-4.8693552711,-1188.2420443705,732.9785499765,-1324.6411216799,1038.8435505126,19.4768879422,-9.7386572276,1271.1699149181,1471.5752771515,-868.1234652597,1276.0485696942,-641.0018765175,1042.2867093572
1932,1605.6666666667,1286.7125163642,-1523.8433058477,-1079.528514209,-256.3016221386,-1167.6371272553,649.9240315079,-1376.8605690416,1040.8243062986,960.4875557113,-506.0306548697,1188.6057510606,1585.0788380815,-1102.1746610676,1468.2520892929,-826.0874153884,1222.6406699691
1933,1335.5833333333,396.6826158129,-1075.5430095028,-1083.796875814,-416.7166438377,-848.7371410957,410.0498727117,-1079.094950721,783.3335930641,1275.3139780421,-791.8270486586,780.4916221546,1268.9090113268,-1031.226505479,1271.0790463881,-786.9796233742,1081.7445734807
1934,1856.1666666667,-595.2215891955,-1081.7865365449,-1698.7687907874,-847.7554437635,-990.7317258369,382.2019692593,-1395.6815708524,967.4138975241,1758.1427570593,-1508.3410038167,748.0235891276,1651.2617605983,-1569.6513440458,1816.3910231938,-1223.6942621536,1584.1291125795
1935,1432.0833333333,-1168.5653891995,-434.3844241155,-1401.9649141928,-845.2183089521,-606.6497485075,146.8538151999,-987.8890760125,648.243634883,827.839117689,-1364.614541069,292.159293851,1156.0573877724,-1297.2427514721,1424.533829213,-1036.7920944462,1276.9662734171
1936,1959.5833333333,-1959.4505134292,11.4077094621,-1959.568575418,-1389.6620448172,-601.2031389732,-3.8025889126,-1219.230261979,747.2644305358,-22.8150323156,-1959.550128076,-7.6051635063,1381.5955419268,-1865.0795226924,1959.579643851,-1534.094002515,1811.5084076906
1937,1538.6666666667,-1234.4859135274,483.7524085196,-1503.8247901869,-1247.3629818582,-284.8934385425,-163.7223777368,-845.568261031,473.4021914251,-918.4441411505,-1460.6432549951,-325.5857974951,900.8777400964,-1512.0617843814,1529.9314017757,-1285.4996799098,1464.0305585148
1938,1773.5833333333,-529.4698944527,1050.3663313279,-1617.5915928297,-1582.4838165705,-107.4676445642,-371.930336955,-837.9889134332,411.6618259801,-1692.7077335281,-1429.1005598944,-727.3206164302,800.8388168477,-1770.3244181928,1734.1469559211,-1563.1290481725,1725.1470607773
1939,1544.4166666667,492.9214896856,1254.2924308762,-1246.2174321555,-1470.0974415659,100.2691676265,-479.8665792521,-604.8254687166,239.5619438679,-1463.6431413716,-901.0956320639,-912.2307559327,473.3247855114,-1541.1583092925,1467.9751041468,-1421.0591094918,1525.7237349298
1940,1598.3333333333,1302.7505189853,1522.6455634776,-1065.3819880912,-1579.2980408084,302.7530478656,-652.6231302004,-491.659924811,123.3384420047,-926.0186443738,-486.0246212554,-1191.4825487162,245.9413400448,-1569.3979853601,1459.0245009498,-1520.8352845654,1593.5674046517
1941,1927.3333333333,1927.2359935234,1927.3089982272,-958.0694920311,-1927.3272495472,599.2620332942,-966.4612020501,-426.173739938,-2.4213099548,19.370158631,9.6852016038,-1672.3386697128,-4.842616088,-1831.8020616949,1667.5030802699,-1879.6248884192,1927.3318123862
1942,1699.6666666667,1365.2717324447,1613.9042153047,-519.9793389347,-1678.089088178,726.6748356305,-1001.2680030929,-225.8099810898,-135.415454998,1012.3733868318,533.0853230016,-1618.1743616987,-269.9699796567,-1536.4929095311,1373.4369893666,-1684.5998427574,1694.2636844144
