Year,annual_Mean_allind,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1978,961.1666666667,-298.6026010032,564.2847217704,777.2732595369,-856.2163938474,-931.0527475266,914.0378846277,43.3606017189,-224.5826171941,-913.6070532703,-778.0900422751,-565.4092686895,436.7320093812,-238.7093262407,-297.2811910909,960.1881166364,-934.5608643451
1979,801.6666666667,246.162253513,648.0777413541,732.1355490041,-762.3030129472,-745.4919716426,784.0912286089,-35.7316698552,-125.6115620975,-762.9374741025,-471.873590706,-326.5684956161,248.1200533937,-294.8069956105,-166.9442711299,800.8699596151,-791.7645987994
1980,892.9166666667,721.1376455272,848.8863281568,873.2572185615,-881.8403835525,-782.6728473616,887.9882032864,-119.5592437796,-70.3213971613,-526.5554764834,-276.9335217694,-186.338412147,140.2059611686,-429.7945876976,-93.6863086866,884.8761273975,-890.1432888656
1981,899.25,899.2467444829,899.2491861203,899.2496382757,-899.2497965301,-727.7928821245,899.2499095689,-199.7649273956,-0.3024651551,-2.4197183662,-1.2098602781,-0.8065736539,0.6049302759,-528.1742924726,-0.4032868675,876.78078006,-899.2499491325
1982,816.0833333333,661.6658251097,776.5199479256,798.4197550624,-806.131811321,-595.2352730061,811.6554262909,-251.84992656,63.7231169026,477.6927284628,251.0154923865,168.8724420103,-127.0571120431,-558.2893306465,84.8968545764,776.2497159008,-813.5916489964
1983,1003.8333333333,313.3769732717,813.0988909045,917.4997377918,-954.9599811242,-640.3821080631,982.0127751794,-394.092752876,156.6216780322,953.664633786,588.6862956796,407.278273743,-309.4071679234,-773.0408247846,208.1640470772,923.2400897067,-991.5397173494
1984,866.1666666667,-264.6546283571,510.3967462585,701.3618562207,-772.1183014373,-464.6485308532,823.9359670431,-410.0518591847,201.8186797799,824.7439736874,699.8141580829,508.2678831906,-392.5277353642,-730.9900390706,267.159534094,762.9562026904,-842.3264895137
1985,839.1666666667,-676.9390551457,260.8984515107,562.3358191935,-679.3886878427,-357.901793452,766.8422814974,-461.8976190077,258.921179026,495.9377078454,797.5792703198,622.8797001802,-492.5765983843,-759.0171280599,340.8131595938,700.607796131,-798.2233506333
1986,828.0833333333,-828.0757364424,1.7735358335,415.0651964424,-586.1700446155,-256.5664224136,717.4366098705,-515.9052432935,316.4840932014,3.5470635316,828.0814341084,716.5492932427,-584.915964682,-787.3345399729,413.5295851108,647.7374366876,-765.218809031
1987,803.9166666667,-652.5499381764,-246.6639777229,249.5964714683,-473.2783135676,-151.3657176309,650.7444853009,-555.1746507715,364.5584196638,-469.5323046718,765.1397839862,764.1882021957,-649.8381682012,-789.5381095746,472.0313779771,581.4319513798,-716.504825941
1988,965.5833333333,-302.8966775159,-565.6320314832,102.5058590594,-439.4236630016,-61.5778121833,718.0978772729,-726.706506676,504.0094286541,-916.8450121808,782.5672997073,960.1269303949,-859.8011502698,-963.6178426419,645.5126739787,635.8056517252,-823.6052874034
1989,858.5,261.0098641664,-693.2168558203,-88.2465162366,-266.3602628755,53.0078587848,575.005485109,-694.1632230625,504.1586874791,-817.8606854519,506.4312794512,853.9524590819,-816.1338495375,-856.8619590734,637.4879936866,505.1333187857,-694.8714038146
1990,1036.0833333333,834.8115502277,-984.4803216104,-318.3413720752,-163.5007957105,193.0113088669,609.7706469212,-889.0023011336,672.3348214203,-613.6435033613,322.9042736989,985.9652349025,-1023.1012478797,-1017.9466136594,837.6445736494,532.1123774074,-788.3112085444
1991,827.25,827.2357180294,-827.2464294996,-412.2209496851,-1.2152564374,254.7095098986,414.3264304102,-745.0249304331,584.5242687914,-4.8609995239,2.4305102523,717.2283117255,-827.2491073744,-787.0613877375,716.0140861488,359.5558587107,-585.3835850909
1992,819.8333333333,666.231473594,-780.488777694,-547.3163646368,126.996020013,348.1487393835,334.2293335693,-767.3013273933,622.993685703,477.7680588289,-250.9262089502,610.3863460507,-809.9374700218,-742.2392806299,748.6103439215,288.7479305984,-532.9217222243
1993,940.0833333333,296.3187866378,-762.338844046,-759.3419430778,289.0455258007,502.6874583276,291.4720986841,-905.9723230462,760.093268945,892.1613364726,-550.0874116626,554.2170036131,-894.5442178147,-794.3941042399,893.7565044797,250.9398802209,-553.1861315286
1994,1003.75,-303.6469027923,-592.7598518043,-916.0391658249,454.1648165872,638.7569985734,209.8091392233,-987.4439363296,855.389384184,956.7197191052,-810.0307528661,410.3490089849,-895.1247856441,-774.2761518176,981.5773976607,180.1902747265,-525.1885984342
1995,906.8333333333,-729.8136057012,-283.3084799952,-886.5649578011,531.7109746699,660.1646421316,95.8645882095,-903.0991850477,807.6261294603,538.2553254524,-861.4423948281,190.6548453189,-734.5952176948,-621.7148379472,901.7520031427,82.2104397906,-412.4157240665
1996,915.0833333333,-915.0578105381,-3.4172711714,-915.0804974554,645.8523124717,739.5136917895,1.1390927438,-915.0828124576,845.0994597922,6.8344946866,-915.0769526123,2.2781837227,-648.2686923023,-538.9777422122,915.0826243636,0.9763652759,-350.9763667306
1997,979.5,-796.8915071396,299.0526866263,-958.6209739623,791.3097865408,857.6064204532,-101.1212292349,-975.6538943249,931.2647813368,-569.5473429389,-932.7313335691,-201.1618211282,-577.2772918839,-473.2139871109,974.2662608333,-86.7163680549,-303.5887959752
1998,969.3333333333,-307.0032534822,566.5768368319,-886.5921090341,862.7887704841,900.6836658299,-200.2546213624,-953.9555324941,942.3208121354,-919.4324953265,-786.5098849198,-391.8692936548,-441.8174381322,-358.2960301457,948.4224785053,-171.9766063596,-227.2412773411
1999,911.9166666667,274.4815067041,735.4917632441,-739.2583562674,866.6888726766,882.8837707245,-280.5797488163,-879.3451309306,900.5387372992,-869.627454386,-539.1139704595,-533.9373461683,-283.6237030346,-228.2723249449,867.6790947687,-241.5453325012,-143.6035848023
2000,824.75,662.9729693944,783.2622546147,-553.6493223999,814.3120123741,818.0646007457,-334.3578052407,-772.5210589558,822.1363617751,-490.5908726753,-258.2882169128,-611.2977918381,-130.7994992471,-104.7991961171,753.9346261942,-288.8317433555,-65.6076607359
2001,883.25,883.2137385868,883.2409346002,-443.9333972233,883.2477336471,883.2485495339,-440.4692891693,-796.2761705839,883.2494334116,-8.0034037467,-4.001742946,-763.5795317646,-2.0008766071,-1.6007017786,765.5830247587,-382.1973608756,-1.0004389453
2002,735.3333333333,598.9251245424,700.4015703002,-229.4159886833,726.547910489,729.7066212631,-431.2875418051,-631.7508278111,733.1336876577,426.6190411865,223.9480998627,-698.6296696015,113.3280409924,90.7929402311,595.5721345016,-376.3057303192,56.8340314638
2003,907.0833333333,288.6576240105,736.4226685099,-97.7319105151,863.364610841,879.0215514853,-605.8668114561,-734.5838345148,896.0869998763,859.9284561588,529.6053501578,-901.8029980423,278.2116502924,223.8778364095,675.0744998791,-532.152951397,140.8128625648
2004,836.1666666667,-250.4109209308,494.8683811847,84.6260610043,745.9782634831,778.0632195964,-620.4579702879,-630.4798742366,813.3070921943,797.7901134528,674.0029523289,-831.8732621279,377.7447879922,306.2553195551,560.5413468699,-549.2447747836,194.1810192347
2005,950.9166666667,-763.4898531953,298.5190787121,290.7319304824,770.7493996786,834.2398057798,-768.3437854152,-658.1571042834,904.7543746571,566.8560231773,902.844874045,-905.3824890854,556.9451228259,456.3841073011,560.2591671346,-686.3466565998,292.6807620658
2006,927.25,-927.1973745987,4.939478886,460.7702593842,657.4088128011,751.3206507761,-802.1975397351,-579.2336368252,857.1391031127,9.8788176028,927.2368435563,-804.6634890232,653.9160613959,543.4241825843,465.0501798118,-724.0724801222,353.7020220681
2007,958.0833333333,-781.2381153744,-291.0605228352,638.4744504673,565.2713674384,699.8502951037,-874.5385650052,-529.0579395561,854.254279932,-554.6085833246,912.8019750515,-714.3346902619,773.5579841003,654.3189115824,391.2875821306,-798.7623990923,433.7894637135
2008,931.9166666667,-297.9669259824,-543.5017613461,751.8694460988,425.4235089002,595.6460552736,-885.7619154118,-442.9292419834,795.2760313084,-882.9973865373,757.0168485739,-550.6005899328,829.1462547019,716.7108555395,289.6454778123,-819.9282652813,485.8031572948
2009,738.6666666667,220.0893925886,-595.0635018368,673.6378462266,230.2985791181,397.2444623488,-722.2265111643,-291.4406017313,598.2233396566,-705.1163760079,437.6389758993,-303.0519700905,701.8482805426,622.7561975426,154.9751948406,-678.7420865889,433.3096817919
2010,923,740.1983543861,-876.1084639183,902.0600831248,147.1069131677,394.9855480262,-917.7500903634,-286.7181116944,702.7477075216,-551.3940479948,290.4530245165,-195.4906811921,911.2017098855,834.2154498992,98.3044843226,-877.3378621867,598.3933986711
2011,876.5,876.434270896,-876.48356757,876.4926966851,2.6835633885,272.8943606099,-876.4981741694,-196.5343193197,620.7271515368,-10.7340020007,5.3671016216,-3.5780801701,876.4958918829,832.9351222918,1.7890438118,-854.181778856,618.8295834436
,,-2.6333224964,-20.0466453633,-37.7914909309,169.9703819351,37.254736035,-124.4509337185,4.6227032914,-12.4657631576,6.3252553949,-15.6154856047,-90.688961663,0.8420152711,-120.1134211595,202.1030698734,-31.8370628158,-205.6154930144
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,46.9432431814,,,,,,,,,,,,,,,,
20,645.711380994,,,,,,,,,,,,,,,,
30,9652.6845542829,,,,,,,,,,,,,,,,
40,28890.639724868,,,,,,,,,,,,,,,,
50,15815.1492996693,,,,,,,,,,,,,,,,
60,56333.6857556517,,,,,,,,,,,,,,,,
70,1034.9679544591,,,,,,,,,,,,,,,,
80,42433.1262186474,,,,,,,,,,,,,,,,
