Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1924,3287.25,-1064.0432165947,1911.5748087309,2649.4450685279,2923.1692435181,-3186.4883773078,3123.7318117933,-3235.711446006,3194.9335406433,3110.2772538343,2674.3025844368,1945.8811349498,1503.6934981072,807.6536285946,1023.8711493596,579.8137637946,773.5710913501
1925,2556.0833333333,-2090.4338966785,771.4398110707,1700.7411175092,2062.2107616211,-2536.8867137477,2332.4662946894,-2546.2831245756,2429.4798377991,1470.9344412862,2436.8920010619,1908.1513719194,1510.2479205741,312.6784427405,1045.5443515615,223.6163152495,794.4744959229
1926,2459.1666666667,-2458.8963102281,-18.2325470248,1219.041693775,1732.4352545698,-2459.1558522189,2126.6555190079,-2459.1611490893,2270.2255091335,-36.4640918089,2459.0990766282,2135.7523365978,1745.3277007967,-7.2930749361,1234.8429041453,-5.2093429802,945.2919295774
1927,2395.3333333333,-1917.2330961305,-756.7064935781,729.1718184772,1400.9028321337,-2375.5641954772,1934.4548767422,-2385.2402299917,2132.281762379,-1435.910523981,2272.6673888527,2281.6507701479,1942.9598638926,-307.1099655569,1412.6238379788,-219.6606997324,1091.3277526039
1928,1959.25,-578.9379918337,-1162.8362528748,195.5778005635,883.2818446156,-1896.3059861365,1452.9016429639,-1927.0508492529,1668.7166500882,-1871.7615671104,1576.8552284532,1949.4639997771,1748.8492632221,-492.629850337,1314.4342426964,-353.7450874484,1026.6670853877
1929,2753.4166666667,887.0975154738,-2238.7331712759,-300.470051195,841.7654406862,-2557.2399323763,1837.6593935607,-2652.7344880219,2224.751034845,-2606.5995738353,1602.9276740099,2736.9729791529,2621.5900295707,-1020.6994016545,2050.4417313194,-737.7689857517,1622.2780813517
1930,2434.1666666667,1988.4936837599,-2320.0746111922,-762.6506491899,372.6386174081,-2129.889748685,1426.3149323592,-2277.2912984669,1848.2737706193,-1403.9445255274,736.492470846,2311.6079573322,2405.4745523342,-1178.4468675159,1972.5093345383,-859.7160595442,1583.9985574337
1931,2534.8333333333,2534.6113052834,-2534.7778257131,-1277.0894461942,-8.3875671689,-2046.7719862768,1262.5710138278,-2281.7222741526,1789.4299291859,33.549350327,-16.7750425023,2189.6169925805,2534.8194563903,-1495.3609811581,2198.020578343,-1104.1392536332,1795.3608429259
1932,2716.4166666667,2176.8200070544,-2577.9904629809,-1826.3125896652,-433.6030712504,-1975.3719865654,1099.5211571031,-2329.3296641607,1760.8340207814,1624.9228178078,-856.0868412284,2010.8460487504,2681.5868219297,-1864.6246329054,2483.9429808325,-1397.5488623321,2068.4252604829
1933,3236.0833333333,961.1515579873,-2606.0124594759,-2626.0113607341,-1009.6934816341,-2056.4677981014,993.5400703198,-2614.6187197446,1897.9967192525,3090.0522686285,-1918.5761390505,1891.1106983921,3074.5332025241,-2498.6347343399,3079.7911404747,-1906.8309549193,2621.0386860908
1934,1922.3333333333,-616.4394190339,-1120.3489191442,-1759.3247044034,-877.9753334262,-1026.0482828232,395.8263009281,-1445.4333517294,1001.8992452225,1820.8151710444,-1562.1087490367,774.6883430904,1710.1241938349,-1625.6046154462,1881.1398097797,-1267.3152213055,1640.598472164
