Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1894,658.75,-219.1756784802,-380.5059686136,529.6919942735,-302.7319405644,422.437830332,-625.6541231894,634.380045363,-342.4375101045,621.2194334233,-537.7422899023,391.6349750757,585.068316235,-505.4679435972,-206.1758488188,177.5204792278,-562.7504901583
1895,386.1666666667,-317.9266300722,-114.7868186355,256.0241491971,-228.9081161894,282.8059785341,-352.1311451193,361.0616050849,-174.2527047748,219.1970627891,-368.7121922476,289.0957098823,311.0076667658,-262.9552679637,-158.5192451452,136.9642719032,-344.6167281534
1896,289.9166666667,-289.830479644,3.5346183901,142.9128039873,-206.2479313748,235.3757770023,-250.484008838,260.7661209055,-110.129380367,-7.0687113714,-289.8951191103,252.2451269453,203.7485323009,-169.2628642429,-145.9775151439,126.6992651874,-268.1849980724
1897,384.8333333333,-305.8034202869,123.315337389,115.9802366644,-312.6919784572,338.1204446886,-310.426928214,329.6791715388,-117.8185003897,-233.6256890525,-364.540837231,366.9404299715,224.3221367876,-183.7695821621,-227.4462940653,198.5153351707,-366.3543304102
1898,349.4166666667,-100.0544258033,208.7238881813,33.7721310887,-312.2688042428,325.4866497101,-258.7397847411,281.9856457815,-80.560791524,-334.7851830975,-280.2255260446,347.7807500512,156.7807412957,-127.0844121243,-234.8312814269,206.3397744441,-340.0028908899
1899,194.4166666667,64.3931650403,158.6142250573,-21.8314326256,-185.249951686,188.5331944509,-129.5249897089,145.9807014562,-29.8509813141,-183.4430717522,-112.4249433501,193.1870306913,58.9940308685,-47.4665657904,-144.9866108257,128.4035633467,-192.1113197924
1900,529.8333333333,435.7262282608,505.7596469921,-167.6043566181,-523.7803359913,525.9567527977,-309.7749071204,364.8817068414,-40.0442240426,-301.4399029935,-157.8940802737,502.6252488223,79.8593810387,-63.9754272949,-429.8405146442,384.1675430377,-528.3179168189
1901,316.3333333333,316.2511758442,316.3127932942,-160.2433589146,-316.3281982818,316.3300468972,-157.1248896703,196.4243043369,0.9012180496,7.2091299709,3.6047990509,272.7431826857,-1.8024287844,1.4419458364,-274.5515376462,247.9602194779,-316.3320495678
1902,364,289.600024124,344.8988321096,-245.5830482503,-359.1929668631,360.9210538312,-146.8056034981,199.550185987,29.5783709982,220.5171785312,116.3649243089,268.6726007841,-58.9611105395,47.2439721166,-333.082744647,304.4268767251,-362.7962513162
1903,345.5,99.4599943632,277.2486952652,-281.0074516666,-327.9936540652,334.261483726,-105.5513511264,162.7578851837,54.9929200919,330.8745374327,206.1635539414,201.0101044919,-108.5836677081,87.4042933571,-328.9820090452,304.7624005853,-341.0953367312
1904,416.1666666667,-137.2138901034,240.9261787143,-381.4091501844,-369.7702929879,386.2692315513,-85.043870373,162.3693881079,98.2563590291,392.8957149259,339.3365156516,166.4985123058,-190.9571283511,154.8895580767,-407.3846272952,383.1851722731,-404.4012640371
1905,271.5,-223.0308463068,81.1152736163,-265.9651128294,-218.7864790005,237.3521807894,-27.4109637446,83.1039935994,84.5923192476,154.8208370849,259.099522165,54.5418074291,-160.7629515983,131.8187857421,-270.1127339956,258.4685208064,-257.9852505945
1906,475.4166666667,-475.309845291,-5.0390803909,-475.4047972298,-334.384018863,383.4319283151,1.6797214213,104.386011392,183.0973392898,-10.0775946504,475.3899605727,-3.3594218743,-337.9472368188,281.0711000673,-475.4136992982,463.8152299894,-438.7440840507
1907,368.5,-293.5354215464,-117.5254167407,-359.9054093887,-215.0396869546,267.5691576934,39.7938854615,48.3754814569,168.1519035831,-222.7761349372,349.2563906644,-79.1223501466,-299.2493659717,253.3752076491,-366.3450513926,365.3109125031,-327.8981355869
1908,546.8333333333,-158.2522000073,-325.9517728185,-498.0209445922,-245.749262469,346.8290210302,115.5254111511,22.9288209351,286.9170664881,-523.4337929836,439.0696257325,-225.8358545314,-488.5017855037,422.7721899743,-534.4909483076,546.3524170487,-465.5161558982
1909,610.25,200.2870847377,-497.307880473,-491.270992053,-185.6379923956,324.8995415024,190.534694478,-29.1416585845,359.9440773513,-576.4461346798,353.6805543416,-362.0191636741,-581.3291651718,516.5707603335,-579.7426952538,609.5537927328,-492.7933884294
1910,463.0833333333,379.9909818941,-441.8221724536,-307.5707806073,-70.1629861491,195.4999881093,189.7567802366,-63.4671295907,301.6246542547,-264.6753242942,138.7059535113,-346.1883714507,-457.7371833113,419.79272059,-422.419859814,458.7135239696,-351.3811912394
1911,446.1666666667,446.0809143678,-446.1452280769,-220.5533464765,2.1869138233,136.208117022,224.3447603855,-100.4993705483,316.2597211908,8.7471298847,-4.373775105,-387.8413539097,-446.1613069871,424.8670889841,-385.6606318151,434.7005532132,-314.7133349523
