Year,Annual_mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1936,561,-560.9619756073,3.2658600935,-560.9957750251,-397.839884572,-172.1156509278,-1.0886254969,-349.047762009,213.9308588717,-6.5316095067,-560.9904938213,-2.1772468945,395.5305629705,-533.9449435154,560.9989437553,-439.1886381004,518.6083181192
1937,601.9166666667,-482.9230802323,189.2408820807,-588.2867449914,-487.9605079052,-111.4485109723,-64.0471584918,-330.7809548,185.1919426269,-359.2895381028,-571.3944015831,-127.3671043819,352.4176731324,-591.5090050145,598.4994862991,-502.879342937,572.7194932925
1938,914.0833333333,-272.8823602054,541.3460643864,-833.6870827303,-815.592960765,-55.387520238,-191.6883835013,-431.8893197129,212.1655109324,-872.4010303561,-736.5410910812,-374.8522220374,412.7426106283,-912.4037280062,893.7583028472,-805.6177479399,889.1198660746
1939,469.0833333333,149.7142969536,380.9643389306,-378.5117318083,-446.5104677372,30.4546023077,-145.7491487946,-183.7027228946,72.761786113,-444.5501129218,-273.6884105588,-277.0704648543,143.7622196969,-468.0936773867,445.8658534097,-431.6161294625,463.4057575093
1940,698.5,569.3250703929,665.4231028712,-465.590814608,-690.1812397318,132.3084487596,-285.2078768165,-214.864102699,53.9010855518,-404.6865629375,-212.4013751493,-520.6989949603,107.4807253522,-685.8547400046,637.6195707488,-664.6319788961,696.4172046815
1941,431.4166666667,431.3948780038,431.4112194666,-214.4554548705,-431.4153048645,134.1395514685,-216.3338655748,-95.3952547414,-0.5419890019,4.3358401605,2.1679474534,-374.3383471595,-1.0839771484,-410.0328291852,373.255942864,-420.7375496086,431.416326216
1942,773.3333333333,621.1865893845,734.3121748395,-236.5860102625,-763.5157255487,330.6306371176,-455.5681049569,-102.7415485641,-61.6128369475,460.6209565502,242.5491173492,-736.2550537636,-122.8339581886,-699.0907138874,624.9017092234,-766.4780614232,770.8750240912
1943,777.3333333333,233.2394976565,626.7184165514,-78.8273219519,-738.7205922777,417.750931139,-521.0431873561,-33.8306198542,-122.5050421694,741.5163166404,459.8599106971,-773.3261694944,-241.9483367496,-655.538916193,576.8544946699,-776.596806761,767.6194537361
1944,611.6666666667,-194.2982275576,357.2746575967,65.7804535685,-544.3661956844,390.7476338795,-455.1767908611,28.2362112186,-143.4668162866,579.986473876,496.4785293951,-608.1192671175,-278.929303063,-470.5872902329,408.5953991084,-611.0145886042,594.6035517349
1945,502.4166666667,-409.0396866455,153.1570289697,156.652469408,-405.8147058178,366.8491051567,-406.895145246,68.0651833442,-155.7793875376,291.7345397676,478.503324358,-477.3704125444,-296.2042057204,-343.2844898771,294.7182514194,-497.7847303411,477.6560366654
1946,661.9166666667,-661.8929921683,-2.7991556824,332.5731140392,-467.0550641051,536.1591886854,-573.7026061815,148.0699166343,-253.9509228463,-5.5982613064,661.9107480156,-572.3013169908,-469.0343704943,-388.1584702146,330.1499557348,-645.1425992748,611.2631204291
1947,726.0833333333,-583.9206709944,-227.180478636,487.306725593,-425.5849196976,636.8402411423,-663.7101395258,225.1748674938,-330.2929683129,-431.5479775527,689.6274625268,-538.2649553299,-588.2809558964,-348.7570991481,294.4246213126,-690.2849310202,646.6092808083
1948,752.5833333333,-226.9563298999,-444.7348211766,610.0038164955,-340.353977089,700.1667666647,-716.051806497,296.5570586918,-393.8508239297,-717.5461643194,607.1182853811,-440.7686666178,-671.2233934323,-275.9495832021,231.6278999245,-691.6903819999,641.298060266
1949,817.25,258.3680390881,-662.9663801599,747.4239432317,-251.0859298271,791.8786478568,-799.6029577566,388.0402355225,-480.9873108247,-775.3344561399,477.8840249241,-330.53745867,-777.7232273392,-202.0538778852,168.9161698801,-719.2512343511,660.7183736855
1950,595.3333333333,484.1360897707,-566.8527718411,582.6185907229,-92.0745013789,590.7455439478,-592.1461160283,328.4770466043,-387.0444147361,-346.4592679657,181.9332647808,-122.3820065279,-588.1700978234,-73.766388576,61.520362892,-496.5124445891,452.3476525852
1951,588.3333333333,588.3194694311,-588.3298673475,588.3317928943,1.0097412931,588.3327787751,-588.3329482234,367.2707700426,-416.3713340108,4.0389354296,-2.0194796119,1.3463212101,-588.3324668362,0.8077931773,-0.6731610457,-459.6175503431,415.6573388323
1952,559.75,450.6836690041,-531.7848466368,547.2628559645,88.468905823,555.2438728033,-556.6194598315,387.2005256866,-425.9345797974,331.9703194459,-174.7138786344,117.5730793232,-552.7144970077,70.882326531,-59.1171670238,-404.2224825613,363.1801154149
1953,786.25,238.3028007531,-634.6473980062,717.6096666992,244.1285991211,761.3043630201,-768.8984532896,592.562461625,-636.4492020417,749.2668667793,-464.1247059831,321.2871437825,-747.3889814489,196.4808625454,-164.2687767925,-516.7773133303,461.650815791
1954,804.6666666667,-253.1737553812,-471.0456255048,650.0560700733,366.3698480509,747.8095231832,-765.038200189,651.3880656855,-686.4015038018,763.800689991,-652.3836778594,474.2526227712,-716.42276547,297.1016012765,-249.4092955286,-472.4214562517,419.9302561416
1955,965.5,-784.2666000171,-295.7878020503,644.7072921294,568.5978926801,845.5534609579,-881.6618230793,829.2275708995,-860.5729240984,563.1306687595,-919.0755279944,718.7090909925,-780.3119161206,466.0789575405,-393.5259581331,-494.5420969545,437.7265040053
1956,812.1666666667,-812.1553781078,2.1410501253,404.8465695283,575.0450347529,656.552878727,-702.9998518242,732.002094028,-750.5488336887,-4.2820853709,-812.1638445221,704.0695630303,-573.5310823753,478.0721827087,-406.7012451169,-351.8346611452,310.308141519
1957,706,-569.103239846,219.8284702543,217.0569389608,571.6794993699,514.172762598,-570.8231770462,661.1572132704,-671.5808687549,-417.8007927192,-670.9034533118,671.8052435408,-414.2686930004,483.7999278651,-415.447831318,-247.6027854053,217.7501704303
1958,834.25,-254.1168690868,491.9227909258,85.9208050011,743.7605968421,531.1748092986,-619.5371232106,804.3328092156,-811.3123136054,-794.6053607581,-673.7841125077,829.8136403844,-377.8799241626,643.2933891053,-558.7010072158,-221.4086595399,194.2817343248
1959,944,295.5849728965,764.9079076642,-100.0256955408,898.1116480803,505.1321601221,-631.1543960908,928.9333034456,-932.4573437396,-896.529711609,-553.2195701463,938.6857089738,-290.7429579242,797.481975226,-701.9829971554,-167.9848735742,147.1709961443
1960,649,526.5730793784,617.63538132,-201.3744869642,641.1108962093,275.8610826153,-381.1226560835,646.4204408019,-647.0247180904,-379.3702572342,-199.3176754373,616.9678403287,-100.8851761245,587.4535412254,-525.3061212473,-57.8066926352,50.5965826916
1961,931.3333333333,931.3270278063,931.3317569502,-466.6556386184,931.3329392374,287.1458737836,-465.1719178672,931.3332046489,-931.3332348093,3.4271059611,1.7135558809,805.986533835,0.856778303,885.9622028883,-806.8437671603,0.4895876482,-0.4283891968
1962,826.5,667.0158554007,785.6178633689,-553.724271583,816.2154783127,154.324846427,-335.7447985723,823.1370840234,-823.9248578679,488.0492789095,256.7232415573,613.5891793862,129.9790097008,811.9643414432,-755.2335269515,74.4821515903,-65.1926267862
1963,860.1666666667,263.3157329268,695.119454021,-696.4018881578,817.8646826172,53.4878836055,-265.3912240895,846.2765932033,-849.5253475547,818.8721018802,506.6513979908,504.8872196984,266.4283306483,858.5020330505,-818.2018043373,153.9565595899,-134.8828317713
1964,615.4166666667,-191.7679648095,361.0543393553,-562.4381690639,548.149857075,-38.976968526,-127.67899279,593.1750490703,-598.3636985505,584.7757871902,498.374796357,249.8018806799,279.7667024501,614.1811373981,-602.0263685349,163.9543679552,-143.8699338573
1965,584.1666666667,-473.4254143322,179.8490314663,-571.4984333157,472.3941699785,-109.7379893051,-60.8291034343,546.8466296854,-555.521206649,342.2266376378,555.7922456504,120.9968394721,343.6487197922,573.7667367038,-580.990976367,205.4494050763,-180.6844857969
1966,619.0833333333,-619.0819849238,-0.6460564328,-619.08318351,437.5295480543,-191.5530287766,0.215352179,557.6946956265,-571.8965923365,-1.292112162,619.0829962308,-0.430704332,437.9863790011,588.7033300208,-619.0832958775,268.7764872178,-237.0621464615
1967,656.1666666667,-530.1670286631,-203.3184232553,-641.7473118448,385.450335572,-279.5921717095,68.780447763,563.2004339085,-584.5829095613,-386.6233518077,623.8720327194,-136.8030781249,531.0204640613,593.6184902471,-652.55187108,336.689717232,-298.0226774816
1968,630.9166666667,-194.0936664531,-371.2134906076,-576.2469494911,286.2263633577,-338.2165326283,131.3240947581,510.3454727115,-537.885128703,-600.3194890395,510.1532952641,-256.895491358,562.2546657848,532.6024946756,-617.0979034268,370.9492401404,-329.750555114
1969,654.9166666667,203.0850487123,-530.056423143,-529.6934790654,202.2041721722,-417.5737846282,202.4978427209,493.1293938318,-529.7842592523,-622.6333618329,384.6505278336,-385.150176572,622.9199892715,504.5274766246,-622.8245852334,430.9747570531,-385.0252964759
1970,839.6666666667,679.7056374696,-798.6758660558,-561.6775394201,131.1842385978,-612.1841123572,341.6271387381,580.191777718,-638.4321199054,-492.9912347123,259.1466227664,-624.1461790496,829.3556575165,574.6918510721,-767.0273849015,606.9741445726,-545.384762699
1971,547.5,547.4999330637,-547.4999832659,-273.6718430091,-0.0676827193,-442.9686285776,273.7890757066,341.3304276769,-387.1170325052,0.2707308667,-0.1353654375,-474.1940239438,547.4999958165,321.7686188802,-474.1263460553,428.0768495748,-387.164891415
1972,300.75,243.280752615,-286.0220698206,-92.9200847569,-47.0607320462,-263.5543325903,176.7835498701,165.6759579319,-195.3164705511,176.8192238053,-92.9620249108,-286.0356976826,297.0451985797,144.8781428404,-243.3066768408,251.0020706356,-228.6963900709
1973,767.75,237.351900121,-621.1549660986,-80.2880152278,-237.2217710053,-713.8278375777,513.7114651285,363.8264358611,-451.283197012,730.1398071664,-451.2278477566,-763.5403703216,730.1820963712,282.6479803556,-570.5616470598,676.069809316,-621.1147547713
1974,675.1666666667,-208.3418653747,-396.9789320642,70.4709271842,-306.4499024956,-653.9395768937,501.7118938104,265.3982957975,-352.8067945842,642.2177939843,-546.129797095,-671.4788724894,601.6132354248,167.9674300271,-451.8132394994,620.8170200354,-575.6538833996
1975,904.0833333333,-731.0042541736,-279.7122725382,279.1536519379,-531.2642797518,-896.9366869069,731.3497240607,279.4728781531,-410.5237463851,531.9769299427,-859.725373711,-859.9069206727,731.5223432478,113.4515460074,-531.5018859115,859.8032239925,-805.5041447845
1976,528.6666666667,-528.6663478879,-0.290282385,264.1657210056,-373.7211405738,-528.6666539155,457.7903753991,117.7202573742,-202.3790191626,0.5805646825,-528.666586972,-457.9354935906,373.9264012245,0.1161129589,-264.4171262162,515.3934278279,-488.3965366864
