Year,annual_mean_tamilnadu,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1919,823.25,267.7163318327,670.1261197272,753.9680734039,784.0350408513,-526.9203152819,805.743376929,-667.200448714,813.3871802164,-778.5040322118,-478.1961377504,-330.5642249059,-251.0569999369,632.5310615639,-168.8732454687,482.2697624109,-127.0506102291
1920,963.6666666667,788.9948086789,918.9617624639,943.7115235298,952.4248691819,-704.6873598661,958.6649004265,-828.4380862032,960.852107085,-553.2997707593,-290.1081239362,-195.0948610331,-146.7661848261,657.3196857614,-98.0563773285,492.2842489584,-73.5980485799
1921,871.75,871.6324689701,871.7206167473,871.7369407358,871.7426541559,-706.9395905313,871.7467351778,-786.3047425031,871.748163537,14.3143821774,7.1574323375,4.7716513425,3.5787463252,510.0828146875,2.3858346065,376.3946259142,1.7893769322
1922,903.0833333333,721.9679063364,856.6086301101,882.3282662628,891.3889397974,-792.7749731768,897.8795739784,-846.2258207137,900.1549872086,542.5143769198,285.9740578536,192.5002272676,144.8629177921,432.512830849,96.8079417031,315.374963023,72.667089854
1923,840.4166666667,247.0553437489,675.9917166973,765.9497424911,798.2527415713,-782.3724019719,821.5890405275,-810.6325379962,829.8087375534,803.2831572592,499.33493025,345.8629289025,262.8549679672,306.909755863,176.8943811891,221.7545083037,133.107598172
1924,767.0833333333,-248.2956323359,446.0680435614,618.250864598,682.124696088,-743.5704999903,728.9261877343,-755.0567561661,745.5411879641,725.7865521217,624.0513927482,454.0734617895,350.8884997611,188.4668454182,238.9214371145,135.3001672048,180.5136485887
1925,873.3333333333,-714.2355569129,263.5767358922,581.0897829197,704.5925987608,-866.7744518005,796.9304198593,-869.9849100366,830.0768982536,502.5720648348,832.6094014647,651.9553476254,516.0042450238,106.8323959157,357.2296418467,76.4026663129,271.4469636903
1926,627.75,-627.6809862741,-4.6542113432,311.1840419928,442.2377083251,-627.7472394024,542.8700787762,-627.7485915313,579.5191040428,-9.308166845,627.7327463314,545.1922179461,445.5287553406,-1.8616988646,315.2176074865,-1.329785858,241.3041038803
1927,637.75,-510.4573088188,-201.4707346004,194.1397135683,372.9859927052,-632.4865289447,515.0425539837,-635.0627428377,567.7133428711,-382.3066810474,605.0905763599,607.482373502,517.3069801827,-81.7670667411,376.106673812,-58.4839735267,290.5625970873
1928,725.5833333333,-214.4023263534,-430.6416253575,72.4297524353,327.1122036948,-702.2728178848,538.0636555351,-713.6587871398,617.9880001836,-693.1831042844,583.9682903382,721.9592125413,647.6640948864,-182.4392032191,486.7840139151,-131.0049966574,380.2131050347
1929,763.1666666667,245.8775172274,-620.5114367769,-83.2815208028,233.3127903455,-708.7922066736,509.345501838,-735.2605078934,616.6359970071,-722.4732573828,444.2847262063,758.608956844,726.6281738086,-282.9080572729,568.3225500265,-204.4880110019,449.6480938537
1930,1031.25,842.4378410314,-982.9141839611,-323.1017385733,157.8706912162,-902.3411722005,604.2672813401,-964.7887647562,783.0327939546,-594.7899179528,312.0196619897,979.327232865,1019.0944055165,-499.2564185385,835.6659710685,-364.224109444,671.0709396864
1931,883.9166666667,883.8392437091,-883.8973107154,-445.3313089546,-2.9248117878,-713.7257695588,440.2686154143,-795.6548149759,623.9885350409,11.6989269156,-5.8495915518,763.5369662799,883.9118276656,-521.4443397707,766.4673638795,-385.0221928887,626.0566921203
1932,846,677.9481765689,-802.8885842311,-568.7862505838,-135.0412117475,-615.2092648898,342.4345426546,-725.4457388888,548.3936245351,506.0654798412,-266.6194316087,626.2572962823,835.1526034982,-580.7181419534,773.5984643192,-435.2522026688,644.1897488855
1933,734.75,218.2286531243,-591.6929378415,-596.2336715575,-229.2500560752,-466.9192845224,225.5824376177,-593.6469819996,430.9385593091,701.5937695387,-435.6110992714,429.3750940623,698.0701786279,-567.3129156304,699.2639890188,-432.9443650896,595.1046299607
1934,684.1666666667,-219.3934294377,-398.736978766,-626.1511974663,-312.4751815255,-365.1749784107,140.8762758202,-514.4359206563,356.5802324986,648.0359179069,-555.9611942774,275.7148992879,608.6405250297,-578.5596450847,669.5057152025,-451.0429151603,583.8960229091
1935,658.75,-537.5332791168,-199.8143073979,-644.8957024553,-388.7955037688,-279.0553542015,67.5519004454,-454.4232264114,298.1882998982,380.8011769178,-627.7147481612,134.3915750883,531.7796712448,-596.724116985,655.2772720354,-476.9183303228,587.3970550691
1936,710.5833333333,-710.5351702322,4.1366590935,-710.5779818239,-503.9187010911,-218.0080444833,-1.3788932876,-442.1167954027,270.9727322636,-8.2731779951,-710.571292456,-2.7577813829,500.9936290032,-676.3143988942,710.5819954547,-556.2925604697,656.8884623592
1937,794.0833333333,-637.1001012782,249.6575336213,-776.1019511314,-643.7457676628,-147.0293314488,-84.4947214825,-436.3853964127,244.3159381547,-473.995570896,-753.8165932001,-168.0300619763,464.9298085668,-780.3529432068,789.5751910485,-663.4275590262,755.5647309406
1938,599.9166666667,-179.093819958,355.2876577188,-547.1522753739,-535.2770284026,-36.3510582727,-125.8058777305,-283.4507441529,139.2451010304,-572.5603990824,-483.3949598591,-246.0170613955,270.8846799082,-598.8143347541,586.57726522,-528.7302550296,583.5330400102
1939,892.6666666667,284.9066528631,724.9760168103,-720.3086997923,-849.710451306,57.9551785256,-277.3609667592,-349.5867059241,138.4658470141,-845.9798915649,-520.8296773684,-527.2657345034,273.5798360977,-890.7833491146,848.483748752,-821.3664911712,881.8622267614
1940,932,759.6434725929,887.8659010393,-621.2321248599,-920.9003800001,176.5375436563,-380.5493789448,-286.6905421839,71.9195586747,-539.9683273554,-283.4045549593,-694.7622953515,143.410216218,-915.1275843727,850.7679884579,-886.8103140031,929.220951701
1941,777.1666666667,777.1274159288,777.1568539203,-386.3263612367,-777.1642134762,241.6429316198,-389.7101855033,-171.8478164416,-0.9763549221,7.8107099357,3.9054042787,-674.3441038457,-1.9527083032,-738.6451931584,672.3942289259,-757.92899124,777.1660533688
1942,686.5,551.4369744989,651.8603121043,-210.0210724722,-677.7847572274,293.5059470447,-404.4148759305,-91.2052669257,-54.6946714196,408.9003706962,215.3146151641,-653.5850358734,-109.0416107282,-620.5936746772,554.7349440283,-680.4144687505,684.3177207396
1943,958.8333333333,287.6987199867,773.0512543783,-97.2327579737,-911.2048815124,515.2918325135,-642.701856102,-41.7297504334,-151.108813808,914.653381139,567.2328615439,-953.8905345415,-298.4409908492,-808.6010687947,711.5445771518,-957.9248347547,946.8513544905
1944,950.5,-301.9299160112,555.1872948976,102.2195985562,-845.9183689341,607.2026583147,-707.3224082509,43.8776873514,-222.9403959898,901.2705342002,771.5032842343,-944.9875150874,-433.4424565037,-731.2695684463,634.9372101131,-949.4867026729,923.984756279
1945,562,-457.5491203744,171.320451712,175.2304285433,-453.941677896,410.3550116398,-455.1502503797,76.1372692774,-174.2538048687,326.3323496753,535.2506915691,-533.9834238181,-331.3320888005,-383.9957869848,329.6699100302,-556.8187462963,534.3029210933
1946,1052.0833333333,-1052.0457039058,-4.4491175236,528.6082795852,-742.3605922606,852.1981313299,-911.8715098881,235.3497038282,-403.6422511562,-8.898155482,1052.0739259344,-909.6442310221,-745.5066004645,-616.9584145107,524.75679103,-1025.4217947682,971.572062875
1947,724.3333333333,-582.5133102586,-226.6329301394,486.1322229834,-424.5591784703,635.3053340995,-662.1104708778,224.6321529044,-329.4968989528,-430.5078642131,687.9653281628,-536.9676336196,-586.8630860382,-347.9165276938,293.7150015436,-688.6212120312,645.0508285075
1948,660,-199.0360018611,-390.0232292901,534.9607160496,-298.4833903826,614.0317563929,-627.962607403,260.0743998271,-345.3990173318,-629.2731282704,532.4301650115,-386.544993867,-588.6490173828,-242.0020705305,203.132872041,-606.5981425578,562.4051198436
1949,679.9166666667,214.9510381278,-551.5593653233,621.8244063248,-208.8926380605,658.8087985994,-665.2350904799,322.8326992585,-400.1606473967,-645.0447463695,397.5788476961,-274.9928750167,-647.0321007302,-168.1000907174,140.5309503469,-598.3859305671,549.6891211278
1950,546.3333333333,444.2883824939,-520.1969166,534.665100893,-84.4961409631,542.123150353,-543.4084457841,301.4411418726,-355.1880155389,-317.943303581,166.9589143201,-112.3091314106,-539.7596810372,-67.6949109048,56.4568167861,-455.646078769,415.1163508327
1951,728.25,728.2328390026,-728.245709738,728.2480932159,1.2498766516,728.2493135575,-728.2495233038,454.6146259777,-515.3922220851,4.9994697902,-2.4997496216,1.6665015658,-728.2489274337,0.999901498,-0.8332513283,-568.9231972306,514.5084255036
1952,522.75,420.8930557783,-496.6333695031,511.0882678972,82.6210281715,518.5417320373,-519.8263914728,361.6062077761,-397.7799045808,310.0267699693,-163.1651273893,109.8013885059,-516.1795503542,66.1969382654,-55.2094668365,-377.5029973362,339.1735691525
1953,781,236.7115896829,-630.4096888303,712.8179964287,242.4984876484,756.2209316613,-763.7643141738,588.605764743,-632.1994617419,744.2638129788,-461.0256220958,319.1418242215,-742.3984667874,195.1689076603,-163.1719105563,-513.3266540044,458.5682507253
1954,816.3333333333,-256.8444602024,-477.8752016823,659.4810752317,371.6817555412,758.6518319285,-776.13030334,660.832383125,-696.353472581,774.874850782,-661.842430438,481.1286964236,-726.8100052344,301.4092052718,-253.0254203602,-479.2709802653,426.018722987
1955,885.9166666667,-719.621804314,-271.4068810285,591.565960869,521.7300359988,775.8569690527,-808.9890247847,760.8767742304,-789.6384218963,516.7134593115,-843.3188277326,659.4680084879,-715.9930934126,427.6614360101,-361.0887675568,-453.7784423203,401.6459920663
1956,773.9166666667,-773.9059097565,2.0402147048,385.779816459,547.9625731326,625.631703749,-669.8911988397,697.5275443503,-715.2008022232,-4.0804152308,-773.9139774345,670.9105306651,-546.5199222265,455.5567782491,-387.5471437924,-335.2645698805,295.6937933806
1957,722.0833333333,-582.0679382986,224.8363662363,222.0016968951,584.7028873984,525.8860939461,-583.8270572599,676.2189864245,-686.8801024269,-427.3186814107,-686.1872548331,687.1095886781,-423.7061171917,494.821337931,-424.9121173714,-253.2434059888,222.710720819
1958,667.8333333333,-203.4254908462,393.7937515212,68.7812737268,595.3948080204,425.2157548416,-495.9515038867,643.8840408604,-649.4712697266,-636.0970293792,-539.3772727636,664.2819412686,-302.5002209808,514.968856287,-447.2510110705,-177.2419336283,155.5263029546
1959,722.0833333333,226.0984984241,585.092427605,-76.511533533,686.982470923,386.3850783419,-482.7818540013,710.5585341062,-713.2541387273,-685.7724179989,-423.1680416064,718.0183322967,-222.394750213,610.0089437971,-536.9599814929,-128.4947854449,112.5738596037
1960,820.8333333333,665.9918890443,781.1644203906,-254.6916662298,810.8554606653,348.8998027428,-482.0310943017,817.5707937723,-818.3350633269,-479.8147192806,-252.0902803104,780.3201370362,-127.596171652,742.9914459515,-664.3894830875,-73.1119571722,63.9928530448
1961,777.5833333333,777.5780687599,777.5820171888,-389.6173732953,777.5830042971,239.7421392515,-388.3785939172,777.5832258929,-777.5832510742,2.8613390947,1.4306719689,672.9295228359,0.7153362872,739.7023367172,-673.6452390277,0.4087636315,-0.3576681814
1962,794.1666666667,640.9216678734,754.8838715372,-532.0621403696,784.2844835975,148.2875364437,-322.6101966519,790.9353106214,-791.6922661305,468.9564053245,246.6800254125,589.5850856575,124.8941280952,780.1996545628,-725.6881943788,71.5683509433,-62.6422396927
1963,914.6666666667,279.9993687855,739.1620933283,-740.5257822535,869.6844367764,56.8768659614,-282.2063626822,899.8965207323,-903.3511155551,870.7556859366,538.752736325,536.8767800241,283.3091801197,912.8965621743,-870.042918466,163.711218568,-143.4289829027
1964,773.0833333333,-240.8979566064,453.5546521596,-706.5320100752,688.5831041414,-48.9626725817,-160.3897110511,745.1435247427,-751.6614802238,734.5924140505,626.0559222482,313.7998709637,351.441529943,771.5312676563,-756.2625079076,205.9586555884,-180.7286901008
1965,749,-607.0110733263,230.5967324992,-732.7571923881,605.6888444746,-140.7025745898,-77.9931500239,701.1494304725,-712.2716983397,438.7921567886,712.6192159637,155.1383157168,440.615505491,735.6655391574,-744.9282304688,263.4207208025,-231.6679255837
1966,1022,-1021.9977740081,-1.0665279434,-1021.9997526675,722.2859573748,-316.2210721384,0.3555093718,920.6579280069,-944.1028144321,-2.1330547254,1021.9994435019,-0.7110187007,723.0401066186,971.847844848,-1021.9999381669,443.7037069915,-391.3487904433
1967,838.75,-677.6900106038,-259.8933109048,-820.3183507388,492.7048041062,-357.3908062301,87.9191270936,719.9152104761,-747.2475215563,-494.2042209734,797.469140122,-174.8695683677,678.7809208505,758.7973208454,-834.129360226,430.3761752527,-380.9497395037
1968,633.0833333333,-194.7602145086,-372.488295885,-578.2258717849,287.2093095269,-339.3780211831,131.7750822714,512.0980790105,-539.7323104948,-602.381080205,511.9052415956,-257.7777107181,564.1855363845,534.4315350747,-619.2171142958,372.2231379403,-330.8829701758
1969,740.75,229.7013612424,-599.5255815394,-599.1150700359,228.7050370835,-472.3009761496,229.0371960741,557.7588983039,-599.2177478678,-704.2356474529,435.0627995817,-435.6279322494,704.5598402639,570.6508130443,-704.4519325792,487.4582790997,-435.4866853765
1970,720.0833333333,582.9035741737,-684.9303452349,-481.6847576547,112.5012907626,-524.9983043745,292.9734126474,497.5622420862,-547.5081329994,-422.780593405,222.2395759552,-535.256761926,711.2407936284,492.8456019366,-657.7891656345,520.5303278336,-467.7123595159
1971,821.4166666667,821.4165662419,-821.4166415605,-410.5910740549,-0.1015446825,-664.5877887199,410.7669587884,512.0995472772,-580.7933926033,0.4061787144,-0.2030893634,-711.4353872168,821.4166603902,482.7508791937,-711.3338497819,642.2455869497,-580.865195537
1972,885.1666666667,716.0233178931,-841.8194584746,-273.482166885,-138.5090318079,-775.6924690425,520.3089129178,487.6170754095,-574.8549598765,520.4139083567,-273.6056050438,-841.8595679647,874.2627041602,426.4049967444,-716.0996180114,738.7486822641,-673.0986576151
1973,700.0833333333,216.4325749394,-566.4086475843,-73.2117242948,-216.3139149262,-650.9136723641,468.4348223754,331.7601093746,-411.5087526427,665.7879648328,-411.4582816675,-696.2447249616,665.8265268224,257.7364249395,-520.2744379625,616.4834981074,-566.3719803358
1974,600.1666666667,-185.1984836372,-352.8810502007,62.6427570453,-272.4083186588,-581.2975602059,445.9798888204,235.9168756274,-313.6157164398,570.8778761139,-485.4636878151,-596.8885262489,534.7838214674,149.3089892687,-401.624160809,551.8543789552,-511.7081298746
1975,741.3333333333,-599.411360045,-229.3594226657,228.9013630417,-435.6278949832,-735.4732018365,599.6946396206,229.1631232418,-336.6226608758,436.2122563158,-704.9605424033,-705.1094078997,599.8361844901,93.0283854071,-435.8227280918,705.0243783424,-660.5000342891
1976,747.5833333333,-747.5828825507,-0.4104860145,373.5546474056,-528.4760958524,-747.583315302,647.3577329295,166.4672807225,-286.1825631948,0.8209719052,-747.5832206376,-647.5629434112,528.7663533077,0.1641944127,-373.9101575166,728.8137517408,-690.6376624548
