Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1927,1166.3333333333,-933.5372395436,-368.4547760965,355.0476193782,682.1262189863,-1156.707364316,941.9228518955,-1161.4188094546,1038.2485230398,-699.1721296145,1106.6049531861,1110.9791323055,946.0640918119,-149.5376801397,687.8333995391,-106.9569702705,531.3882279934
1928,1477.5833333333,-436.6105028796,-876.9618306207,147.4964902298,666.1337410948,-1430.1136251195,1095.716857275,-1453.3000981711,1258.4753912089,-1411.6032642777,1189.1973993323,1470.2031466142,1318.908012683,-371.5205595817,991.2906110863,-266.7795561885,774.268814215
1929,1379.8333333333,444.5555722047,-1121.9074437815,-150.5760451465,421.838085012,-1281.5223147086,920.9153548191,-1329.3779744156,1114.9005064908,-1306.258156338,803.283085447,1371.592826755,1313.7703976765,-511.508147229,1027.5480217665,-369.7218263998,812.9802509313
1930,1284.8333333333,1049.5924551937,-1224.6117889545,-402.552129723,196.6909347209,-1124.2259549888,752.8559954506,-1202.0293474756,975.5797670458,-741.0481579795,388.7449817016,1220.142810207,1269.6886904446,-622.0230675576,1041.1553892472,-453.7864500531,836.0866059059
1931,1369.9166666667,1369.7966745859,-1369.8866683181,-690.1858572551,-4.5329481455,-1106.1504596754,682.3395652678,-1233.1261905712,967.0733975241,18.1312962728,-9.0658466597,1183.3491268667,1369.909167059,-808.1477799086,1187.8907320462,-596.7172460542,970.2786802834
1932,1211.1666666667,970.5771077869,-1149.4466788037,-814.2966278552,-193.3302769443,-880.7576296206,490.2426756247,-1038.5764744888,785.1017473398,724.5031209626,-381.70279935,896.5744231843,1195.6371098545,-831.3787899085,1107.5137983072,-623.1240655623,922.2472232371
1933,1649.9166666667,490.0429968478,-1328.6751135675,-1338.8715507732,-514.7920903065,-1048.4898394307,506.5562756486,-1333.0630142463,967.6933804878,1575.4627473174,-978.1857949955,964.1825436476,1567.5503534823,-1273.9285943707,1570.2311124626,-972.1975143936,1336.336233253
1934,944.6666666667,-302.9286134111,-550.5581475385,-864.5615072446,-431.4517244546,-504.2172418105,194.5156471008,-710.3100604823,492.3500019006,894.7789482816,-767.646296995,380.6947744613,840.3835556318,-798.8492249306,924.4234820385,-622.7798399827,806.217456236
1935,956.5833333333,-780.5622404784,-290.1541346769,-936.465245855,-564.5773039547,-405.2215573534,98.0933921838,-659.8765611608,433.0048696434,552.968590745,-911.516457197,195.15254781,772.2073176747,-866.5143755687,951.5405193795,-692.5421269798,852.9703725665
1936,1372.5,-1372.4069724083,7.990005309,-1372.4896634971,-973.3248512924,-421.0850818154,-2.6633484751,-853.9537493002,523.3869942983,-15.9797398358,-1372.476742905,-5.3266869211,967.6750404225,-1306.309153253,1372.4974158719,-1074.4855718232,1268.787730158
1937,1332,-1068.6754138768,418.7769983632,-1301.8379249538,-1079.822893307,-246.627855376,-141.7319370529,-731.9954010138,409.8169750725,-795.0829263513,-1264.4563359966,-281.8546028575,779.8759639136,-1308.9685637756,1324.4380159219,-1112.8372445666,1267.3886724058
1938,1147.6666666667,-342.6142642674,679.6807365056,-1046.7260920195,-1024.0082282484,-69.5411549565,-240.6721139193,-542.2535975099,266.381932406,-1095.3329373749,-924.7555753825,-470.6413348436,518.2141702592,-1145.5578577903,1122.1478117251,-1011.4839661435,1116.3240765412
1939,1450.9166666667,463.0796987491,1178.3567427824,-1170.7706097912,-1381.0967762965,94.1988063209,-450.815141173,-568.2089373455,225.0587063445,-1375.0332236778,-846.5427102932,-857.003706445,444.6693919246,-1447.8555723894,1379.1029265796,-1335.0272570745,1433.3554173023
1940,1255.75,1023.5217711465,1196.2849841525,-837.0303012798,-1240.7946911857,237.8616099211,-512.7412903541,-386.2785926474,96.9023452851,-727.5377972924,-381.8511479509,-936.1027386134,193.2268015191,-1233.0165923562,1146.3003235043,-1194.8627165337,1252.0055902344
1941,1550,1549.9217173788,1549.9804292212,-770.4986402533,-1549.9951072976,481.9385082702,-777.2474212268,-342.7374421847,-1.9472658751,15.5778688402,7.7890327668,-1344.9281933872,-3.8945286768,-1473.1718413839,1341.0393156788,-1511.6319147612,1549.9987768239
