Year,annual_Mean_eastrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1927,621.5833333333,-497.5174528262,-196.3635449345,189.218361885,363.5309708073,-616.4532888277,501.9864641532,-618.9641968935,553.3220729747,-372.6153840236,589.7518109328,592.0829771268,504.1934881984,-79.6943095286,366.5725440956,-57.0014319268,283.1969700345
1928,535.6666666667,-158.2839271621,-317.9240114619,53.4717409733,241.4927351958,-518.4575253662,397.2290315585,-526.8632920334,456.2337045114,-511.7469845343,431.1184300326,532.9911356628,478.1422765511,-134.6869413452,359.3714989602,-96.7153001624,280.6948247575
1929,497.75,160.3654084297,-404.7078851134,-54.317593771,152.1704844653,-462.2860723369,332.203612413,-479.5491388564,402.1802588036,-471.2090812783,289.7698918574,494.7773858079,473.918986914,-184.5173428795,370.6694246897,-133.3704836989,293.2679694898
1930,576.9166666667,471.2886604817,-549.8759511566,-180.7542089812,88.3182864881,-504.8006412238,338.0478697954,-539.7359691642,438.0554369736,-332.7459072313,174.5545147438,547.8692875252,570.1164096477,-279.3011867105,467.5002438552,-203.7594755298,375.4201305414
1931,640.8333333333,640.7772022365,-640.8193004054,-322.8620501424,-2.1204678654,-517.4461363163,319.191633123,-576.8441149396,452.3872758051,8.481639293,-4.2409125137,553.5589017339,640.8298250917,-378.0434593039,555.6834192734,-279.1383674285,453.8866750641
1932,442.9166666667,354.9344521733,-420.3460229697,-297.7835817428,-70.6997675767,-322.0879868882,179.2789198394,-379.8014285061,287.1071822699,264.9466140028,-139.5865129039,327.8720970982,437.2375972806,-304.0304299136,405.0114103484,-227.8728779733,337.2604920535
1933,823.8333333333,244.6873613232,-663.431596178,-668.5228623134,-257.0450328183,-523.5300041725,252.9327411012,-665.6225546158,483.1868659781,786.6571402586,-488.4259189517,481.4338414314,782.7063384274,-636.095665637,784.0448900351,-485.4358617756,667.2569322662
1934,707.8333333333,-226.9826783975,-412.5300727939,-647.8109952836,-323.2843108255,-377.8070970305,145.7494624624,-532.2312679725,368.9150420028,670.4527511206,-575.1929822402,285.2524183375,629.6945943486,-598.573157777,692.6652308075,-466.6453741013,604.0941313751
1935,595.8333333333,-486.1939210227,-180.7302084624,-583.3022482676,-351.6619673557,-252.403008544,61.1000744067,-411.0216405871,269.7085824506,344.4311720382,-567.7622326822,121.555947107,480.9898354712,-539.7314910111,592.6922827392,-431.3682557632,531.2952490504
1936,467.6666666667,-467.6349683762,2.7225203275,-467.6631445991,-331.6514308108,-143.4808426927,-0.9075113322,-290.9768330949,178.3392721313,-5.4449483885,-467.6587420269,-1.8150192472,329.7263100699,-445.1127485159,467.665786149,-366.1210096583,432.3276710168
1937,604,-484.5945570432,189.8958761347,-590.322902907,-489.6494200882,-111.8342527381,-64.2688363213,-331.9258425018,185.8329226305,-360.5330987359,-573.3720922988,-127.8079430375,353.637449102,-593.556315706,600.5709922048,-504.6198916804,574.7017703702
1938,413.3333333333,-123.3928805378,244.787718056,-376.9794812966,-368.7976192355,-25.0453186599,-86.6783099796,-195.2931922487,95.9377276165,-394.4852867687,-333.0516739687,-169.5019620116,186.6353677378,-412.5738436421,404.1426914142,-364.286993325,402.0452671829
1939,344.75,110.031630218,279.9874702711,-278.1849412846,-328.1602069691,22.3824284504,-107.1174682116,-135.0112212853,53.4758410285,-326.7194558816,-201.1456661009,-203.6312867476,105.6571865138,-344.0226582606,327.6864515111,-317.2137018274,340.5772994876
1940,542.5,442.1744462249,516.8103554869,-361.6077550821,-536.0391160408,102.7592461734,-221.5107704695,-166.8772737497,41.8630478337,-314.3055982729,-164.964561229,-404.4083103307,83.4764402342,-532.6788782427,495.2163452129,-516.195917754,540.8823672723
1941,420.5833333333,420.562091807,420.5780229182,-209.0702493203,-420.5820057274,130.7711640451,-210.9014911253,-92.9997779949,-0.5283790791,4.2269625826,2.1135079771,-364.9383113992,-1.0567573243,-399.7364668529,363.8830874317,-410.1723803118,420.5830014317
1942,849.25,682.1672987519,806.3982083825,-259.8112101923,-838.4686162788,363.0880197053,-500.2903618121,-112.827491532,-67.6612522987,505.8392422633,266.3597041924,-808.5318160458,-134.892334903,-767.7191234081,686.2471248595,-841.7217590479,846.550363202
1943,578.5,173.5793945896,466.4107255253,-58.6641583394,-549.7639742273,310.8948288987,-387.766059887,-25.177118678,-91.1695972063,551.8445829886,342.2327937457,-575.5178246817,-180.0606082457,-487.8592577415,429.3014474698,-577.9518688395,571.2708241677
1944,708,-224.8988748405,413.5429824171,76.1404269098,-630.1001632881,452.2877244469,-526.8640347624,32.6832221408,-166.0618625574,671.3303926499,574.6705157684,-703.8939091866,-322.8587682321,-544.701582809,472.9463911205,-707.2452240846,688.2495607002
1945,799.0833333333,-650.5691748621,243.5930918544,249.1525176901,-645.4399094521,583.4659262477,-647.1583260514,108.25626855,-247.7638990044,463.9977611264,761.0496562064,-759.2477833618,-471.106672525,-545.9868922593,468.7432928944,-791.7163342579,759.702062628
1946,829,-828.9703495014,-3.5057284059,416.5223893318,-584.9507462819,671.4983770669,-718.5186360687,185.4462458363,-318.0541080794,-7.0113941176,828.9925873422,-716.7636285313,-587.4296761522,-486.1387966379,413.4875688845,-807.9917635132,765.5603074441
1947,648.5,-521.5276783747,-202.9058286176,435.2371099007,-380.1103919531,568.7926955778,-592.7914961311,201.1145206974,-295.0005600151,-385.4362861604,615.9395057252,-480.7503595062,-525.4220588529,-311.4917646701,262.9648115522,-616.5267225065,577.5178954723
1948,596.6666666667,-179.9365875411,-352.5967577925,483.6261018833,-269.8410448408,555.1095171431,-567.7035693189,235.1177655003,-312.2546671838,-568.8883331333,481.3383815003,-349.4522924354,-532.1624955128,-218.779649621,183.6403237138,-548.3892298881,508.4369517778
1949,490.4166666667,155.0418996669,-397.8339091712,448.515336588,-150.6720400767,475.1917857283,-479.827001774,232.8557954573,-288.6316227392,-465.2639211159,286.7693980502,-198.3494385921,-466.697378698,-121.2488091521,101.3634811608,-431.6094130883,396.4849219067
