Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1910,760.9166666667,624.3832383796,-725.9813310553,-505.3857832869,-115.2885057634,321.236349006,311.7993810223,-104.2861904431,495.6153892388,-434.9019949847,227.9150731531,-568.8403850489,-752.1321253942,689.7835759776,-694.1003670978,753.7364022614,-577.3729813222
1911,454,453.9127421509,-453.9781850136,-224.4255942481,2.2253093966,138.5995184041,228.283573885,-102.2638346558,321.8122826013,8.9007029533,-4.4505653291,-394.650671666,-453.9945462206,432.3264663401,-392.4316627061,442.3325763738,-320.2387465111
1912,644.75,514.2075538012,-611.243765945,-195.292231154,103.9306124463,118.3701026556,380.6493770279,-200.9275423665,491.2798718016,388.9642067257,-205.1429284507,-614.4619654225,-636.3183089434,633.7910391425,-520.3927500151,612.6423795483,-417.5483805053
1913,418.1666666667,121.6537305615,-335.9575092981,-41.0798423784,131.1051663862,24.6733845566,280.7891917049,-165.391360414,338.8858004709,400.0796557582,-248.9897850462,-416.1439746786,-397.0828584288,417.4381214092,-309.8722171038,384.0690810408,-244.9893372176
1914,554.75,-181.2368950894,-321.8745057854,61.415961275,254.1531825647,-36.8980095169,413.4114578827,-264.1792884874,473.6765988139,524.309784725,-451.8233781307,-551.339860885,-493.1061977832,553.5215437485,-369.9169217424,487.808226698,-288.7525623022
1915,713.8333333333,-585.0976688722,-214.3546226247,224.7310396511,422.2230174885,-136.3289932055,578.7825735608,-394.807469978,636.7711094897,408.9238873654,-680.8892153186,-677.5352297815,-575.574279551,700.6942510035,-417.8142653381,594.7142922676,-322.6152226677
1916,817.9166666667,-817.7839663468,7.3667429467,413.2041838872,580.9531200735,-255.5510170558,709.5612244017,-511.6066184688,756.3593435237,-14.7328882843,-817.8834909139,-705.8682426836,-575.7439933582,776.9693374213,-406.829869155,638.1585551805,-311.3008465705
1917,713.5833333333,-569.7891105937,226.5051442866,480.600011111,579.1508739043,-306.1121417051,652.7439511553,-494.4330261845,679.1441616898,-429.5829873958,-676.680569562,-527.4701915096,-416.8758074858,644.5902033942,-288.3166797832,514.5261472744,-219.0077196214
1918,476.75,-139.4231691055,283.5670702223,387.3155028828,425.7235976714,-256.852812276,453.8409569989,-359.8043661619,463.8180072452,-455.9076029379,-383.2496303789,-277.9878841364,-214.5925928026,401.6431193559,-146.0100963985,312.7800834305,-110.2878898841
1919,688.8333333333,224.0047777031,560.7108518741,630.8634573091,656.0212215484,-440.887066112,674.1851152641,-558.262871654,680.5808717146,-651.3932918577,-400.1183596158,-276.5911411147,-210.0655088043,529.2541507123,-141.3003590489,403.5268606223,-106.3063411432
1920,463.25,379.2824404571,441.7596365908,453.6572431081,457.8458879092,-338.7544996105,460.8455708639,-398.2434556558,461.8969961333,-265.9800610213,-139.4596213215,-93.7852241857,-70.5528555386,315.9841000646,-47.1372709762,236.6489225147,-35.3797606413
1921,622.75,622.6660396342,622.7290095548,622.7406708841,622.7447523666,-505.014774882,622.7476677167,-561.7106720893,622.7486880903,10.2257315755,5.1130381281,3.4087133622,2.5565406069,364.3866622846,1.7043630642,268.8841448673,1.2782729963
1922,513.75,410.71626304,487.311267383,501.9427665876,507.097242212,-450.9972971888,510.7896625982,-481.4046493218,512.0841096375,308.6279536505,162.6861739104,109.5103719761,82.4102508248,246.0497925795,55.0725256621,179.4118895485,41.3391721833
1923,371.8333333333,109.3069850082,299.0852791178,338.8862420421,353.1783572524,-346.1522714525,363.5032522393,-358.6556652988,367.1399689601,355.4040106782,220.9253801463,153.0233404822,116.2973591541,135.788927185,78.2650202148,98.1129019386,58.8920280658
1924,522.5833333333,-169.1539283409,303.8883977375,421.189698196,464.7043964332,-506.5649761476,496.5883892756,-514.3901051513,507.9075274006,494.4494805383,425.1413670749,309.342170438,239.0463641501,128.3949579161,162.7676623731,92.1746168975,122.9767615752
1925,643.25,-526.0672007453,194.1363382015,427.9992399196,518.9647204041,-638.4190833443,586.9757548563,-640.7837328791,611.3896543531,370.1673443187,613.2549589606,480.1949740764,380.0607602423,78.6869526787,263.1159928831,56.2740630982,199.9331214433
1926,484.4166666667,-484.3634107542,-3.5915213777,240.131798235,341.2621529927,-484.4145363927,418.9172664179,-484.4155797918,447.1982678615,-7.1828453299,484.4033525056,420.7091945999,343.8017595639,-1.436619607,243.2443850152,-1.0261575989,186.207454647
1927,641.8333333333,-513.7256229612,-202.7606948768,195.3827353852,375.3741167928,-636.5361617578,518.3402261574,-639.1288704215,571.348251247,-384.754482873,608.9648006173,611.3719117617,520.6191508384,-82.290598202,378.5147787403,-58.8584299102,292.4229874254
1928,563.25,-166.4345151973,-334.2950207639,56.2251862536,253.9280331656,-545.1547003656,417.6837312234,-553.9933090936,479.7267593019,-538.098610527,453.3182122885,560.4366966311,502.7634796529,-141.6224387915,377.8767830541,-101.6955061913,295.1487741966
1929,491.5,158.3517794941,-399.6261688262,-53.6355546729,150.2597551275,-456.481375296,328.0322963355,-473.5276780471,397.1302806669,-465.2923424376,286.1313949732,488.5647114507,467.9682211316,-182.2004500759,366.0151124761,-131.6958166509,289.5855489789
1930,780.5,637.5978035637,-743.917110867,-244.5390612911,119.484193449,-682.9355489963,457.3387763258,-730.1989148045,592.6371836912,-450.1658482057,236.1516084198,741.2023323647,771.3000567327,-377.8614639217,632.4725240426,-275.662465378,507.8990239275
1931,510,509.955328698,-509.9888320522,-256.9461309326,-1.6875504988,-411.8036871594,254.0250708339,-459.0749003161,360.027324828,6.7500172267,-3.3750825207,440.5436253071,509.9972080054,-300.8616347126,442.2343986935,-222.1491298651,361.2206048625
1932,504.25,404.0843593793,-478.5538635917,-339.0194643699,-80.4899893897,-366.6894465965,204.1047495669,-432.3948154074,326.864639683,301.6353643144,-158.9158964406,373.2745173172,497.7845157375,-346.1313511584,461.0957749798,-259.4278051959,383.9629797583
1933,594.1666666667,176.4738909806,-478.4814162198,-482.1533490082,-185.3865146667,-377.5813200233,182.4206396977,-480.0615834929,348.4849640324,567.3543809472,-352.2634839294,347.2206442854,564.5049760255,-458.7661436367,565.4703687994,-350.106989122,481.2403324963
1934,453.9166666667,-145.5585883249,-264.5457153884,-415.4257701095,-207.3145327368,-242.2786976131,93.4656607055,-341.3072423648,236.5764343995,429.9453891399,-368.8575670194,182.925585435,403.8081534515,-383.8507170251,444.1897235942,-299.2485698999,387.3911859666
1935,643.0833333333,-524.7494389556,-195.0622403782,-629.5585244588,-379.5490072844,-272.4187436271,65.9453530345,-443.6159441134,291.0966616463,371.7448048418,-612.7861747704,131.1954187168,519.1326657806,-582.5325756828,639.6931952305,-465.5760601013,573.4273338353
1936,466.3333333333,-466.3017254157,2.7147583309,-466.3298213072,-330.7058814713,-143.0717740036,-0.904923987,-290.1472483961,177.8308208921,-5.4294246582,-466.3254312869,-1.8098445665,328.7862493141,-443.8437171587,466.3324553259,-365.0771863948,431.0950903439
