Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1937,666.75,-534.9394385903,209.624297041,-651.6519793265,-540.5194550394,-123.4527947237,-70.9457725451,-366.4098600795,205.1392403375,-397.9891450035,-632.940136656,-141.0860033448,390.3771013058,-655.2213137368,662.9647500871,-557.0452198309,634.4079559509
1938,622.5,-185.8356487132,368.6621479594,-567.7493397753,-555.4270596148,-37.7194617721,-130.5417289411,-294.1209971971,144.4868599385,-594.1139298715,-501.5919364005,-255.2781564974,281.0818945568,-621.3561717756,608.6584485613,-548.6338387374,605.4996261808
1939,602.25,192.2162416208,489.1151674279,-485.9662969939,-573.2689909996,39.1002684097,-187.1254393922,-235.8535403019,93.4179122826,-570.7521169099,-351.384996111,-355.7271717005,184.5744469266,-600.9793935821,572.4413790357,-554.1463435114,594.9606341303
1940,688.75,561.3781563824,656.1348061597,-459.0918733876,-680.5473570011,130.461623598,-281.2268076698,-211.8649258896,53.1487081944,-399.037752646,-209.4365742792,-513.430827171,105.9804575324,-676.2812486445,628.7193691528,-655.3547250747,686.6962773434
1941,448.1666666667,448.1440320464,448.1610079759,-222.7818111442,-448.1652519918,139.3475966386,-224.7331522235,-99.0990303263,-0.5630320364,4.5041816464,2.2521192591,-388.8722486041,-1.1260631841,-425.9525894066,387.7478193399,-437.072926752,448.1663129978
1942,379.9166666667,305.1712996772,360.7466815834,-116.2279763779,-375.0935552561,162.4294261443,-223.8076498382,-50.4739999896,-30.2686340133,226.2899720811,119.1574812495,-361.7011627272,-60.3448292437,-343.4433798075,306.9964323653,-376.5488665979,378.7089692707
1943,693.8333333333,208.1852548765,559.3972487357,-70.3598073083,-659.3683159632,372.8767423524,-465.073496776,-30.196584574,-109.3457312503,661.8637277389,410.4624374426,-690.2566131229,-215.9586033209,-585.1218928198,514.889635787,-693.1759233589,685.1629043532
1944,681.4166666667,-216.4545785748,398.0156505679,73.2815761348,-606.4417414321,435.3056406312,-507.0818281841,31.4560625524,-159.8267243564,646.1238960332,553.0933153765,-677.4647475776,-310.7363639164,-524.2496283698,455.1886346743,-680.6902303837,662.4077987106
1945,548.3333333333,-446.4224810296,167.154296006,170.969190364,-442.9027640207,400.3760344884,-444.0819465448,74.2857698466,-170.0163161382,318.3966282419,522.2345122367,-520.9980617917,-323.27478415,-374.6578111447,321.6530260971,-543.2780769023,521.3097895601
1946,734,-733.973747327,-3.1039863088,368.7906318088,-517.9177898322,594.5474170894,-636.179347255,164.1948666391,-281.6064117373,-6.2079171078,733.9934368024,-634.6254563836,-520.1126445063,-430.4292843573,366.103589338,-715.399221253,677.8302360241
1947,653.5833333333,-525.6157262262,-204.4963266317,438.6487603381,-383.0899259943,573.2512350831,-597.43815268,202.6909773618,-297.3129519658,-388.4575677661,620.7676103061,-484.5187701885,-529.5406332027,-313.9334246091,265.0260880242,-621.3594300461,582.0448283461
1948,481.25,-145.1304180237,-284.391938024,390.0755221195,-217.6441388206,447.7314890365,-457.8894012314,189.6375832073,-251.8534501377,-458.8449893638,388.2303286542,-281.8557246947,-429.2232418416,-176.4598430951,148.1177191966,-442.3111456151,410.0870665526
1949,716.75,226.5956463951,-581.439159351,655.5106898884,-220.2090427698,694.4986489463,-701.2730743004,340.3216137177,-421.838672418,-679.9889525094,419.1170080934,-289.8901480596,-682.083968425,-177.2066282951,148.1439764595,-630.8024744218,579.4675978453
1950,474.75,386.0754904008,-452.0381076678,464.6105978931,-73.4250328046,471.0914563089,-472.2083458865,261.9448116608,-308.6495003852,-276.2847773797,145.0831200247,-97.5938257544,-469.0376605963,-58.825184171,49.0595615056,-395.9450443483,360.725724633
1951,451.75,451.7393546439,-451.7473386531,451.7488171785,0.7753268484,451.7495741842,-451.7497042945,282.0077683288,-319.7094903219,3.1012845558,-1.5506514131,1.0337687365,-451.7493346628,0.6202615884,-0.5168847066,-352.9159688966,319.1612512479
1952,526.0833333333,423.5768948076,-499.8001692449,514.3472397951,83.147863996,521.8482312054,-523.1410823159,363.9120021824,-400.3163618075,312.0036663185,-164.2055554293,110.5015408318,-519.4709869896,66.6190453164,-55.5615118984,-379.9101581672,341.3363210681
1953,649.25,196.7797690161,-524.0633680834,592.5698901169,201.59045212,628.6510113714,-634.9218706496,489.3115144166,-525.5512170754,618.7109866537,-383.2533740662,265.3045190471,-617.1603131392,162.24508745,-135.6457912019,-426.7315366355,381.2105464577
1954,502,-157.9451845916,-293.8669063837,405.5445076762,228.5637908718,466.5290563023,-477.2773527277,406.3754875403,-428.218999472,476.5053186107,-406.9966109595,295.8676263021,-446.9480881515,185.3500461982,-155.5966856115,-294.7252332705,261.9780305506
1955,677,-549.9207542326,-207.4037721264,452.0630106386,398.6957776742,592.8945552237,-618.2134171151,581.4469865344,-603.426068995,394.8622089593,-644.4475737465,503.9524128451,-547.1477651099,326.8104135214,-275.9368965884,-346.7685133487,306.9299256464
1956,838.5,-838.4883454258,2.210470589,417.9731359115,593.69004101,677.8406593218,-725.793608563,755.7362066601,-774.884297617,-4.4209258159,-838.4970863514,726.8980036128,-592.1270009091,493.572984036,-419.8879466823,-363.2423928219,320.3694356623
1957,586.0833333333,-472.4389855804,182.4898053941,180.1890287667,474.5776580581,426.838649593,-473.8667851943,548.8572569559,-557.5104166611,-346.8358091588,-556.9480626937,557.6966805739,-343.9036494182,401.6247512601,-344.8825068059,-205.546552143,180.7645123509
1958,667,-203.1716531985,393.3023692508,68.6954473308,594.6518646613,424.6851636826,-495.3326475055,643.0805918452,-648.660848876,-635.303297124,-538.7042289993,663.4530394203,-302.1227562678,514.3262697432,-446.6929239591,-177.0207682507,155.3322346954
1959,572.3333333333,179.208827141,463.7524284814,-60.6441099024,544.5118996306,306.2542086616,-382.6596391553,563.198616531,-565.3351903958,-543.5527947855,-335.4088989905,569.1113567471,-176.2731845889,483.501607155,-425.6019795606,-101.8467612736,89.2276131284
1960,654.9166666667,531.3736300507,623.2661096294,-203.2103355229,646.9556411543,278.3759948991,-384.5971949358,652.313590686,-652.9233769225,-382.8288201854,-201.1347728893,622.5924829409,-101.8049048745,592.8091140846,-530.0951215823,-58.3336925296,51.0578509725
1961,574.25,574.2461120806,574.2490280193,-287.734789345,574.2497570048,177.0510214963,-286.8199432733,574.2499206546,-574.2499392512,2.1131162471,1.0565599119,496.9625272599,0.5282801795,546.2746546263,-497.4910880013,0.301874417,-0.2641401177
1962,659.75,532.4424810654,627.1160137418,-442.0079711759,651.5404256707,123.189131797,-268.0068128954,657.0655670713,-657.6944040876,389.5831963225,204.928201594,489.7948712645,103.7551744103,648.1469743099,-602.8618504613,59.4550508308,-52.0397283995
1963,513,157.0404623035,414.5664947639,-415.331333414,487.7712639209,31.8999623596,-158.2782770291,504.71601509,-506.6535593438,488.3720847873,302.1648911094,301.1127421491,158.8968032814,512.0072190912,-487.9723219822,91.8190835919,-80.443587714
1964,703.0833333333,-219.0854866754,412.4868600055,-642.5580003239,626.2343052324,-44.5292733181,-145.8669820134,677.6733769811,-683.6011543223,668.0776325692,569.3687416199,285.3863869053,319.619724925,701.6718017911,-687.7855749937,187.3098175272,-164.3643374345
1965,477.8333333333,-387.2498324937,147.1118896473,-467.471043742,386.4063010922,-89.762857443,-49.7566446636,447.3065013717,-454.4020825856,279.9326020278,454.6237855291,98.9723077793,281.0958287144,469.3264576689,-475.2357002123,168.052337904,-147.7952698372
1966,716.3333333333,-716.3317731061,-0.7475435585,-716.3331599747,506.2597920413,-221.6435368641,0.2491812264,645.3013331007,-661.7341644535,-1.495086303,716.3329432764,-0.4983624226,506.7883852327,681.1810236719,-716.3332899936,310.9978037589,-274.301549466
1967,528.6666666667,-427.1500672897,-163.8115414188,-517.0491422839,310.553331073,-225.2645081693,55.4156922287,453.7647387244,-470.9923772234,-311.4984180681,502.6472155921,-110.22081885,427.837671324,478.2722507147,-525.7542634152,271.267407432,-240.1137752024
1968,548.8333333333,-168.8417497372,-322.9179829799,-501.2762395123,248.9878257923,-294.2139854563,114.2386062709,443.9486571493,-467.9053569723,-522.216900649,443.7814823152,-223.4729502158,489.1043757573,463.3100026328,-536.8124147363,322.6881119488,-286.8494460416
1969,587,182.0245684094,-475.0881084895,-474.7628027149,181.2350411988,-374.2702301718,181.4982573007,441.9905140795,-474.8441687457,-558.064563017,344.7612060134,-345.2090397981,558.3214663988,452.2065842147,-558.2359560229,386.281484754,-345.0971101127
1970,657,531.8379561146,-624.9266105581,-439.4864748698,102.6455475492,-479.005512289,267.3073006958,453.9730027321,-499.5433538442,-385.7426453426,202.7701442924,-488.3652714993,648.9321163021,449.6695666784,-600.1631503139,474.9289555191,-426.7381370702
1971,484.75,484.7499407354,-484.7499851839,-242.3058007281,-0.0599254761,-392.1991647543,242.4095971667,302.2099083404,-342.7488246701,0.2397018952,-0.1198509513,-419.8457590991,484.749996296,284.8901150725,-419.7858379001,379.0141604227,-342.7911983807
1972,595.8333333333,481.9776617337,-566.6549734601,-184.0893893078,-93.2347559241,-522.1428312609,350.2361822032,328.2302851796,-386.9528302689,350.3068579128,-184.1724793883,-566.6819724108,588.4935355625,287.026522945,-482.0290217267,497.2748143653,-453.0837320606
1973,533.4166666667,164.9071434576,-431.5654985344,-55.7824362827,-164.8167324655,-495.952674301,356.9159978604,252.7790096545,-313.5421408959,507.2858901196,-313.5036853891,-530.4919038781,507.315271776,196.3779140624,-396.4143170335,469.7191847859,-431.537560544
1974,650.5833333333,-200.7559791385,-382.5246263422,67.905026972,-295.2918277935,-630.1291380904,483.4441810637,255.7349414084,-339.9608300813,618.8341542378,-526.2447946087,-647.0298145549,579.7080386276,161.8516077785,-435.3623748175,598.2125987924,-554.6938864108
1975,776.6666666667,-627.9804266659,-240.2911217676,239.8112301651,-456.3907353016,-770.5272303414,628.2772078759,240.085466346,-352.6667265471,457.0029483884,-738.5602804855,-738.71624119,628.4254990387,97.4622922655,-456.5948545207,738.6271589649,-691.9807013911
