Year,Annual_mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1932,1193.5,956.419797559,-1132.6802899289,-802.4189007941,-190.5102674003,-867.9104700306,483.0917572792,-1023.4272923922,773.6498710197,713.9351657098,-376.1350964835,883.4965521429,1178.1969648641,-819.2518941151,1091.3590628427,-614.0348745688,908.7948762351
1933,1595.4166666667,473.8559106345,-1284.7863553336,-1294.6459841181,-497.787492748,-1013.856153134,489.8237232836,-1289.029315003,935.728560505,1523.4221070454,-945.8743898777,932.3336935266,1515.7710751764,-1231.8482215883,1518.363283403,-940.0839139889,1292.1944131334
1934,1201.25,-385.2078301272,-700.0966563839,-1099.3872730179,-548.6394326053,-641.1689785372,247.3485403103,-903.2391956468,626.0784471945,1137.8121506245,-976.1486742398,484.0962573976,1068.6422860296,-1015.8267093661,1175.5085121369,-791.9346677267,1025.196244852
1935,1071.4166666667,-874.2650688937,-324.9857748533,-1048.8834973394,-632.3521558451,-453.8665008182,109.8690428877,-739.0916409831,484.9850691703,619.3498711742,-1020.9397238595,218.5796939798,864.9071768747,-970.5353538363,1065.7684865984,-775.6785544542,955.365456929
1936,1627.1666666667,-1627.0563778533,9.4725466705,-1627.1544122311,-1153.9247751266,-499.2172014285,-3.1575314101,-1012.404426766,620.5011809756,-18.9447723153,-1627.1390942298,-6.3150509302,1147.2266447657,-1548.6941424662,1627.1636030549,-1273.8558151439,1504.2106386803
1937,1289.25,-1034.3767097152,405.3365203752,-1260.0559645246,-1045.1664153123,-238.712434342,-137.1831079921,-708.5023053732,396.6640653995,-769.565062161,-1223.8741225102,-272.8085936442,754.8461610177,-1266.9577483841,1281.9307147353,-1077.1211843525,1226.7123467711
1938,1176,-351.0726472075,696.4605397594,-1072.567427431,-1049.2887102121,-71.2579711549,-246.6137722647,-555.6406308495,272.9583088959,-1122.3742675163,-947.5857304529,-482.2604209493,531.0077236928,-1173.8391293303,1149.8511413785,-1036.4552519763,1143.8836311464
1939,1332,425.1258345187,1081.7790004384,-1074.8146244846,-1267.9025255484,86.4783022361,-413.866476165,-521.6387142916,206.6129666424,-1262.335939766,-777.1603400911,-786.7639563389,408.2244305625,-1329.1897920321,1266.0720911176,-1225.6088494101,1315.8780650255
1940,1521.3333333333,1239.990275005,1449.291835602,-1014.0570164022,-1503.2150694994,288.1678645377,-621.1828918112,-467.9741182143,117.3965900541,-881.4075271996,-462.6102964358,-1134.0826595079,234.0930711084,-1493.7919510289,1388.7357293712,-1447.5687672068,1516.7970041356
1941,1211.75,1211.6888006669,1211.7347000702,-602.3559531142,-1211.7461750115,376.7670886428,-607.6319759171,-267.9432874628,-1.5223222091,12.1783758498,6.0892648098,-1051.4301537658,-3.0446420156,-1151.6877282561,1048.3899295315,-1181.7548211045,1211.7490437525
1942,1279.75,1027.9700919373,1215.1758695055,-391.5141551294,-1263.5033402211,547.1438248076,-753.8964857569,-170.021763071,-101.9599501081,762.2581928602,401.3821977513,-1218.3910410182,-203.271669817,-1156.8896652122,1034.1180548001,-1268.4055591893,1275.68186907
1943,1448.6666666667,434.673609269,1167.9752308459,-146.9054636377,-1376.7065583359,778.5358262137,-971.0350309819,-63.0479733647,-228.3048513157,1381.9167719209,857.0116517538,-1441.1987704216,-450.9037184879,-1221.6861619962,1075.047012794,-1447.2940489637,1430.5635274174
1944,1415,-449.480095903,826.5018645766,152.1733108438,-1259.3103545941,903.9366244243,-1052.9839112835,65.3202815385,-331.8891744614,1341.7125785305,1148.5293500174,-1406.7936179365,-645.2615212548,-1088.6338130999,945.2247788638,-1413.4915142369,1375.5270175011
1945,1304.1666666667,-1061.7799130871,397.5630292545,406.6364482062,-1053.4085496846,952.2621488973,-1056.2131403384,176.6827200759,-404.3701136114,757.2807343445,1242.0927228732,-1239.1519250821,-768.8830352504,-891.0934262029,765.0258143495,-1292.143146432,1239.8933444706
1946,1293.5,-1293.4537359229,-5.470035818,649.9055616413,-912.7066228174,1047.7480708517,-1121.1144218997,289.354305174,-496.2641601938,-10.9399738132,1293.488433929,-1118.3760597168,-916.574530884,-758.5289908939,645.1702899301,-1260.720562249,1194.5141829661
1947,1252.75,-1007.4692352874,-391.9665023913,840.7760823872,-734.2841843011,1098.7741702161,-1145.1342278769,388.5061153488,-569.871937639,-744.572563589,1189.8507568192,-928.6970129088,-1014.9922655791,-601.7290797078,507.9863803733,-1190.9851220047,1115.6292113384
1948,1194.4166666667,-360.1998755903,-705.8337052291,968.130295851,-540.1720245396,1111.2269146944,-1136.4378853419,470.6624207983,-625.076277199,-1138.8095640782,963.5507014028,-699.5390652899,-1065.2912078469,-437.9565248628,367.6140725964,-1097.7741385456,1017.7970432725
1949,1171.25,370.282735738,-950.1368892778,1071.1780893363,-359.8463081187,1134.888793273,-1145.9589651543,556.1237391933,-689.3317684961,-1111.1783196744,684.8842633127,-473.713060223,-1114.6018109771,-289.5755331576,242.0838959585,-1030.8020902218,946.9151363465
1950,1274.6666666667,1036.582534873,-1213.6870098099,1247.4431640115,-197.1404777565,1264.8437626297,-1267.8425239039,703.3013584631,-828.6997995246,-741.8030463051,389.5368446372,-262.0317989714,-1259.3294815659,-157.9410245882,131.721090537,-1063.0815162984,968.5203938891
1951,1241.5833333333,1241.5540757867,-1241.5760189251,1241.5800824834,2.1308973833,1241.582163027,-1241.5825206206,775.0661760432,-878.6850574259,8.5235267656,-4.2617884898,2.8411954262,-1241.5815047299,1.7047182079,-1.420598643,-969.9492751504,877.1782848814
1952,1280.5,1030.996763126,-1216.5261208011,1251.9340546005,202.3839819677,1270.1916554258,-1273.3384873858,885.7709212,-974.3800436456,759.42473256,-399.6804316058,268.9635159863,-1264.4053835076,162.1524236229,-135.2381105387,-924.7108332644,830.8211483498
1953,1193.6666666667,361.7858312652,-963.5070830992,1089.4584913407,370.6304243572,1155.7947743402,-1167.3239475273,899.6147006166,-966.2425405453,1137.5197244035,-704.6234540014,487.7707522565,-1134.6687620852,298.2927265607,-249.3890788315,-784.5594314937,700.8676508099
1954,1043.5833333333,-328.3445462551,-610.9055890841,843.0667114258,475.1501250146,969.8445172765,-992.1886268606,844.7941949647,-890.2036073021,990.5836827626,-846.0854181682,615.0647882108,-929.1385969325,385.3151773804,-323.4623661873,-612.6899230157,544.6133593269
1955,1375.5,-1117.3057569379,-421.3942223927,918.4825275235,810.0532380958,1204.6181103549,-1256.0599043455,1181.3594238967,-1226.0155951294,802.2643551308,-1309.3613555219,1023.9092228484,-1111.6717147839,663.9995920217,-560.6369294791,-704.5496161169,623.6072566124
