Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1898,514.5,-147.3255485117,307.3363428645,49.7279125546,-459.8014780336,479.2641486549,-380.9824543265,415.2109174946,-118.6220669852,-492.9558121736,-412.6192219888,512.0911878884,230.8524437776,-187.1259624267,-345.7782808323,303.8258448409,-500.6386473537
1899,194.3333333333,64.3655640265,158.5462378197,-21.8220749605,-185.1705475061,188.4523829658,-129.4694710677,145.9181293595,-29.8381862085,-183.36444206,-112.3767543473,193.10422442,58.9687441,-47.4462200699,-144.9244648287,128.3485253856,-192.028974606
1900,820,674.3545275379,782.7422029574,-259.3939712366,-810.6320393449,814.0003849528,-479.4251472264,564.7115437746,-61.974703457,-466.5254239472,-244.3657989765,777.8912312696,123.5948898113,-99.0119856216,-665.2454646272,594.5593934399,-817.6546557878
1901,433.6666666667,433.5540355883,433.6385079829,-219.68030553,-433.6596269386,433.6621612363,-215.4051437946,269.2813698022,1.2354949236,9.8831170623,4.9418794155,373.9081988137,-2.4709798192,1.9767877061,-376.387302927,339.9328193265,-433.6649067311
1902,361,287.2132107384,342.0562593175,-243.5590121383,-356.2325852681,357.9464297612,-145.5956672056,197.9055415969,29.3345932153,218.6997292576,115.405872735,266.4582661623,-58.4751673208,46.85459872,-330.3375571911,301.9178640048,-359.8061723218
1903,525.75,151.3490362849,421.8914660945,-427.6111945404,-499.1104591166,508.648263586,-160.6183005924,247.6699222441,83.6831483019,503.4943214333,313.7206613161,305.8786177616,-165.2325999928,133.0037835963,-500.6144464703,463.7592825115,-519.0473901199
1904,384.5,-126.773105514,222.5937902659,-352.3872284643,-341.6339871538,356.8774998754,-78.5727709053,150.0144887324,90.7799039969,362.9997654522,313.5159557903,153.8294224628,-176.4269503828,143.1038087637,-376.386197505,354.0281107064,-373.6298422641
1905,339,-278.4805042284,101.2820543497,-332.0890359086,-273.1809074812,296.3623914829,-34.2258442336,103.7652074777,105.6235588396,193.3122054209,323.5165304381,68.1019252982,-200.7316412221,164.5914120316,-337.2678336078,322.7286502886,-322.1252300241
1906,574.8333333333,-574.7041740257,-6.0928267373,-574.8189818214,-404.3086699591,463.6132237541,2.0309760498,126.2146724947,221.3857048941,-12.1849689567,574.8010425995,-4.0619267466,-408.6170095664,339.8472301952,-574.8297454441,560.8058644113,-530.4919705138
1907,555.1666666667,-442.2281723977,-177.0588707206,-542.2184164061,-323.9697861808,403.1084867828,59.9518012086,72.8804743251,253.3306154841,-335.6251946974,526.175050793,-119.202418968,-450.8365617602,381.7244761101,-551.9201113473,550.3621210076,-493.997598209
1908,620.4166666667,-179.5470327727,-369.812701712,-565.0359543568,-278.8179303691,393.49924742,131.0708146938,26.0141834596,325.525382506,-593.8684225486,498.1519907923,-256.2249218206,-554.2358721542,479.6615291617,-606.4134578102,619.8710370204,-528.1572356999
1909,667.0833333333,218.9400673666,-543.6227752542,-537.023663988,-202.9266870308,355.1578355492,208.2794250029,-31.8556571035,393.4661121395,-630.1312724446,386.6192595254,-395.7344538046,-635.4690655742,564.6796308165,-633.7348457608,666.3222874267,-538.687843012
1910,537.1666666667,440.7813333255,-512.5041791679,-356.7754637025,-81.3875488064,226.7757645047,220.1137673935,-73.6204997915,349.8780855365,-307.0176606803,160.8959108033,-401.5710351578,-530.965248088,486.9504907186,-489.9979154871,532.0977821681,-407.5945939769
1911,469.5,469.4097630834,-469.4774402288,-232.0877015407,2.3012836161,143.3314402879,236.0773963414,-105.7552210813,332.7992658178,9.2045815784,-4.6025119428,-408.1244280775,-469.4943600233,447.0865108958,-405.8296600012,457.4342392236,-331.1720076805
1912,461.25,367.8607742394,-437.2798558234,-139.710805149,74.351291184,84.6812095384,272.3141142367,-143.7422705181,351.4584581132,278.2624898833,-146.75793059,-439.5821350153,-455.2180224895,453.410029941,-372.2856237991,438.2804149929,-298.7114238202
1913,461.4166666667,134.2360912952,-370.7048084862,-45.3286343661,144.6650670148,27.225294996,309.8305608749,-182.4974018758,373.935965964,441.4589585359,-274.7422159826,-459.1847723785,-438.15220947,460.6127696777,-341.9215755488,423.7924475335,-270.3280111945
1914,677.5833333333,-221.3665606086,-393.1443002164,75.0147485545,310.4280497872,-45.0680059158,504.9494613255,-322.6741467164,578.5585736752,640.4030133091,-551.8665896921,-673.4181175988,-602.2902950541,676.0828709957,-451.8243188654,595.8192415925,-352.6884608802
1915,393,-322.124749755,-118.0126547161,123.7253774218,232.4543252949,-75.0557473684,318.647982362,-217.3607317787,350.573494321,225.1325067494,-374.8626592859,-373.0161269729,-316.8816603272,385.766295556,-230.0270926144,327.4191690794,-177.6153852558
1916,502.25,-502.1685140267,4.5236229995,253.732207467,356.7401380217,-156.9236861737,435.713244979,-314.1572174744,464.4501032519,-9.046879031,-502.2296280935,-433.4455322113,-353.5414210871,477.1058784145,-249.8179950481,391.8677139147,-191.1574327336
1917,996.3333333333,-795.5621401679,316.2554601297,671.032784403,808.6334051617,-427.4059051998,911.3869765284,-690.3469883291,948.2479968659,-599.8007937994,-944.8082318911,-736.4747880052,-582.0585255518,900.0023907254,-402.55917593,718.4018003986,-305.7872586469
1918,326.9166666667,-95.6051551129,194.447407181,265.5897077101,291.9268788088,-176.1289254604,311.207494198,-246.7247908501,318.0489499079,-312.624633163,-262.8016605447,-190.621651716,-147.150278197,275.4144305599,-100.1219381527,214.4793335602,-75.6265324271
1919,422.0833333333,137.2591578836,343.5761510697,386.5622321885,401.9776780961,-270.1540031281,413.1076226485,-342.0761486726,417.0266289904,-399.1419094192,-245.1729362998,-169.4815061391,-128.717856532,324.3010250856,-86.5819403076,247.2614987965,-65.1393198512
1920,364.9166666667,298.7727661021,347.9880281762,357.3601488704,360.6596767682,-266.8476261548,363.0226218409,-313.7089570636,363.8508627573,-209.5209007398,-109.8567515321,-73.8775853048,-55.5767142298,248.9106627421,-37.1315181876,186.4158358863,-27.8697556841
1921,313.5,313.4577333205,313.489433152,313.4953036085,313.4973582769,-254.2306413898,313.4988258999,-282.772052509,313.4993395685,5.1477588903,2.5739662034,1.7159881799,1.2869939466,183.4367220012,0.8579973033,135.3595815591,0.6434983289
1922,438.4166666667,350.4912019227,415.8547571293,428.3407777807,432.7394308641,-384.8656578281,435.8904160469,-410.8142514326,436.9950528472,263.3725327097,138.830812805,93.4524034009,70.3260875246,209.9704718185,46.9970085171,153.1039660851,35.2774346887
1923,666.3333333333,195.8804688762,535.9672550036,607.2914368823,632.9032148343,-620.3123179144,651.405648791,-642.7186686978,657.9227233988,636.8916336583,395.9030344352,274.2211184436,208.4073697437,243.3366790164,140.252600098,175.8204311746,105.5357813568
1924,494.5833333333,-160.0906657157,287.6060661094,398.6223662563,439.805548211,-479.4232392659,469.9811976321,-486.8290980821,480.6938566613,467.9568915635,402.3623048301,292.7676258252,226.2382668204,121.5155597564,154.0465756952,87.2359035699,116.3876702198
