Year,annual_Mean_jharkhand,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1946,1274.4166666667,-1274.3710851353,-5.3893349932,640.317340174,-899.2412306885,1032.2903780141,-1104.5743366907,285.0853877738,-488.9426492619,-10.7785736069,1274.4052712329,-1101.8763742591,-903.0520745271,-747.3382204446,635.6519291265,-1242.1208322686,1176.8912124791
1947,1066,-857.2837396259,-333.5352556768,715.439875334,-624.8229418998,934.9776615049,-974.4267307258,330.5907155952,-484.9199644966,-633.5776114834,1012.4772754095,-790.2542532515,-863.6852964337,-512.0280973606,432.2598135924,-1013.442538461,949.3200872375
1948,1188.5,-358.4155881998,-702.3372848655,963.3345621591,-537.4962264692,1105.7223370803,-1130.8084225735,468.3309457493,-621.9798971194,-1133.1683529535,958.7776532063,-696.0738260772,-1060.0141775143,-435.7870618568,365.7930582132,-1092.3362006514,1012.7552802032
1949,1188.1666666667,375.6308250554,-963.8599621006,1086.649391516,-365.0436614128,1151.2802856269,-1162.5103468638,564.155978187,-699.2879655082,-1127.227355526,694.7762238572,-480.5550204667,-1130.700293199,-293.757947475,245.5803762772,-1045.690231404,960.5916765584
1950,1163.9166666667,946.5185842423,-1108.2352553619,1139.0584905693,-180.0118366125,1154.947230168,-1157.6854426886,642.1946962378,-756.697836033,-677.3511472112,355.6917566061,-239.2650455174,-1149.9120599524,-144.2182459744,120.2764429609,-970.7151894704,884.3700537035
1951,1061.3333333333,1061.308323325,-1061.3270808128,1061.3305544338,1.8215389673,1061.3323329292,-1061.3326386082,662.5439840316,-751.1197322892,7.286102214,-3.6430725691,2.4287176957,-1061.331770202,1.4572314314,-1.2143596427,-829.1344364263,749.831709259
1952,1144,921.093554874,-1086.8456713756,1118.4791553791,180.8100549559,1134.790514492,-1137.6018973599,791.3486402599,-870.5121202113,678.4708270587,-357.0749033636,240.2922782415,-1129.621053286,144.8671398865,-120.8218652528,-826.1375972312,742.2564574089
1953,1233.4166666667,373.8335722254,-995.5925954309,1125.7382805315,382.972696936,1194.2836117711,-1206.1967151181,929.572548438,-998.4191456724,1175.3999888925,-728.0879462911,504.0138860757,-1172.4540873795,308.2260992617,-257.6939231908,-810.6858521041,724.2070720216
1954,857.1666666667,-269.6919270766,-501.7787183039,692.4685932864,390.2734317576,796.5999125375,-814.9526643687,693.8874941633,-731.1853633083,813.6344135508,-694.9480644637,505.1949542072,-763.1653444101,316.4858192554,-265.6818572709,-503.2443143129,447.3283569461
1955,883.6666666667,-717.7941504041,-270.7175775023,590.0635357967,520.4049761764,773.8864923182,-806.934401168,758.9443433298,-787.6329438236,515.4011403009,-841.1770152644,657.7931297155,-714.1746554931,426.5752861868,-360.171695153,-452.6259620322,400.6259147654
