Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1892,2116.75,1680.0024914069,-2004.5917085763,2066.6541873715,-344.5366913488,911.0850790154,-2104.1887764194,2107.5189212386,-1369.5496561073,1287.7197642991,-679.8842875131,457.7892881226,2088.5222121908,-1910.6424420324,-230.2610598661,197.470400621,-1613.990180254
1893,2090.25,595.3464844289,-1675.3459421232,1902.2891959053,-658.5033056018,1128.941787225,-2042.7193951007,2055.2942689828,-1223.2556004298,2003.6735327838,-1249.9444134486,866.2799072137,1983.8141190675,-1759.1576119147,-443.2183833953,380.6711578072,-1694.9309126089
1894,2476.5,-823.9674652845,-1430.4713947198,1991.3202638609,-1138.088274471,1588.1097333089,-2352.0795993601,2384.8837682602,-1287.3571062982,2335.4078586304,-2021.5844872002,1472.3097013662,2199.5016093451,-1900.2525424189,-775.0959993925,667.3692095754,-2115.6001349177
1895,2222.5,-1829.7590038899,-660.6310861043,1473.4924598807,-1317.4319073738,1627.6295743425,-2026.6158049918,2078.0131652166,-1002.8743280845,1261.5420078951,-2122.0444901257,1663.8287834614,1789.9383842561,-1513.3830376761,-912.3237522708,788.2686947905,-1983.3681786469
1896,1371,-1370.5924263015,16.7150163134,675.8268040237,-975.3351442878,1113.0791271174,-1184.5251260139,1233.1486694845,-520.7957935609,-33.4275479973,-1370.8981027887,1192.8533568562,963.5156232865,-800.434792332,-690.3196548279,599.1538691761,-1268.2321323044
1897,2310.5,-1836.0124796176,740.372681777,696.3334867381,-1877.3706788013,2030.0405910429,-1863.7715486492,1979.3600498236,-707.3702342584,-1402.6647584823,-2188.6659274723,2203.0728370272,1346.807181588,-1103.3337884423,-1365.5643025672,1191.8657823608,-2199.5539551657
1898,1771.75,-507.3353558322,1058.3540631103,171.2447600945,-1583.3882773685,1650.4106032638,-1311.964360453,1429.8346804103,-408.4910538019,-1697.5596894432,-1420.9098281024,1763.4549312756,794.9714621244,-644.3934381527,-1190.7340506601,1046.2651906644,-1724.0165664702
1899,1536,508.7418851359,1253.140761361,-172.4804827068,-1463.5778437532,1489.5172910922,-1023.3195929333,1153.3288852296,-235.8393860184,-1449.302485442,-888.2196981691,1526.2851906132,466.0857166603,-375.0123191807,-1145.4750153185,1014.4596997886,-1517.786475102
1900,1912.75,1573.0141738393,1825.8416447643,-605.0680713204,-1890.8980893378,1898.755166242,-1118.3176223868,1317.2585431158,-144.563553704,-1088.2274447011,-570.01302682,1814.5261617206,288.3001530325,-230.9575310948,-1551.7661737385,1386.8822924418,-1907.2791986074
1901,1692.5,1692.0604271327,1692.3901032153,-857.3610694299,-1692.4725255808,1692.4824163546,-840.6761088522,1050.9424713071,4.8218489428,38.5715041384,19.2870044058,1459.2766175835,-9.6436587488,7.7149420276,-1468.9519835601,1326.6786242353,-1692.4931313813
1902,1815,1444.0220983108,1719.7565392279,-1224.5418477316,-1791.0308649907,1799.6475623728,-732.011457003,995.0098559514,147.4855586861,1099.5568105333,580.2262022548,1339.6724462174,-293.9956473329,235.570904922,-1660.8384108084,1517.9526957582,-1808.9977915904
1903,1501.25,432.1687888212,1204.6877098896,-1221.0200776105,-1425.1822667595,1452.4169390557,-458.6366595613,707.2077427846,238.9525941764,1437.7001427519,895.8119691883,873.4194482446,-471.8125358807,379.7849360417,-1429.4768193316,1324.2389403146,-1482.1110687922
1904,2026.75,-668.2376894684,1173.3211038267,-1857.4793635633,-1800.7976162913,1881.1481739206,-414.1673951424,790.7460729217,478.5127969457,1913.4194398704,1652.5837799685,810.8550896656,-929.969627278,754.3189711622,-1983.9810813869,1866.1286693738,-1969.4519708942
1905,864.25,-709.9609904997,258.2094851672,-846.6311188318,-696.4501454001,755.5492532126,-87.2557105571,264.5400606565,269.2777602569,492.8320753245,824.7762874075,173.6197313835,-511.7472593694,419.6109966027,-859.833997627,822.7676578523,-821.2292921779
1906,2115,-2114.5247806283,-22.4175040001,-2114.9471960898,-1487.5839436885,1705.7848099276,7.4726257097,464.3850953776,814.5504769806,-44.8324894349,2114.8811918201,-14.9451581368,-1503.4357354008,1250.4092059083,-2114.9867989813,2063.3883500668,-1951.8536114296
1907,1107.5,-882.1994012556,-353.2141086575,-1081.6695818129,-646.2861690698,804.1596801776,119.5976340532,145.3889978656,505.3683398053,-669.5375018805,1049.664729066,-237.7964797486,-899.3722464414,761.5007936809,-1101.0234583917,1097.9154290289,-985.4740438603
