Year,Mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1920,1044,854.7671189146,995.5683984907,1022.3813530596,1031.8210620123,-763.4316191977,1038.5812757301,-897.4984731886,1040.9508126566,-599.4240339045,-314.2921633235,-211.358389746,-159.0009307766,712.1152735402,-106.2305685897,533.322126509,-79.7333407652
1921,1793.75,1793.5081631375,1793.6895397654,1793.7231287008,1793.7348848777,-1454.629068558,1793.7432821626,-1617.9341919873,1793.7462212154,29.4538836027,14.7274382052,9.8183534219,7.3637811538,1049.568166155,4.9091950966,774.485644088,3.6818983334
1922,1453.25,1161.7973902926,1378.4624804366,1419.8507553158,1434.431274442,-1275.7407730211,1444.8760626197,-1361.7543681303,1448.5376785025,873.0191214454,460.1920822099,309.7731349377,233.1147387077,696.0036225132,155.7842295249,507.5042890244,116.9365488571
1923,1495.5,439.6286761445,1202.9099997868,1362.9880097913,1420.470371863,-1392.2117130181,1461.9967200105,-1442.4999035081,1476.6234609949,1429.4218681381,888.5537588762,615.4542510742,467.7437040297,546.1380742406,314.7790346872,394.6064854752,236.8615723148
1924,1665.5,-539.1022822233,968.5079759499,1342.3532623418,1481.0368469327,-1614.4486705928,1582.6527743681,-1639.3877597758,1618.7274505868,1575.8359620537,1354.9474345972,985.8894304537,761.8530750924,409.2013441096,518.7489236469,293.7652516845,391.9332732964
1925,1752.5,-1433.2417711717,528.9140034172,1166.0608907254,1413.8914457957,-1739.3384276111,1599.1838482483,-1745.7807879838,1665.6982032705,1008.5010041486,1670.7801252676,1308.2653588324,1035.4550832874,214.3783669949,716.8453595455,153.3156557786,544.7070273289
1926,1373,-1372.8490548057,-10.1795813209,680.6144000894,967.2518893355,-1372.993962086,1187.3526374508,-1372.9969194305,1267.5105214667,-20.3586030716,1372.9622631828,1192.4315654959,974.4499897772,-4.0718638647,689.4365194408,-2.9084762773,527.7746469575
1927,1818.25,-1455.3335974281,-574.4008830845,553.4998576174,1063.3975401588,-1803.243639755,1468.406309339,-1810.5885255423,1618.5727725212,-1089.9711843426,1725.1367157451,1731.9558222188,1474.8622763106,-233.1210805207,1072.2947231026,-166.7400781889,828.4052405394
1928,1956.75,-578.1992678426,-1161.3524755967,195.3282435895,882.1547783343,-1893.8863026018,1451.0477426921,-1924.5919353199,1666.5873701978,-1869.3732022168,1574.8431635962,1946.9764866984,1746.6177342401,-492.0012554023,1312.7570266154,-353.2937092585,1025.3570597588
1929,1525.5,491.4865505966,-1240.3453113821,-166.4721030591,466.3708167792,-1416.8104537417,1018.1348281989,-1469.7181543455,1232.5986635959,-1444.1576162534,888.0843194947,1516.389557107,1452.4629121794,-565.5071955052,1136.024525091,-408.7527330641,898.8051983059
1930,1541.25,1259.0616460506,-1469.0099258473,-482.8902347404,235.9449239631,-1348.5898973615,903.1049186574,-1441.9206629629,1170.2781029649,-888.9405682858,466.3275675555,1463.6490643909,1523.0829115173,-746.1614109793,1248.9407785787,-544.3494872054,1002.9460225859
1931,2106.5,2106.3154900044,-2106.4538719961,-1061.2882839403,-6.9702453447,-1700.9107196103,1049.223160219,-1896.159367678,1487.0540387258,27.8802182118,-13.9404143722,1819.6179347245,2106.4884679675,-1242.6765363178,1826.6014918586,-917.5630236485,1491.9827532211
1932,1827.75,1464.68059069,-1734.6094678823,-1228.8405076887,-291.7512704155,-1329.1356192698,739.8164720294,-1567.2972213405,1184.7830345675,1093.3347290542,-576.0208819419,1353.0044601418,1804.3146229832,-1254.6188935642,1671.3293063349,-940.3454059431,1391.7468244983
1933,2031.5,603.3773512377,-1635.9635293978,-1648.51814055,-633.8502741296,-1290.9786002141,623.7097271459,-1641.3662387643,1191.4959962387,1939.8268020659,-1204.4150366382,1187.1731930421,1930.0844748316,-1568.555546925,1933.3852244867,-1197.0418205913,1645.3964692278
1934,1893,-607.0330259569,-1103.2532533067,-1732.478757813,-864.5781027445,-1010.3915724212,389.786294949,-1423.3771466051,986.6110306257,1793.0309270611,-1538.2721667729,762.867192719,1684.029009327,-1600.7991349261,1852.4350580439,-1247.9769623364,1615.5641968822
1935,1828,-1491.6293498679,-554.4752241721,-1789.5549815382,-1078.8890791489,-774.365369989,187.4533191868,-1261.0028962125,827.4583866624,1056.7052013748,-1741.8786484079,372.9302455581,1475.6633609646,-1655.8811170376,1818.3633446388,-1323.4257424366,1629.9989626813
1936,1760.75,-1760.6306569529,10.2502017106,-1760.7367395283,-1248.6569995723,-540.2007707151,-3.4167510583,-1095.5184437744,671.4416394978,-20.5000560407,-1760.7201639854,-6.8334892505,1241.4089817296,-1675.8352215593,1760.746684879,-1378.4338583517,1627.6998148456
1937,1488,-1193.835597484,467.8229531264,-1454.3054296781,-1206.2886375682,-275.5121987984,-158.331172924,-817.7245921235,457.8135577386,-888.2007465546,-1412.545816789,-314.8646013904,871.2127885161,-1462.2711883619,1479.552378147,-1243.1695344708,1415.8215799848
