Year,Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1909,6165.25,2023.4657094293,-5024.2153381179,-4963.2257005402,-1875.4684680325,3282.4037660757,1924.9390006238,-294.4131267319,3636.4526389026,-5823.7354065294,3573.1733513392,-3657.4168764304,-5873.0678174116,5218.8248752906,-5857.0399867491,6158.216338625,-4978.6062073153
1910,5267.75,4322.5427278163,-5025.896164713,-3498.7352446517,-798.1307978123,2223.8871240513,2158.5559382937,-721.9628689609,3431.095783589,-3010.7830258427,1577.8332624276,-3938.025107885,-5206.9354991284,4775.3027256897,-4805.1874389827,5218.0417474702,-3997.0954187182
1911,4282,4281.1770085685,-4281.7942471989,-2116.7189307713,20.9884908288,1307.2315810713,2153.1063069943,-964.5236563792,3035.2427182788,83.9489208064,-41.9764773994,-3722.2338680038,-4281.9485614908,4077.58134112,-3701.3048011183,4171.9561498517,-3020.4015695162
1912,5142.75,4101.4980958687,-4875.4926363922,-1557.7186844008,828.9866725992,944.1610630971,3036.1916769448,-1602.6678844592,3918.6189386702,3102.513647365,-1636.2912683828,-4901.162113496,-5075.4959027816,5055.3375208221,-4150.8333697405,4886.6484644,-3330.5109481873
1913,5210.75,1515.9199119731,-4186.3465721207,-511.8934763006,1633.693692499,307.4535797008,3498.8974428287,-2060.9319201533,4222.8358345245,4985.3688311883,-3102.6469249003,-5185.5453552564,-4948.0259176351,5201.6716408121,-3861.2992951941,4785.8620104422,-3052.7975820803
1914,7601,-2483.2476603411,-4410.2174285259,841.5010755324,3482.322380666,-505.5642547771,5664.4263025977,-3619.6967495141,6490.1592205216,7183.918294177,-6190.7336587134,-7554.2754079976,-6756.3771236598,7584.1681010043,-5068.4786339137,6683.7860858616,-3956.3915746901
1915,5682.75,-4657.8992917822,-1706.4539785949,1789.0595128333,3361.2717991588,-1085.3003775001,4607.6255006811,-3143.0195890973,5069.2659665463,3255.3988619085,-5420.4854378033,-5393.7847215143,-4582.0846188913,5578.1511859305,-3326.1741998839,4734.4561910583,-2568.3049123722
1916,7192.25,-7191.0831159953,64.7785515542,3633.4603666584,5108.5400849908,-2247.1565592495,6239.4396937786,-4498.7501192244,6650.9532207337,-129.5518481055,-7191.9582730824,-6206.9659114919,-5062.7342674233,6832.1846770065,-3577.4086110201,5611.5690699909,-2737.3858548098
1917,6490.75,-5182.7985560006,2060.2895227539,4371.5350070568,5267.9531025966,-2784.3943250341,5937.3553207448,-4497.3600346245,6177.4914877796,-3907.48444532,-6155.0826675952,-4797.8659052309,-3791.9000080886,5863.1888768159,-2622.5269031457,4680.1269514258,-1992.0929900259
1918,2629.25,-768.9111009349,1563.856778987,2136.0236726894,2347.8422006868,-1416.5291173082,2502.9078892279,-1984.3012684452,2557.9307719968,-2514.3053277912,-2113.6006096982,-1533.0878749147,-1183.4663337731,2215.0396886553,-805.2376422775,1724.9649383529,-608.2316402261
