Year,Mean_wmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1939,2075.75,662.5037169686,1685.812883003,-1674.9598023829,-1975.8623629182,134.7652671671,-644.9574608855,-812.9065774705,321.9796287598,-1967.1875577847,-1211.1040359941,-1226.0700318096,636.1650613664,-2071.3706537618,1973.0098672202,-1909.9531300022,2050.6260461537
1940,2460.25,2005.2713019814,2343.7468702059,-1639.8995012731,-2430.9497423768,466.0155491207,-1004.556448014,-756.7922815535,189.8498865122,-1425.3831302319,-748.1180862004,-1834.0010055135,378.5675798824,-2415.7109865375,2245.8175360553,-2340.9603809294,2452.9139983072
1941,1798.25,1798.1591795332,1798.22729474,-893.9026966681,-1798.244323676,559.1264016108,-901.7323711104,-397.6307131668,-2.2591424902,18.0728404141,9.0365343051,-1560.3336282313,-4.5182814149,-1709.1169443668,1555.8219028513,-1753.7368327222,1798.2485809185
1942,2839,2280.4509404258,2695.7486177191,-868.5357971576,-2802.958376939,1213.7849725563,-1672.4454956544,-377.1766246208,-226.1881604664,1690.9951236804,890.4270829583,-2702.8811607349,-450.9382852983,-2566.446383698,2294.0895937311,-2813.8334694576,2829.9752500799
1943,2152.5,645.8593722629,1735.4348948889,-218.279344556,-2045.5781409235,1156.7867229118,-1442.8114847136,-93.6797717447,-339.2265479456,2053.3197318636,1273.3899542568,-2141.4038334093,-669.9748647344,-1815.2412312679,1597.3575897646,-2150.460497281,2125.6014676249
1944,3127.25,-993.3827773235,1826.6275307401,336.3137712623,-2783.1648808512,1997.7638224246,-2327.1688597607,144.3624384743,-733.498530625,2965.2796192294,2538.3310316904,-3109.1133156833,-1426.073563494,-2405.9576622026,2089.0135616267,-3123.9161398568,3040.0119190673
1945,2515.75,-2048.1836291492,766.9028939402,784.4056060638,-2032.0351889092,1836.9228123362,-2037.4452711613,340.8226604709,-780.0338249082,1460.8017948322,2396.0087674644,-2390.3359403389,-1483.182744484,-1718.9277599768,1475.7421283959,-2492.5565142258,2391.7661454455
1946,2753.5,-2753.4015167095,-11.644177522,1383.4673088359,-1942.8973219387,2230.3628241903,-2386.5392815623,615.954448625,-1056.4077039765,-23.2881468069,2753.4753790673,-2380.7100737768,-1951.1310172317,-1614.6962322585,1373.3872387496,-2683.7217380383,2542.7868595262
1947,2583.5,-2077.666549084,-808.3380234906,1733.9014239451,-1514.2871204484,2265.9613400544,-2361.5679726362,801.2017952534,-1175.2258238997,-1535.5044646035,2453.7852167171,-1915.2175077628,-2093.1810162631,-1240.9236299543,1047.6015275948,-2456.1245760919,2300.7208680845
1948,2916.75,-879.6034218611,-1723.636748533,2364.1616189967,-1319.0930740885,2713.601705241,-2775.1665683981,1149.3515237815,-1526.4281572764,-2780.9581770948,2352.9783087837,-1708.2653194873,-2601.4273052292,-1069.484150333,897.7087947357,-2680.7502004628,2485.4471716723
1949,2084.5,659.0005230702,-1690.9800176732,1906.3997671048,-640.4265778215,2019.7871415816,-2039.4889757645,989.745941813,-1226.8192712317,-1977.5890777897,1218.9039461049,-843.0778006701,-1983.6819423536,-515.3640972183,430.8421610462,-1834.5416922667,1685.2461914315
1950,2097.5,1705.725837,-1997.1562524134,2052.7029575163,-324.4002239233,2081.336133982,-2086.2706803517,1157.3022484646,-1363.6489248192,-1220.6578631994,640.993879414,-431.1807256871,-2072.2622287535,-259.8964166374,216.7507746349,-1749.3306593377,1593.7276617539
1951,1486,1485.9649828464,-1485.9912456858,1485.9961091916,2.5503833908,1485.9985993086,-1485.9990272976,927.6448118131,-1051.6619869803,10.2014584391,-5.1007592691,3.4005098892,-1485.9978114199,2.0403070732,-1.7002560576,-1160.8923736145,1049.8585929261
1952,2111.5,1700.0778331437,-2006.0092964245,2064.3957487613,333.7241530064,2094.5018980332,-2099.6909145764,1460.6054667034,-1606.7188302676,1252.2649924251,-659.0591420036,443.5114908278,-2084.9605367249,267.3837114251,-223.0029444767,-1524.8160284559,1369.9952008907
1953,1945.25,589.5815874912,-1570.1721474996,1775.4279226029,603.9951128016,1883.5323525149,-1902.3207837985,1466.0504018774,-1574.6299653692,1853.7505533894,-1148.2843679666,794.8919763979,-1849.1045038645,486.1105219286,-406.4150563504,-1278.551438799,1142.1637512465
1954,2564,-806.7160424161,-1500.9457130831,2071.3468479717,1167.4054976003,2382.8296819903,-2437.727355366,2075.5911355645,-2187.1583957098,2433.7841372867,-2078.7635667332,1511.1645295592,-2282.8185219532,946.6882837692,-794.7209201351,-1505.3296775013,1338.0710564377
1955,2397,-1947.0606320467,-734.338023319,1600.5835103409,1411.6303974668,2099.2145478158,-2188.8590263294,2058.6830527666,-2136.5026401491,1398.0571859312,-2281.7442160567,1784.304185509,-1937.2425302341,1157.1116118329,-976.9878007716,-1227.7756669082,1086.7223512177
1956,2231.25,-2231.2189871573,5.8820661916,1112.2272623763,1579.8102611849,1803.7352070505,-1931.3380907647,2011.0153978656,-2061.9685021562,-11.7640915049,-2231.2422467759,1934.276887968,-1575.6510086802,1313.3985934767,-1117.322577263,-966.5886571067,852.503641409
1957,1954.5,-1575.5131477041,608.5761262211,600.9033813016,1582.6452996011,1423.4428675607,-1580.2746452364,1830.3566194576,-1859.2136090388,-1156.6453957077,-1857.3382429148,1859.8347712473,-1146.8670828176,1339.3582988844,-1150.1314253697,-685.4669179528,602.8225327282
1958,2575.75,-784.5867851966,1518.8134596668,265.2808072899,2296.3636287876,1640.0042134264,-1912.8231886242,2483.3805613871,-2504.9298073349,-2453.3470278366,-2080.3109712817,2562.0527230687,-1166.7056813446,1986.1707485621,-1724.9914526053,-683.6000656997,599.8455824837
1959,2630.75,823.7395841605,2131.6541081435,-278.752752695,2502.8678158763,1407.7080828825,-1758.90829186,2588.7619576688,-2598.5827934777,-2498.4592572198,-1541.7186272906,2615.940072969,-810.2458014397,2222.4318922944,-1956.2942476341,-468.1421675374,410.1378157909
1960,2011.5,1632.0520018022,1914.2890131358,-624.1367958838,1987.0486405625,854.9993338686,-1181.2453354574,2003.504956353,-2005.3778435112,-1175.8139790858,-617.7619478306,1912.2200474903,-312.6818671408,1820.7439109014,-1628.1252124638,-179.1651190073,156.8182220096
1961,3169.75,3169.7285394299,3169.7446348529,-1588.2409203767,3169.748658713,977.2877237927,-1583.1911453037,3169.7495620287,-3169.7496646782,11.6639969078,5.8320083252,2743.137955215,2.9160053965,3015.3314523323,-2746.0555092591,1.6662889563,-1.4580028525
1962,2059.5,1662.0921405901,1957.6285415708,-1379.7884299155,2033.872689153,384.551749808,-836.6199790195,2051.1201748894,-2053.0831757762,1216.1373138708,639.7114531001,1528.9617845686,323.88598969,2023.279565883,-1881.9158484655,185.5970855416,-162.4491407939
1963,2087,638.8761107748,1686.5502428311,-1689.6617794055,1984.3637968866,129.7762601255,-643.9118209742,2053.2988762044,-2061.1812443478,1986.8080720294,1229.2751028173,1224.994722934,646.4281256302,2082.9611427744,-1985.1817465435,373.5407942618,-327.2627047936
1964,2266.75,-706.3345173709,1329.8631123634,-2071.6155229122,2018.9877132427,-143.5629682974,-470.2770863751,2184.827963407,-2203.9391962453,2153.8911560407,1835.6523812735,920.0894998473,1030.4582360655,2262.1992035702,-2217.4298240374,603.8893382194,-529.9128058026
1965,1580.25,-1280.6799047049,486.5160033802,-1545.9807119778,1277.8902489732,-296.8561328378,-164.5509683914,1479.2942423286,-1502.7601485999,925.7694335984,1503.49334583,327.3128483465,929.6163585475,1552.1167800448,-1571.6593273676,555.7684833754,-488.7760205657
1966,1518.75,-1518.7466920497,-1.584921051,-1518.7496324499,1073.3579234472,-469.9224592077,0.5283071022,1368.149929707,-1402.9903614664,-3.1698403759,1518.7491730122,-1.0566141405,1074.4786320226,1444.2210512357,-1518.7499081125,659.3688894259,-581.566512217
1967,2193,-1771.8917356233,-679.5183675877,-2144.8085164474,1288.2284773828,-934.4358128913,229.8737951907,1882.2939571673,-1953.7571562122,-1292.1488603214,2085.0668545903,-457.2148595295,1774.7440350822,1983.9553199571,-2180.9188518339,1125.2637285595,-996.0331192032
