Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1899,4003.75,1326.0907048262,3266.4468250645,-449.5890186442,-3814.973822869,3882.5877957099,-2667.3931121137,3006.2763829674,-614.7408475073,-3777.7635586513,-2315.2406357712,3978.4272994256,1214.9027917179,-977.5101386197,-2985.8044222535,2644.2988431175,-3956.2744789645
1900,8729,7178.5861839985,8332.3862068474,-2761.2804572244,-8629.2769163926,8665.1333661619,-5103.5391587059,6011.4232507424,-659.72827619,-4966.2200312619,-2601.3037308125,8280.7470216491,1315.6826745893,-1053.9946615745,-7081.6190984517,6329.1572504113,-8704.0335248433
1901,7009.75,7007.9294411187,7009.2948455027,-3550.8932091204,-7009.6362104521,7009.6771746184,-3481.7898694399,4352.6404657283,19.9704316848,159.7498381884,79.8801058397,6043.8193619534,-39.9407012788,31.952623266,-6083.8913836101,5494.6443050124,-7009.7215525553
1902,8770.5,6977.8489329115,8310.2615577399,-5917.2695732945,-8654.6755930583,8696.313468755,-3537.2487513193,4808.1178741718,712.6843484609,5313.3129513954,2803.7872765154,6473.6072669697,-1420.6549999634,1138.3331248587,-8025.5555272697,7335.0986876844,-8741.4959400242
1903,7597.5,2187.1123217782,6096.662698342,-6179.3172620457,-7212.5377330262,7350.3664909078,-2321.0604636252,3579.0246966237,1209.2871502115,7275.8879830524,4533.5096991895,4420.1860170116,-2387.7407103104,1922.0090268622,-7234.271530306,6701.685494781,-7500.6420284089
1904,7296.25,-2405.6391966368,4223.9270278994,-6686.8798847409,-6482.8269929025,6772.0870181167,-1490.9924049873,2846.6663547824,1722.6342640757,6888.2627794027,5949.2608385816,2919.05831897,-3347.8677158147,2715.5296871062,-7142.2829481035,6718.0171722801,-7089.9785087638
1905,6060.5,-4978.5578049446,1810.6781427318,-5936.9486788313,-4883.8138341887,5298.2426949317,-611.8753067182,1855.0709142134,1888.2937414369,3455.9546340808,5783.6930168737,1217.4976940115,-3588.596199489,2942.4963204061,-6029.5330548085,5769.6076255877,-5758.8199308583
1906,6387.5,-6386.0647925594,-67.7029819389,-6387.340527198,-4492.6441798158,5151.6314295096,22.5680362744,1402.4869015245,2460.0194665314,-135.3983575724,6387.1411880619,-45.1357908268,-4540.5180897743,3776.3540438483,-6387.4601316751,6231.6279366673,-5894.7824789628
1907,6609,-5264.5199484407,-2107.8032001062,-6454.8571252381,-3856.7090667108,4798.8183533126,713.6982062825,867.6080242832,3015.7827158226,-3995.4612640433,6263.8683470857,-1419.0491509329,-5366.9988051751,4544.2516888823,-6570.3512745019,6551.8041268188,-5880.8107953705
1908,8828.5,-2554.9458355955,-5262.4173599424,-8040.4350673552,-3967.5660415265,5599.4757918291,1865.1315312672,370.180607667,4632.21088965,-8450.7197342696,7088.6794101424,-3646.0685920104,-7886.7504053397,6825.561010402,-8629.2349962829,8820.735715784,-7515.6526345893
