Year,Mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1931,5136.75,5136.3000680181,-5136.6375157729,-2587.9765452317,-16.997107892,-4147.7109608157,2558.5554560905,-4623.8294003892,3626.2163937454,67.986570567,-33.9940296826,4437.1813084244,5136.7218788663,-3030.2960825684,4454.2108774293,-2237.4991035967,3638.2351804456
1932,4896,3923.4447665262,-4646.5041470396,-3291.6991523149,-781.515097773,-3560.3600010641,1981.7488425966,-4198.3242761226,3173.6822526289,2928.7193726983,-1542.9890510123,3624.2975444421,4833.2235776915,-3360.751800241,4476.9953679747,-2518.9063643811,3728.0768446142
1933,4724,1403.0788123294,-3804.229245816,-3833.4234289727,-1473.9397957117,-3002.0097993658,1450.3592178376,-3816.7925729376,2770.6754054795,4510.82540633,-2800.7170234206,2760.6232655332,4488.1708388404,-3647.4803857611,4495.8463206869,-2783.5715286603,3826.1643714654
1934,4997.75,-1602.6409431992,-2912.7226342914,-4573.9544172529,-2282.5912377132,-2667.5565140349,1029.0831778031,-3757.8886077367,2604.7729943528,4733.8195011726,-4061.225420755,2014.0620773435,4446.0411945927,-4226.3042137227,4890.6536245846,-3294.8108100987,4265.2857712457
1935,5716.75,-4664.8096749767,-1734.0242001018,-5596.5199347419,-3374.036730429,-2421.6921383395,586.2274411712,-3943.5658134151,2587.7312538032,3304.6605360829,-5447.4205488434,1166.2740597889,4614.878839603,-5178.4783237554,5686.6130472996,-4138.7823375679,5097.5364167988
1936,5263.5,-5263.1432417274,30.6414520539,-5263.4603597939,-3732.6742111311,-1614.8497837052,-10.2138686328,-3274.8892964966,2007.1748229429,-61.2818656653,-5263.4108096762,-20.4276988045,3711.0073408115,-5009.6599112183,5263.4900899392,-4120.6228104126,4865.7662788244
1937,4356.75,-3495.4591662219,1369.7497654796,-4258.0948795364,-3531.9207135249,-806.6786102923,-463.5815441105,-2394.2349574826,1340.4430226329,-2600.583738274,-4135.8259323222,-921.8994301798,2550.844298634,-4281.4180106825,4332.0160104113,-3639.9051541034,4145.4171159939
1938,6358.75,-1898.2850301281,3765.8320214245,-5799.4797016807,-5673.6093418887,-385.2990000692,-1333.4654118945,-3004.4046440597,1475.9129648738,-6068.7902836473,-5123.6911254401,-2607.6304861489,2871.2120433945,-6347.0659554668,6217.3604976534,-5604.2175454966,6185.0935710479
1939,5242.75,1673.2946463385,4257.8805214327,-4230.4687481357,-4990.4624368009,340.378467754,-1628.9778287643,-2053.1691962102,813.2283264749,-4968.5523635195,-3058.9019316912,-3096.7017508225,1606.7707457442,-5231.6890256579,4983.2578496295,-4823.9945910245,5179.2940881474
1940,4621.75,3767.0410080003,4402.8908027128,-3080.6647779733,-4566.7074369801,875.4424811091,-1887.1288542256,-1421.6867095905,356.6461591252,-2677.6809194795,-1405.3916329221,-3445.2978954301,711.1654150274,-4538.0803788353,4218.9237667975,-4397.6561896394,4607.9688127939
1941,4436.5,4436.2759349361,4436.4439833804,-2205.3659467638,-4436.485995823,1379.4323818971,-2224.6826995307,-981.0030079047,-5.5735774547,44.5878807158,22.2942218517,-3849.5315677176,-11.1471461127,-4216.5979834191,3838.4005961349,-4326.6806386053,4436.4964989544
1942,4230.25,3397.9843574274,4016.7983762262,-1294.1611679908,-4176.5462043135,1808.5994646552,-2492.0262620614,-562.0117704481,-337.0315131429,2519.6661225605,1326.7802633618,-4027.4262170479,-671.9202822765,-3824.1316712358,3418.306623417,-4192.7506284512,4216.8026775803
1943,5393.25,1618.2490403981,4348.2621355909,-546.9152497221,-5125.3492722582,2898.4157924944,-3615.0722601309,-234.721685929,-849.9575283193,5144.7464083034,3190.5739237144,-5365.4477233612,-1678.6722133467,-4548.222889912,4002.2991038317,-5388.1398731524,5325.8537120872
1944,4700,-1492.9727567097,2745.2712109612,505.4519865481,-4182.868315613,3002.4750069216,-3497.5437335919,216.9648927426,-1102.3880706492,4456.5718156137,3814.9031414006,-4672.7420525099,-2143.2714840265,-3615.9568350315,3139.6158732577,-4694.9894819176,4568.8883266819
1945,4823.5,-3927.0252350994,1470.3989303074,1503.9572456916,-3896.0634934725,3521.970460222,-3906.4363571287,653.4664027752,-1495.5751384059,2800.825780532,4593.9176348462,-4583.0410049586,-2843.7372425791,-3295.7360827778,2829.4711940049,-4779.0306454808,4585.78316707
