Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1896,1655.25,-1654.7579238771,20.180547595,815.9462562802,-1177.5517852533,1343.8542853108,-1430.1132128625,1488.8178958163,-628.7726019633,-40.3580954212,-1655.1269763975,1440.1681392679,1163.2817180489,-966.3892706109,-833.4439158672,723.3766899735,-1531.1752275688
1897,2143.5,-1703.3078338284,686.8594864268,646.0033883675,-1741.6767150014,1883.3118402512,-1729.0605126724,1836.2944240627,-656.2424138208,-1301.2819345626,-2030.4719392066,2043.837535671,1249.4616722501,-1023.5862261528,-1266.8630523925,1105.7192402036,-2040.5729941129
1898,1638,-469.0364401598,978.4585609565,158.3174358881,-1463.8577668009,1525.8205549012,-1212.9237321416,1321.8959822278,-377.6539275448,-1569.4103407975,-1313.6448700052,1630.3311287876,734.9588005981,-595.7479620117,-1100.8451389763,967.2822815343,-1593.8699793302
1899,1072,355.0594406678,874.5878230332,-120.3770035558,-1021.4553701194,1039.5589427415,-714.1917992347,804.9274511498,-164.5962381587,-1011.4923596314,-619.9033310139,1065.2198726155,325.2889897525,-261.7273477615,-799.446104441,708.0083321441,-1059.2884774149
1900,1741,1431.7697956629,1661.8953357912,-550.7376877108,-1721.1102201214,1728.2617929302,-1017.9014406355,1198.9790215996,-131.5828764861,-990.513125722,-518.8303122173,1651.5958946834,262.413052636,-210.21934996,-1412.4296998974,1262.3511024133,-1736.0204338128
1901,1493.25,1492.8621759621,1493.1530408427,-756.4280159091,-1493.2257600139,1493.2344863938,-741.7072966284,927.2199972108,4.2541955296,34.0306638432,17.0164368266,1287.4829005652,-8.5083565298,6.8066984831,-1296.0192315811,1170.4950402596,-1493.2439399912
1902,1742,1385.9429725936,1650.5872679531,-1175.2903023407,-1718.9949128451,1727.2650433352,-702.5696738838,954.9901757947,141.5536326343,1055.3322115422,556.8892806214,1285.7903037525,-282.1710290105,226.0961522723,-1594.0388493819,1456.9000528985,-1736.2392027276
1903,2040,587.2601693225,1637.0111095252,-1659.2046350212,-1936.6340211087,1973.6423351697,-623.2265015854,961.0016954409,324.7049406294,1953.6441573448,1217.2898698712,1186.8613984473,-641.1307731534,516.0774484763,-1942.4697494997,1799.4654043242,-2013.9927262855
1904,1421.75,-468.7637523136,823.0759982068,-1303.0079117534,-1263.2460890402,1319.6114055861,-290.535336891,554.7024690645,335.6731560664,1342.2494578195,1159.2751889331,568.808794243,-652.3667534637,529.1491290243,-1391.7479227639,1309.0753352324,-1381.5558601795
1905,1373,-1127.8871159457,410.2072584722,-1345.0095761134,-1106.4229674682,1200.3113967727,-138.6197172055,420.2643948874,427.7909919962,782.9429440794,1310.2896645768,275.8228419896,-812.9927533864,666.6194947476,-1365.9844706298,1307.0986337649,-1304.6546926934
1906,1791.75,-1791.3474116741,-18.9912826441,-1791.7052664747,-1260.2262558411,1445.0779825947,6.330532915,393.409926545,690.0571239386,-37.9804316525,1791.6493500916,-12.6609868045,-1273.6553091747,1059.3005648634,-1791.7388165838,1748.0265135849,-1653.5383963494
