Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1916,2653.5,-2653.0694912292,23.8993203169,1340.5244649349,1884.7385888315,-829.0632180428,2301.9713201629,-1659.7634177569,2453.7946221581,-47.7967018594,-2653.3923706245,-2289.9904822752,-1867.839046002,2520.6579360335,-1319.8447981288,2070.3254930266,-1009.9278203257
1917,3256.25,-2600.0828560609,1033.5966966017,2193.0918409627,2642.8028025005,-1396.8623072668,2978.6254690406,-2256.2151697024,3099.0958913966,-1960.2890613679,-3087.8539361949,-2406.9715909422,-1902.3031855084,2941.4179840746,-1315.6573937324,2347.9048469869,-999.3841695909
1918,3119,-912.1360554592,1855.1561447791,2533.9004792691,2785.174412453,-1680.3857818329,2969.1241633553,-2353.9167657243,3034.3961501789,-2982.6446010766,-2507.3006757245,-1818.655921597,-1403.9104288441,2627.634796583,-955.2291361657,2046.2738966331,-721.5268558963
1919,3468.75,1128.0182521039,2823.5651112101,3176.8317699603,3303.5184305533,-2220.169867761,3394.9861387456,-2811.2378457051,3427.1931750692,-3280.21361887,-2014.8713669258,-1392.8267903337,-1057.8244379362,2665.1589672637,-711.5445736039,2032.0355157761,-535.3256048978
1920,2580,2112.3555237545,2460.3127089139,2526.5746081358,2549.9026245131,-1886.6413577874,2566.6088997927,-2217.9559969604,2572.4646519674,-1481.3352562009,-776.6990243052,-522.3224574183,-392.9333346778,1759.8251012775,-262.5238189286,1317.9799678097,-197.0421639601
1921,2903.25,2902.8585781903,2903.1521428984,2903.2065078191,2903.2255356215,-2354.3703655978,2903.2391269344,-2618.6856824458,2903.2438838989,47.672188192,23.8368975438,15.8913642214,11.9185492041,1698.7644757573,7.9457118685,1253.533349797,5.9592871561
1922,2845,2274.4287461775,2698.5898894492,2779.6149312737,2808.1589374075,-2497.4935484226,2828.6065013955,-2665.8807344439,2835.7747774572,1709.0929988042,900.9093231633,606.4369990696,456.3643087036,1362.5531092723,304.9758355398,993.5315343365,228.9244668834
1923,2851.75,838.3223518523,2293.813836103,2599.0645649764,2708.676952832,-2654.790874356,2787.8630199197,-2750.6847875823,2815.7545669624,2725.7464476515,1694.3719036276,1173.6019127388,891.9345422713,1041.4237734641,600.2481525705,752.4701069568,451.6683308919
1924,2374,-768.4351954356,1380.5091173252,1913.3873580303,2111.0666314129,-2301.2315484763,2255.909748634,-2336.7796707942,2307.3305119742,2246.1930795049,1931.3390631844,1405.284603961,1085.9436807381,583.2746868305,739.423563337,418.7323371354,558.6608170553
1925,4029.75,-3295.6382467213,1216.2004024368,2681.2746786879,3251.1435399118,-3999.4858936752,3677.2103352231,-4014.2996464351,3830.1553977913,2318.9768453453,3841.8409185718,3008.2638115576,2380.9558470056,492.9479169173,1648.33528538,352.5385243217,1252.5153457225
1926,2818.75,-2818.440111605,-20.8985395837,1397.2919448302,1985.7547436741,-2818.7376042462,2437.6185337323,-2818.7436756335,2602.1815603673,-41.7959303774,2818.6725268366,2448.0455027251,2000.5323442713,-8.3594801664,1415.4036337755,-5.9710615488,1083.5140466945
1927,3156.25,-2526.2734315316,-997.0866422304,960.8051288904,1845.9224452778,-3130.2008733545,2548.9659913934,-3142.950657909,2809.6358109556,-1892.0509009109,2994.617219343,3006.454318096,2560.1727263058,-404.6684506494,1861.3668196301,-289.4395004997,1438.0057970315
1928,2665.75,-787.7013917217,-1582.1517116759,266.1026014303,1201.7907756968,-2580.1085530398,1976.813859758,-2621.9399267045,2270.4511471086,-2546.7134860403,2145.4647570494,2652.4351958176,2379.4793535457,-670.2707788878,1788.4155071931,-481.3045639227,1396.8803281216
1929,3885,1251.6717463572,-3158.7948441295,-423.9555033658,1187.7093563994,-3608.1996806205,2592.890073781,-3742.9400390902,3139.0664097476,-3677.8448634182,2261.6896632167,3861.7983804396,3698.9960103684,-1440.1805667242,2893.1204719624,-1040.9730370068,2288.9925895892
1930,2862.5,2338.4032193479,-2728.3314924495,-896.8520985852,438.2107671334,-2504.6803446535,1677.2994839622,-2678.0197227777,2173.5092098861,-1650.9926207417,866.0909405532,2718.3749857706,2828.7590165245,-1385.8147860037,2319.6061499962,-1010.9978310627,1862.7302447054
