Year,Mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1926,3193,-3192.6489672212,-23.6732725111,1582.8126580374,2249.4066151846,-3192.9859584419,2761.2650920469,-3192.9928359372,2947.6774180941,-47.3452437055,3192.9122405993,2773.0764665903,2266.1462617325,-9.469381879,1603.32906524,-6.7638490556,1227.3739604774
1927,3266.75,-2614.7180142434,-1031.9945468534,994.4428213236,1910.5480073223,-3239.7888960097,2638.2050383792,-3252.9850492591,2908.0008825154,-1958.29141562,3099.4584716955,3111.7099861038,2649.8041199713,-418.8358530405,1926.5330876916,-299.5727487549,1488.3502376087
1928,1923.75,-568.4481111599,-1141.7666155253,192.034091532,867.2775034218,-1861.9464799439,1426.5762591051,-1892.134271405,1638.4808756449,-1837.8467856214,1548.2839074834,1914.1413140595,1717.1615516772,-483.703802264,1290.6177743459,-347.3355171514,1008.064721457
1929,1856.75,598.2088841824,-1509.6762746042,-202.6201752573,567.6394716846,-1724.4593969092,1239.214580307,-1788.8555772409,1500.2475048388,-1757.7447748138,1080.9246543572,1845.6612980389,1767.8534986491,-688.3025140965,1382.7030724109,-497.5100866055,1093.9734853848
1930,2056.25,1679.7699981778,-1959.8713122618,-644.2452847916,314.7845903644,-1799.213610024,1204.8723367327,-1923.7303248775,1561.3199346125,-1185.9750485241,622.1482957249,1952.7191491671,2032.0124813025,-995.4870406009,1666.2672998881,-726.2408000429,1338.0747827687
1931,2324.75,2324.5463733149,-2324.6990927713,-1171.2461135012,-7.6924176905,-1877.1384739682,1157.9309478847,-2092.6164206074,1641.1245556742,30.768828525,-15.3847511568,2008.144692025,2324.737273158,-1371.4276182316,2015.8518007113,-1012.6297836349,1646.5639238314
1932,2170.75,1739.546104358,-2060.1304896214,-1459.4476991192,-346.5020217505,-1578.5644347038,878.6522263208,-1861.4200209136,1407.1222936876,1298.512577264,-684.1183583507,1606.9125601711,2142.9166832667,-1490.0637194389,1984.97501941,-1116.8129065524,1652.9254106304
1933,2811.25,834.9714883914,-2263.8948914692,-2281.2683350338,-877.1408236017,-1786.4945064494,863.1080336888,-2271.3713210565,1648.8275261758,2684.3899076091,-1666.7052777501,1642.8455028007,2670.9081860055,-2170.6137244858,2675.4758613529,-1656.5020025289,2276.9484735991
1934,2458.5,-788.3733197649,-1432.8304930029,-2250.0258986176,-1122.855396512,-1312.2280405692,506.2280011263,-1848.5856919855,1281.3434858919,2328.6669488535,-1997.8035509832,990.7601655043,2187.1026515744,-2079.0093360887,2405.8170048605,-1620.7878298489,2098.1851970602
1935,1837,-1498.9732580456,-557.2051350132,-1798.3657008127,-1084.2008962782,-778.1778909572,188.3762294016,-1267.2113349794,831.5323065092,1061.9077980993,-1750.4546373771,374.7663353885,1482.9286619759,-1664.0337045942,1827.315899399,-1329.9415146914,1638.0241216879
1936,1422.25,-1422.1536003699,8.2796248093,-1422.2392888224,-1008.6056610205,-436.3484572765,-2.7598887932,-884.9076283732,542.358581159,-16.5589690211,-1422.2258998883,-5.5197671938,1002.7510573704,-1353.6598857662,1422.2473222031,-1113.433227341,1314.7783965152
1937,2969,-2382.055032883,933.4451262314,-2901.7693687597,-2406.9025302015,-549.7283052638,-315.9175083409,-1631.602361569,913.4734226653,-1772.2231293821,-2818.4465927732,-628.2479848979,1738.3271297743,-2917.6634128,2952.1444964506,-2480.4908251639,2824.9827089885
1938,1876.75,-560.2683593934,1111.4645561169,-1711.6844552985,-1674.534512662,-113.7188753104,-393.5649635184,-886.7334642405,435.6075733166,-1791.1699885724,-1512.2291833568,-769.6277593678,847.4224025855,-1873.3015186825,1835.019668012,-1654.0539065871,1825.496262546
1939,1501.75,479.3038453367,1219.6408512825,-1211.7889356755,-1429.483947254,97.4990918792,-466.6095950306,-588.1163207112,232.9437107021,-1423.2079561138,-876.201607156,-887.0291076816,460.2485274754,-1498.5816592975,1427.4202423692,-1381.8003675687,1483.5734866006
1940,1638,1335.0815537631,1560.4338475347,-1091.822125022,-1618.4922987555,310.2666271557,-668.8196166434,-503.8617039669,126.3993960398,-949.0001289787,-498.0865461625,-1221.0521886113,252.0449937394,-1608.3465485005,1495.2338681267,-1558.5786419926,1633.1157927963
1941,2522,2521.8726265996,2521.9681564489,-1253.6758520767,-2521.9920390997,784.160592166,-1264.6567718283,-557.666986574,-3.1683900238,25.3467001387,12.673510089,-2188.3283249823,-6.3367750471,-2396.9931509485,2182.0007446077,-2459.571412276,2521.9980097741
1942,2676.75,2150.1222454332,2541.6854922436,-818.8986245303,-2642.7681702964,1144.4166697041,-1576.8645581166,-355.62082774,-213.2614154732,1594.354067387,839.5388144799,-2548.4104075369,-425.1669796309,-2419.7729332736,2162.9814441774,-2653.0217468723,2668.2410181935
1943,2034.75,610.5283891809,1640.4999546458,-206.3386277981,-1933.6771764201,1093.5060554912,-1363.8841665603,-88.5551291789,-320.6695556015,1940.995272664,1203.7306431703,-2024.2608362507,-633.3246717855,-1715.940578547,1509.976007328,-2032.8220658966,2009.3229204412
1944,3265.5,-1037.2984121352,1907.3793913604,351.1815876751,-2906.203507369,2086.081305341,-2430.0487366052,150.7444377129,-765.9251584478,3096.3692050823,2650.546001754,-3246.5615260577,-1489.1176661891,-2512.3206478288,2181.3650285368,-3262.0187560004,3174.4052831447
1945,3162.75,-2574.9350186194,964.134801872,986.1388574295,-2554.6335262735,2309.3421940639,-2561.4349722211,428.4753530377,-980.6427426129,1836.4904607396,3012.2137451249,-3005.0819816384,-1864.6273378184,-2161.0012015768,1855.2731458151,-3133.5916189477,3006.8800065617
1946,2698,-2697.903501755,-11.40947556,1355.5819136515,-1903.7359631707,2185.4072633613,-2338.435802308,603.5391691993,-1035.1145761135,-22.8187470801,2697.9758753309,-2332.7240889957,-1911.8036987438,-1582.1501487683,1345.7050191198,-2629.6282001915,2491.5340283282
1947,2050.25,-1648.8236277374,-641.4921744384,1376.013700191,-1201.7291150375,1798.2532368673,-1874.1260831807,635.8289068002,-932.6521174571,-1218.5670712419,1947.3091312461,-1519.9050494642,-1661.1358152093,-984.7894996376,831.3702465459,-1949.1656327201,1825.8381884227
1948,968.5,-292.0702542461,-572.3295417688,785.0143234759,-438.0017630084,901.0450849493,-921.4875534391,381.6394791403,-506.8468913421,-923.4106435301,781.3009315358,-567.2254947882,-863.7978383867,-355.1197050133,298.0821008662,-890.1368197988,825.286906922
1949,1951.75,617.0325118264,-1583.2910767539,1784.9919623156,-599.6414359622,1891.1583370506,-1909.6054729904,926.7146279364,-1148.690099605,-1851.6476289643,1141.2788567092,-789.3869500877,-1857.3524734894,-482.5434764911,403.4042637669,-1717.7101213152,1577.9224054337
1950,2770.75,2253.2252027975,-2638.1981818233,2711.5741213531,-428.5253494329,2749.3978990372,-2755.9163230439,1528.7700619468,-1801.3493484828,-1612.4613942598,846.7383987539,-569.5799741109,-2737.4114757182,-343.3172807619,286.3228647531,-2310.8261856304,2105.2781496089
1951,1184.75,1184.7220817142,-1184.743020408,1184.7468979574,2.0333558023,1184.7488832644,-1184.7492244891,739.5876115717,-838.4633506561,8.1333633148,-4.0667056151,2.7111400345,-1184.7482551007,1.6266849293,-1.3555709046,-925.5499593807,837.0255504503
1952,2073,1669.0794923547,-1969.432759407,2026.7546233399,327.6391992339,2056.3118326416,-2061.4062353383,1433.9735413101,-1577.422749299,1229.4318395914,-647.0421981404,435.4247314639,-2046.9444435855,262.5083749866,-218.9368240114,-1497.0133208568,1345.0154162663
1953,2523.25,764.7663491259,-2036.7237481961,2302.9680019061,783.4626235068,2443.1939383026,-2467.5650521627,1901.6638871802,-2042.5061355188,2404.5629527514,-1489.4787464191,1031.0814442597,-2398.5364037404,630.5505073674,-527.1748057762,-1658.4525988689,1481.5394860983
1954,3405.75,-1071.5573952647,-1993.6996342952,2751.3609701558,1550.6596230313,3165.1022579714,-3238.0225977136,2756.9986388256,-2905.1929431312,3232.7848383636,-2761.2125652893,2007.2732435828,-3032.2578709603,1257.4819120308,-1055.6243267356,-1999.5228350819,1777.3539393381
1955,2195,-1782.9779254662,-672.4538845161,1465.6991260735,1292.6694711888,1922.30952543,-2004.3994838519,1885.1937008021,-1956.4552753973,1280.2401014264,-2089.4570522505,1633.9372912775,-1773.9872147951,1059.5994943567,-894.6550783035,-1124.3085477111,995.142077982
1956,3110.75,-3110.7067627112,8.2006218064,1550.6379636692,2202.529868899,2514.7201323618,-2692.6207129843,2803.7047165986,-2874.7421929781,-16.4011866213,-3110.739190659,2696.717906665,-2196.7311485723,1831.1057365413,-1557.7417175219,-1347.5924549444,1188.5381299779
1957,1543.25,-1244.0064800175,480.5244854391,474.4661771265,1249.6379424965,1123.9335918972,-1247.7661019499,1445.2278603111,-1468.0129967507,-913.2734750196,-1466.5322299198,1468.5034590572,-905.5526352306,1057.5414145579,-908.1301213619,-541.2365418934,475.9815163125
1958,2754.25,-838.9588093284,1624.0675419925,283.6648213058,2455.5020963169,1753.6568396893,-2045.3822254754,2655.4793404641,-2678.5219535483,-2623.364476917,-2224.4769456091,2739.6034989855,-1247.5586228645,2123.812786267,-1844.5337118658,-730.9736895869,641.4150036128
1959,3405,1066.1724922803,2759.0163406742,-360.7918361404,3239.4811035099,1822.0074207792,-2276.5685579334,3350.654553212,-3363.3657366878,-3233.7750720644,-1995.4583012162,3385.8313973047,-1048.7073853093,2876.5107263185,-2532.0467217311,-605.9200153815,530.8445358807
1960,1643.25,1333.2684324939,1563.8356553992,-509.8746158767,1623.2750080062,698.4726101812,-964.9919947752,1636.7186276545,-1638.2486409892,-960.5549694918,-504.666826136,1562.1454601235,-255.4384678991,1487.4160733724,-1330.0605296451,-146.3649424851,128.1091440802
1961,2427.25,2427.2335664741,2427.245891615,-1216.2024683285,2427.2489729036,748.3623716621,-1212.3355808623,2427.2496646216,-2427.2497432259,8.9317569191,4.4658860186,2100.569950878,2.2329439542,2309.0033181398,-2102.8040807158,1.275968095,-1.1164720952
1962,1598.75,1290.2499683265,1519.6691579686,-1071.103060125,1578.8560144615,298.520082547,-649.4519016545,1592.2449039109,-1593.7687435165,944.0638652833,496.5956230365,1186.9034489338,251.4264268108,1570.6327778371,-1460.8948593028,144.0754263218,-126.106124712
1963,2586.5,791.7839293335,2090.207092996,-2094.0633408876,2459.2989749148,160.8367497914,-798.0248801868,2544.7328908973,-2554.5018152878,2462.3282598486,1523.4882862659,1518.1834455529,801.1434340884,2581.4944876789,-2460.3126916315,462.9435861802,-405.5893559888
1964,2521,-785.5605242272,1479.0272002947,-2303.9782654733,2245.4474578514,-159.6657077656,-523.0257129156,2429.8891786694,-2451.1440228232,2395.4823444926,2041.5483194841,1023.2913330165,1146.0395778631,2515.9387635163,-2466.1478267997,671.6245821776,-589.350472451
1965,1570.25,-1272.5756180116,483.4372753095,-1536.1975718925,1269.8036155356,-294.9775937912,-163.5096713284,1469.9331017349,-1493.250513108,919.9110603436,1493.9790705834,325.2415757735,923.7336415183,1542.2948102296,-1561.7136901116,552.2515178106,-485.6829908516
1966,1715.75,-1715.7462629691,-1.790504226,-1715.7495847742,1212.5852557396,-530.877010295,0.5968348383,1545.6153033052,-1584.974954855,-3.5810065021,1715.749065742,-1.1936696044,1213.8513335919,1631.5537571408,-1715.7498961936,744.8969033959,-657.0026293573
1967,2231.25,-1802.7968240353,-691.3704321387,-2182.2179673157,1310.6975787325,-950.7341119534,233.8832218511,1915.1246657225,-1987.8343159136,-1314.6863404433,2121.4342997285,-465.189537312,1805.6988729034,2018.5591918169,-2218.9581341334,1144.8904214995,-1013.405789887
1968,1377.75,-423.8476538726,-810.6290635602,-1258.3662417033,625.0403467697,-738.5727029381,286.7760214813,1114.4553824248,-1174.5944832711,-1310.9341054404,1114.0357192709,-560.9897184812,1227.8109086541,1163.0586507029,-1347.5735883444,810.0520125796,-720.0853160349
1969,1564.5,485.1404382905,-1266.2271647903,-1265.3601445442,483.0361532461,-997.5226151684,483.737689177,1178.0138999615,-1265.5770051154,-1487.3799128452,918.8737765043,-920.0673641636,1488.0646238175,1205.2422504325,-1487.8367175432,1029.5355756348,-919.7690439035
1970,2936.75,2377.2832840478,-2793.3839019125,-1964.4777855004,458.8193481963,-2141.1254767346,1194.8473596932,2029.2316830645,-2232.9283780851,-1724.2461395888,906.3701997729,-2182.9630305563,2900.6870510658,2009.9955859101,-2682.6927422898,2122.9035161654,-1907.4934916907
