Year,Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1937,988.25,-792.8817400629,310.7029794538,-965.8718688706,-801.1523831161,-182.9804640205,-105.1550951896,-543.0889302191,304.055274486,-589.8954218969,-938.1373679044,-209.1162246801,578.6129289321,-971.1622996631,982.6395414676,-825.6467019091,940.3129545833
1938,1433,-427.7951559935,848.6632257443,-1306.9635403984,-1278.5975524948,-86.8305039669,-300.5081085504,-677.0688979654,332.6099121155,-1367.6550385636,-1154.6686664448,-587.6523666839,647.0527789557,-1430.3668982401,1401.136637411,-1262.9595034711,1393.8650029191
1939,1059.5,338.1537700244,860.4691073307,-854.9295004816,-1008.5155599238,68.7866075219,-329.1978464691,-414.9220854294,164.344172791,-1004.0877839204,-618.1692044494,-625.8081169227,324.7100481839,-1057.2647031967,1007.0595949993,-974.8743062687,1046.6762837046
1940,1304.5,1063.256341199,1242.72646771,-869.5250073817,-1288.9641048392,247.0957357293,-532.6466360875,-401.2744766941,100.664232072,-755.7818487501,-396.6751523009,-972.4435775601,200.7281406184,-1280.8840491568,1190.8013314843,-1241.2489856406,1300.6102269248
1941,1317.5,1317.433459772,1317.483364838,-654.9238442153,-1317.4958412029,409.6477320296,-660.6603080428,-291.326825857,-1.6551759938,13.2411885142,6.6206778518,-1143.1889643791,-3.3103493753,-1252.1960651763,1139.883418327,-1284.8871275471,1317.4989603003
1942,1211.75,973.3485125259,1150.6070403386,-370.7109025029,-1196.3666126297,518.0711308542,-713.8379110107,-160.9875924214,-96.5422696179,721.7553156463,380.0546029499,-1153.6513724976,-192.4707528039,-1095.4178955428,979.169801058,-1201.00835034,1207.8980307448
1943,1025.75,307.7771201388,827.0022501427,-104.0186005474,-974.797574008,551.2538820101,-687.5558097306,-44.642056152,-161.6546488061,978.4867433027,606.8198585732,-1020.4622448872,-319.2690905929,-865.0330745519,761.2030419052,-1024.7780976009,1012.9318027485
1944,1146,-364.0312296148,669.3788952684,123.2442503371,-1019.9078914239,732.0928421132,-852.8053444035,52.9025036347,-268.7950487157,1086.6449575943,930.1870212862,-1139.3537004631,-522.593429935,-881.6779857332,765.5318703731,-1144.7782864421,1114.031068591
1945,1000.75,-814.7549505599,305.0692919053,312.0317639942,-808.3311995631,730.7166866523,-810.483297273,135.5771747854,-310.2926961252,581.0980408142,953.1176683057,-950.8610522882,-590.001046027,-683.7789747776,587.0412143465,-991.5237728755,951.4299791532
1946,1359.5,-1359.4513753284,-5.7491408539,683.0665721309,-959.2768872982,1101.2087377834,-1178.3185593913,304.1184212478,-521.5857176525,-11.4981788938,1359.4878437777,-1175.440474051,-963.3421528696,-797.232441531,678.0896862466,-1325.0480126613,1255.4634957421
1947,1400.5,-1126.2906916943,-438.1952397517,939.9376598549,-820.8860507792,1228.364179116,-1280.1919665868,434.3267328246,-637.0829364705,-832.3878469817,1330.1823866895,-1038.2280315935,-1134.700992172,-672.6973267857,567.89856373,-1331.4505395072,1247.2071127355
1948,1305.25,-393.6238506503,-771.3300303498,1057.9658706421,-590.2961292377,1214.3408333816,-1241.8912019891,514.3365308703,-683.078889958,-1244.482955568,1052.9613225473,-764.4512927954,-1164.1426211195,-478.5957614544,401.7260321689,-1199.6397357175,1112.2413373876
1949,1167,368.9391270918,-946.6892207362,1067.2912104636,-358.5405691138,1130.7707336175,-1141.800736252,554.1057875249,-686.8304579167,-1107.146295889,682.3990909592,-471.9941441026,-1110.5573647046,-288.5247788217,241.2054698685,-1027.061719777,943.4791582637
1950,1384,1125.4944259395,-1317.789870484,1354.4414270334,-214.0500166436,1373.3345456167,-1376.5905228161,763.6263703814,-899.7807446721,-805.4305042517,422.9490007671,-284.5073298455,-1367.347282286,-171.488267283,143.0193430726,-1154.2663325499,1051.5943188879
1951,1292,1291.9695543994,-1291.9923885774,1291.9966171437,2.2174262052,1291.9987821714,-1291.9991542857,806.539096139,-914.3656037541,8.8696395043,-4.4348458787,2.9565671446,-1291.998097143,1.7739412776,-1.4782845399,-1009.3357649461,912.7976460703
1952,903.5,727.4545689061,-858.3610700069,883.3443329414,142.7988502208,896.2265995136,-898.4469530286,624.9855738416,-687.5067313032,535.8377554611,-282.0080202701,189.7762879294,-892.1439000383,114.4121161603,-95.4218140349,-652.4609432678,586.2139067036
1953,1558.75,472.4381439413,-1258.1960338851,1422.6697207852,483.9878586708,1509.2949772433,-1524.3503517522,1174.7621457018,-1261.7681318696,1485.4304974146,-920.13276369,636.9555934766,-1481.7075673557,389.5256527728,-325.6648086807,-1024.5171855689,915.2282468862
