Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1900,5068.25,4168.0455295051,4837.967280657,-1603.2603594143,-5010.3485773292,5031.1676232157,-2963.2274419878,3490.3649777266,-383.0527936533,-2883.4969267319,-1510.3743422718,4807.9844303441,763.9143905931,-611.9725562521,-4111.7443001178,3674.848348539,-5053.7539136541
1901,4612.5,4611.30205031,4612.2005028541,-2336.5305363341,-4612.4251251058,4612.452080021,-2291.0597058086,2864.0898959552,13.1407847849,105.1173192545,52.5620725683,3976.905996221,-26.2814629122,21.0252112863,-4003.2738695249,3615.5421886472,-4612.4812812385
1902,5363,4266.8267290581,5081.5726280325,-3618.3018894679,-5292.1754980414,5317.6362958706,-2162.9627790121,2940.0759545275,435.7934166576,3248.993484788,1714.464530409,3958.4921923218,-868.7044940201,696.0698419266,-4907.4801086309,4485.2784062541,-5345.2645489253
1903,5185,1492.6195970279,4160.7365700432,-4217.1451140121,-4922.2781369847,5016.340935223,-1584.034024863,2442.5459759123,825.2917240996,4965.5122332513,3093.9450859227,3016.606054387,-1629.5407150983,1311.6968482107,-4937.1106133118,4573.6412359907,-5118.898179309
1904,5446.5,-1795.7599978732,3153.074326874,-4991.6177888972,-4839.2965176418,5055.223154932,-1112.9950500275,2124.9776667908,1285.9109157839,5141.9459623802,4441.0003984697,2179.0167735851,-2499.1141359171,2027.0868515777,-5331.5667742807,5014.8611312419,-5292.5225900952
1905,4216.5,-3463.7552981683,1259.7515698092,-4130.5410616768,-3397.8386324324,3686.1711613199,-425.7028678784,1290.6371602642,1313.7514331769,2404.4274753901,4023.9157834581,847.0553628908,-2496.7108118382,2047.1967222164,-4194.9552224404,4014.1160883245,-4006.6107150341
1906,4309,-4308.0318107458,-45.6723521213,-4308.892419835,-3030.7324885834,3475.2845134648,15.2243707721,946.1160170127,1659.5262436452,-91.3395730379,4308.7579458879,-30.4485514947,-3063.0281720293,2547.5240039049,-4308.9731048748,4203.8488890958,-3976.6133388416
1907,6486,-5166.5420465405,-2068.574906323,-6334.7258759713,-3784.9319120421,4709.5076168234,700.4155796563,851.4609843396,2959.6560288736,-3921.1017943085,6147.2915871082,-1392.6392484417,-5267.1136708073,4459.6786887715,-6448.0705653532,6429.8685983578,-5771.3631137499
1908,5124.5,-1483.0174927235,-3054.5684726765,-4667.0679620164,-2302.9724392369,3250.2139316111,1082.6150005073,214.8712152676,2688.7653286528,-4905.2175656413,4114.6216953361,-2116.35934754,-4577.8617491265,3961.8947044011,-5008.8366923545,5119.9932237113,-4362.4581668407
1909,4570.25,1499.9787775871,-3724.4102265169,-3679.1991010735,-1390.2696185922,2433.2193847626,1426.9417246017,-218.2460715212,2695.6729529126,-4317.0879918399,2648.7645284389,-2711.2135727677,-4353.6577093427,3868.6727036693,-4341.7764080029,4565.0360036659,-3690.6005464471
1910,4334.25,3556.5432714229,-4135.2551757216,-2878.7230286425,-656.6937326976,1829.7912329589,1776.0374117127,-594.0235517619,2823.0699824442,-2477.241009873,1298.2248241995,-3240.1661665513,-4284.212460177,3929.0694962404,-3953.6583280168,4293.350565986,-3288.7686049223
1911,4379.5,4378.6582692727,-4379.2895622624,-2164.9160572894,21.4663931772,1336.9968961471,2202.1319643815,-986.4856032491,3104.3543868991,85.8604153834,-42.9322706144,-3806.9881422052,-4379.4473902496,4170.4267826798,-3785.5825260387,4266.9504806808,-3089.1753091303
1912,5942,4738.9240553501,-5633.2073784342,-1799.8083559787,957.8219451819,1090.8959286224,3508.0552125626,-1851.7432442675,4527.6231070105,3584.6844767182,-1890.5921378116,-5662.8662249562,-5864.2937444613,5841.0024886928,-4795.9266701663,5646.0969666939,-3848.1155129316
