Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1902,1685.25,1340.7924193819,1596.815265969,-1137.0022858896,-1662.9943610058,1670.9950713436,-679.6817123495,923.8789860838,136.9421695734,1020.9521294498,538.7472216804,1243.9024738226,-272.9786031228,218.7305055206,-1542.1090533415,1409.4378956069,-1679.6768750842
1903,2726,784.7407948887,2187.4962179244,-2217.1528603273,-2587.8746772267,2637.3279439572,-832.8016879029,1284.162069496,433.8949353704,2610.6048886872,1626.6334241515,1585.9726334154,-856.7267096158,689.6211394836,-2595.6728123217,2404.5797510725,-2691.2471430658
1904,1639,-540.3930297465,948.8458315884,-1502.1135694487,-1456.275955644,1521.2541542153,-334.9304850813,639.4635813587,386.965572564,1547.3514059196,1336.4178193504,655.7254185084,-752.0514217879,610.0055723374,-1604.4134660876,1509.1081234014,-1592.6640090271
1905,2171.25,-1783.6306631443,648.698113589,-2126.9861923789,-1749.6874494649,1898.1617773072,-219.2119890623,664.6023797518,676.5048735409,1238.1390148087,2072.0804327839,436.1837914566,-1285.6595162347,1054.186145645,-2160.1557041916,2067.0341650123,-2063.169338318
1906,2755.5,-2754.8808666767,-29.2063509562,-2755.4312051185,-1938.0792230892,2222.3593587497,9.7356123607,605.0180285167,1061.2264015698,-58.4094206326,2755.3452123217,-19.4711031895,-1958.7315219371,1629.0792278394,-2755.482801226,2688.2584390586,-2542.9468682242
1907,2143,-1707.0458843257,-683.4653136371,-2093.0184323476,-1250.5564427238,1556.0399048493,231.4200720326,281.3260699105,977.8820335917,-1295.547509282,2031.0894035111,-460.1335043803,-1740.2751459359,1473.4954409555,-2130.4679650867,2124.4539633489,-1906.8811521378
1908,2959.5,-856.4719035448,-1764.0736452115,-2695.3239601108,-1330.0120858467,1877.0627633141,625.2315531274,124.0923722479,1552.81510199,-2832.86006157,2376.2753258557,-1222.2393382856,-2643.8056096282,2288.0724710069,-2892.7021545562,2956.8972476483,-2519.4057849088
1909,2311,758.4816924684,-1883.2912933605,-1860.4297626128,-703.0059818536,1230.3856459026,721.5496582363,-110.3586611861,1363.0983412682,-2182.985689873,1339.3785515502,-1370.956636216,-2201.477592318,1956.2392906689,-2195.4696742836,2308.3634821885,-1866.1950359038
1910,2898.75,2378.6190939695,-2765.6620962388,-1925.2923526048,-439.1973138737,1223.7658964157,1187.8152961186,-397.2834448105,1888.0715490824,-1656.7808449834,868.2538407217,-2167.0258234505,-2865.2848518055,2627.7649425453,-2644.2099736607,2871.3964245606,-2199.5311746019
1911,1992.75,1992.3669976237,-1992.6542471055,-985.0751166031,9.7675887667,608.3572473563,1002.0090129059,-448.8684064105,1412.5361809552,39.0680083926,-19.5349428626,-1732.2469734854,-1992.7260616326,1897.6179863421,-1722.5070393341,1941.537977024,-1405.6294319601
1912,2306.25,1839.3038711968,-2186.3992791171,-698.5540257448,371.7564559199,423.4060476919,1361.5705711835,-718.7113525903,1757.292290566,1391.3124494163,-733.7896529498,-2197.9106750766,-2276.0901124476,2267.0501497051,-1861.4281189955,2191.4020749643,-1493.557119101
1913,2595.25,755.0143744275,-2085.0388027244,-254.9520787543,813.6724186457,153.1293772909,1742.6500193832,-1026.4613665553,2103.2125316989,2482.9973533832,-1545.2947141673,-2582.6966527331,-2464.3984575623,2590.7284605513,-1923.1467631056,2383.6316043948,-1520.4669049358
1914,2363.75,-772.2374236457,-1371.4842055885,261.6890102999,1082.928499842,-157.2197746651,1761.5165994955,-1125.6490187691,2018.3020467712,2234.0464238733,-1925.1870393085,-2349.2196415806,-2101.090175773,2358.5156359359,-1576.1894975547,2078.5159005993,-1230.3539777232
1915,2285.5,-1873.3234492751,-686.3051459379,719.5276083904,1351.8431563904,-436.4883221638,1853.1042333037,-1264.0660368452,2038.7677386022,1309.2629622791,-2180.0219027935,-2169.2833541896,-1842.8321493073,2243.4322353516,-1337.7275322396,1904.1132593663,-1032.9261145091
1916,2941.25,-2940.7728061345,26.491002782,1485.8931910645,2089.122809271,-918.968226896,2551.6009592723,-1839.7509525071,2719.8882353204,-52.9798565456,-2941.1306991141,-2538.3208991867,-2070.3906516123,2794.0023193361,-1462.9709864316,2294.8350692914,-1119.4460906475
1917,2585.25,-2064.2961086008,820.6083254939,1741.1718024872,2098.2129582079,-1109.017513969,2364.83423995,-1791.2876061338,2460.4798935073,-1556.3415879927,-2451.5545147172,-1910.9783663673,-1510.3045866674,2335.2939250146,-1044.5461119836,1864.0832263103,-793.4458117266
1918,1641,-479.9022978546,976.0536176923,1333.1614897341,1465.3642868982,-884.1016569374,1562.1458005983,-1238.4666279428,1596.4873621172,-1569.2593107941,-1319.1665305752,-956.8497490672,-738.639632489,1382.4779420304,-502.5748677294,1076.6064329513,-379.6170472991
1919,2258,734.2890704867,1838.0136997801,2067.974381714,2150.4416911537,-1445.2305762607,2209.9830490199,-1829.9892052186,2230.9483788991,-2135.2713085142,-1311.5904998972,-906.6675005617,-688.596059347,1734.8984354829,-463.1834658588,1322.7635876389,-348.4728550225
1920,1443,1181.4453568906,1376.058619753,1413.1190540853,1426.1664678963,-1055.2028989485,1435.510326512,-1240.5079471371,1438.7854623213,-828.5142537589,-434.4095705707,-292.1361651375,-219.7685278838,984.274271761,-146.8301824473,737.1492610656,-110.2061405405
1921,2382.25,2381.9288204233,2382.1697037526,2382.2143126676,2382.2299258536,-1931.8690445003,2382.2410781502,-2148.7519045919,2382.2449814581,39.1172204669,19.5592694992,13.0395943913,9.7797171589,1393.9142934204,6.5198216132,1028.5817006989,4.8898688806
1922,2507.75,2004.8150046491,2378.6955343642,2450.1157623556,2475.27612488,-2201.4374151342,2493.2998080403,-2349.8637651324,2499.618347335,1506.494892004,794.1143603384,534.549168512,402.2662900357,1201.0342916618,268.8236033656,875.7570141414,201.7874628566
1923,2246.5,660.3984092,1806.9791471221,2047.4440414551,2133.7925044401,-2091.3431048446,2196.1722711492,-2166.8846761825,2218.1441692578,2147.2392021212,1334.7616311035,924.5188733121,702.6320502191,820.393971101,472.852625493,592.7672815914,355.8071027785
1924,1774.75,-574.4651908591,1032.0381448917,1430.4061557137,1578.1868172283,-1720.349911819,1686.4683346202,-1746.9249034297,1724.909362311,1679.2043672499,1443.8264542488,1050.5597518449,811.8275262805,436.0432815722,552.77673506,313.0350527932,417.6424958167
1925,1889.25,-1545.0796098066,570.185894982,1257.0502355509,1524.2193517658,-1875.0614119054,1723.9703767778,-1882.0064785725,1795.6749389608,1087.195733003,1801.1534103634,1410.3511150779,1116.2530762343,231.1066076149,772.7817948766,165.2790885476,587.2112704029
1926,2337.75,-2337.4929918952,-17.3323497692,1158.8538338011,1646.8995661283,-2337.739719495,2021.6559564462,-2337.7447548425,2158.1374519729,-34.6637467813,2337.6857470908,2030.3036360073,1659.1554723975,-6.9329932627,1173.8748895286,-4.9521416003,898.6199424071
1927,2575,-2061.0389183981,-813.4647457404,783.8647784215,1505.980291989,-2553.7480392516,2079.5524523843,-2564.1498436802,2292.2177309182,-1543.6138043075,2443.1332561769,2452.7904535753,2088.6953727485,-330.1453498368,1518.5804548269,-236.1367806057,1173.1849274791
1928,1966,-580.9325466097,-1166.8424515258,196.2516043935,886.324923575,-1902.8391316801,1457.9071736976,-1933.6899168718,1674.4657057922,-1878.2101523231,1582.2878035672,1956.1802850895,1754.8743914736,-494.3270566607,1318.9627261152,-354.9638085612,1030.2041545858
1929,1917.5,617.7813574363,-1559.0705569159,-209.2495952906,586.2117608483,-1780.8810521467,1279.7597725805,-1847.3841763077,1549.3332923272,-1815.255476346,1116.2908440716,1906.048492791,1825.6949420544,-710.8227121476,1427.9429871269,-513.7878503116,1129.7666127509
1930,2225.25,1817.8276904293,-2120.9500973182,-697.1948060705,340.6562478825,-1947.0881875774,1303.8989263535,-2081.8387382048,1689.6423997551,-1283.4484993207,673.2816997261,2113.2101090257,2199.0204372126,-1077.3045773117,1803.2152262983,-785.9294056148,1448.0490749452
1931,2665.75,2665.516504856,-2665.6916255749,-1343.047350066,-8.820760279,-2152.4817236179,1327.7790834815,-2399.5665010148,1881.8487081573,35.2820753373,-17.6414239794,2302.7042532598,2665.7354063538,-1572.5919661472,2311.5418594456,-1161.1647900741,1888.0859361022
1932,2487,1992.9753133886,-2360.2646678283,-1672.0702189149,-396.9828529741,-1808.5407113249,1006.6604108533,-2132.6046721236,1612.1216834739,1487.6889460581,-783.7854922115,1841.0187894256,2455.1117315602,-1707.1465946077,2274.1600245411,-1279.5180000441,1893.7351128585
1933,3273.25,972.1904577597,-2635.9427135621,-2656.1713037436,-1021.2898891434,-2080.0864893679,1004.9509546543,-2644.6478173937,1919.7953579564,3125.5417572544,-1940.6111339779,1912.8302506153,3109.8444534789,-2527.3317469713,3115.1627792524,-1928.7310555012,2651.1415175485
1934,2638.75,-846.1745363147,-1537.8814168849,-2414.9911897406,-1205.1798566387,-1408.436746818,543.3431515038,-1984.1185660878,1375.287827292,2499.3979708307,-2144.2766402916,1063.3997912241,2347.454595014,-2231.4361950799,2582.2044423736,-1739.6192336847,2252.0179738631
1935,2552.75,-2083.0179556211,-774.3088777382,-2499.06262534,-1506.6379085324,-1081.3792112907,261.7732278742,-1760.9546735812,1155.5220987705,1475.6587542722,-2432.4839823431,520.7864794028,2060.7219062923,-2312.3908761038,2539.2926849161,-1848.1264026285,2276.247183799
1936,3014.5,-3014.2956781965,17.5489041924,-3014.4772973494,-2137.7688628203,-924.8531724099,-5.8496641006,-1875.58730584,1149.5446953095,-35.0972136503,-3014.4489191163,-11.6993061739,2125.3598610955,-2869.1212695673,3014.494324332,-2359.953920773,2786.7108288242
1937,2432.25,-1951.4157472986,764.6924581598,-2377.17364337,-1971.7711953798,-450.3457967254,-258.804432355,-1336.6334940809,748.3313345496,-1451.8321678813,-2308.9143567776,-514.6703136638,1424.0640489706,-2390.1942862185,2418.4417148845,-2032.0558469198,2314.2688426869
1938,2926,-873.5021817425,1732.8601524967,-2668.649908727,-2610.7302432658,-177.2966187069,-613.5985524204,-1382.4868077089,679.1462685623,-2792.5740703679,-2357.6835436269,-1199.9098568857,1321.197788712,-2920.6235479766,2860.9391493822,-2578.7993769409,2846.0914155905
1939,1918.75,612.3950412783,1558.3058987171,-1548.2736942417,-1826.4173955675,124.5722540657,-596.175901758,-751.4221344196,297.6265989078,-1818.3987120315,-1119.5018037161,-1133.3358417607,588.0485181244,-1914.7018869832,1823.7806492731,-1765.4932280823,1895.526304255
1940,3052.5,2487.9953863625,2907.951355067,-2034.6685205309,-3016.1463626076,578.1983390676,-1246.3808790012,-938.9730472278,235.5519880412,-1768.5121451206,-928.21073392,-2275.4956078975,469.6992328385,-2997.2392181305,2786.4477304375,-2904.4940810027,3043.3980204584
1941,1946.5,1946.4016921792,1946.4754228897,-967.5971633891,-1946.4938557127,605.2214879664,-976.0723260761,-430.4118911048,-2.4453890489,19.5627881919,9.7815176004,-1688.9695022117,-4.8907742383,-1850.0187027443,1684.085824496,-1898.3171110211,1946.4984639276
1942,2763.25,2219.6041074786,2623.8208411104,-845.361585592,-2728.1700370118,1181.3988465714,-1627.8214215805,-367.1128242281,-220.1530237438,1645.8761097252,866.6687696317,-2630.7630741109,-438.9063814197,-2497.9686402795,2232.8788551875,-2738.7549610703,2754.4660478279
1943,1862.75,558.9196495622,1501.8264113609,-188.8965617058,-1770.2209904787,1001.0706007452,-1248.5933069223,-81.0694517154,-293.5629510734,1776.920478759,1101.9777641309,-1853.1474985753,-579.7889334653,-1570.8899435746,1382.3358189705,-1860.9850366133,1839.4723037483
1944,2795,-887.8423095753,1632.5602201354,300.5826175324,-2487.4716898166,1785.514392414,-2079.9222841254,129.0248670671,-655.5690760563,2650.2379201363,2268.6498468542,-2778.7902205883,-1274.5625101817,-2150.3402880666,1867.0694395224,-2792.0203408425,2717.0303985268
1945,2831.25,-2305.0461691459,863.0801226148,882.7778484221,-2286.8725543472,2067.2911507212,-2292.9611145684,383.5652022094,-877.8578025524,1644.0008274347,2696.4920293684,-2690.107773461,-1669.1885701362,-1934.4983485777,1660.8148269983,-2805.1478210879,2691.717340472
1946,2440,-2439.9127295338,-10.3184286013,1225.9525090102,-1721.6885656548,1976.4246562645,-2114.8196284772,545.8248972744,-936.1303060478,-20.6366726744,2439.9781822859,-2109.6541056893,-1728.9848128002,-1430.8548417327,1217.0201062462,-2378.1663485794,2253.2776238402
1947,2471,-1987.1933589265,-773.1384772771,1658.3976847565,-1448.3466129778,2167.2887444453,-2258.7321309789,766.3130002211,-1124.0499364646,-1468.6400356243,2346.933721892,-1831.8182549572,-2002.0322396695,-1186.8868936005,1001.9831138714,-2349.1712125114,2200.5346487465
1948,2392.25,-721.4301143215,-1413.6864701048,1939.0299590451,-1081.8892282466,2225.6325291378,-2276.1265872119,942.6711863431,-1251.9406048665,-2280.8767289466,1929.8576700738,-1401.0791842097,-2133.6297149,-877.165838222,736.2797168789,-2198.6884947483,2038.5055271906
