Year,Mean_nwest,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1902,1055,839.3627072826,999.6380985594,-711.7860327035,-1041.0675275841,1046.0761312966,-425.494262886,578.3666104842,85.7285203382,639.1363278858,337.2664701812,778.7076753495,-170.8900319208,136.9296444588,-965.390921985,882.3361399586,-1051.5111130181
1903,1269.5,365.4543063504,1018.7184331089,-1032.5295510585,-1205.1749459792,1228.20536495,-387.8362959621,598.035123707,202.0651579064,1215.7604204653,757.5242597066,738.5885026122,-398.9781943717,321.15702002,-1208.8065426421,1119.814377838,-1253.3155715782
1904,776.5,-256.0190284308,449.5294620064,-711.6480699676,-689.9318362157,720.7161993583,-158.6781706318,302.9551378432,183.3305473435,733.0801505165,633.1473073371,310.6594188357,-356.2952587055,288.9989792068,-760.1141283813,714.9618412576,-754.5476528429
1905,670,-550.3891971476,200.1739717235,-656.3411624151,-539.9150678832,585.7309802168,-67.6439989277,205.0816784957,208.7545263201,382.0624708909,639.3984524883,134.5967255157,-396.7262525629,325.2986609475,-666.5765442986,637.8412852312,-636.6486847084
1906,1228,-1227.7240806674,-13.0159314006,-1227.9693412758,-863.7130415364,990.4036626908,4.3387160149,269.6287929663,472.9399459727,-26.0304004852,1227.9310182294,-8.6773778685,-872.9168241476,726.0059124612,-1227.992335295,1198.0335195659,-1133.2748155251
1907,1195.25,-952.0982702941,-381.200147515,-1167.3729730581,-697.4930416078,867.8752665754,129.0736542683,156.9085324594,545.4099396409,-722.5866357766,1132.8322956354,-256.6376906722,-970.6317630331,821.8364096136,-1188.2603057722,1184.9060194553,-1063.5556216018
1908,1695.5,-490.6734625647,-1010.6392517169,-1544.1533280513,-761.9650250222,1075.370811015,358.19567438,71.0926227898,889.6090574165,-1622.9478744355,1361.3701013645,-700.2219287256,-1514.6384224108,1310.8386128036,-1657.2314590471,1694.008881023,-1443.3696598455
1909,1512.25,496.3279703312,-1232.3700815164,-1217.410172441,-460.0263072515,805.127950245,472.1607402284,-72.2154415312,891.9712101181,-1428.4812243663,876.4496817749,-897.1134457454,-1440.5817780107,1280.1050918711,-1436.6503742689,1510.5247407787,-1221.1827966445
1910,1373.25,1126.8438709077,-1310.2011120862,-912.0854586337,-208.0647559386,579.7452409669,562.7140510202,-188.2085349154,894.4525242871,-784.8811713233,411.3254288128,-1026.6039541366,-1357.3962648528,1244.8738964555,-1252.6645437963,1360.2915532653,-1042.0029962991
1911,542.25,542.1457806857,-542.2239445454,-268.0501728657,2.6578722914,165.5409446137,272.6580791611,-122.1422122073,384.367203173,10.6308506089,-5.3156807263,-471.3641557508,-542.2434860972,516.3634942135,-468.7138085956,528.3146245346,-382.487798008
1912,1347.75,1074.8712378994,-1277.7104079914,-408.2281574841,217.2508459473,247.4343634804,795.6885581843,-420.0079026357,1026.9444702917,813.0694216589,-428.8195142604,-1284.4375554838,-1330.1248559572,1324.8419899252,-1087.8004324666,1280.6339930767,-872.8202091137
1913,1217.5,354.1970911725,-978.1465147161,-119.6047224288,381.7151217421,71.8370164152,817.5229355935,-481.5400110899,986.6722887365,1164.8393325283,-724.9383737593,-1211.6108947896,-1156.1141015633,1215.3788269805,-902.1987030464,1118.2242475101,-713.2909957651
1914,1392.75,-455.0116009657,-808.0950300723,154.1903200826,638.0745290978,-92.6357868492,1037.9068192268,-663.2459739358,1189.2079008527,1316.3270890955,-1134.3434157575,-1384.1885376252,-1237.9876646464,1389.6658495821,-928.7098562536,1224.6866295335,-724.939398191
1915,517.25,-423.9669893404,-155.3232713789,162.8421157033,305.9465642717,-98.7852043926,419.3910149536,-286.0810140268,461.4100252864,296.3098959698,-493.3783982585,-490.9480704242,-417.0662564993,507.7293037566,-302.751943142,430.9352804232,-233.7698677444
1916,1463,-1462.7626401614,13.1768251832,739.0945137365,1039.1454891503,-457.1017478789,1269.1856195207,-915.106041145,1352.8929836885,-26.3525814284,-1462.9406588369,-1262.580017173,-1029.8279722257,1389.7578897369,-727.6928357499,1141.4683234588,-556.820953886
1917,2042.25,-1630.7160730258,648.2496287554,1375.4600574913,1657.5091050769,-876.0820105998,1868.1298623104,-1415.049652307,1943.6863214448,-1229.4511587189,-1936.635608812,-1509.6008388796,-1193.0836639093,1844.7941275935,-825.1520345028,1472.5554468358,-626.7922672851
1918,436.25,-127.5791453011,259.4779955626,354.4129798272,389.5582999143,-235.0331187318,415.2870844065,-329.23891922,424.4165824032,-417.1781683936,-350.6925039387,-254.3727623587,-196.3629126589,367.5234626513,-133.6065119116,286.2093579372,-100.9189133968
1919,1233.25,401.046056766,1003.8664283675,1129.463864592,1174.5049670572,-789.3403933452,1207.0246214366,-999.4836967829,1218.4752383868,-1166.2193716675,-716.3503029221,-495.1938419255,-376.0899425109,947.5480494063,-252.9765320063,722.4526990503,-190.3251321774
1920,954.75,781.6943551568,910.4587437347,934.9794988828,943.6122212224,-698.1669908324,949.794514371,-820.7726698054,951.9614831263,-548.1801689371,-287.4237959129,-193.2896768295,-145.4081787921,651.2376028855,-97.1490760163,487.7292148319,-72.917056605
1921,1247.5,1247.3318096245,1247.4579516975,1247.4813118072,1247.4894878801,-1011.6514358334,1247.4953279431,-1125.2253126156,1247.4973719673,20.4843037181,10.2424970932,6.8283740175,5.1212917014,729.9435747894,3.4141997954,538.631827735,2.5606512451
1922,1097.75,877.5937279846,1041.2573114738,1072.5210161004,1083.5347885902,-963.6638111708,1091.4245296685,-1028.6364064098,1094.1904259942,659.4575885544,347.6179998251,233.9951549134,176.0892512757,525.7443499837,117.6756497237,383.3564997602,88.3310486894
1923,1006.75,295.9519690461,809.7824421835,917.5447534987,956.2410878456,-937.2177479645,984.1960534073,-971.0710650998,994.0425739596,962.2671118342,598.1621509519,414.3153241518,314.8786185436,367.6526287139,211.9049101781,265.6436504528,159.4519477954
1924,1254.75,-406.1474563913,729.6519860841,1011.2985625478,1115.7796359584,-1216.2890840146,1192.3347755259,-1235.0776292877,1219.5126200083,1187.1991434325,1020.7867268453,742.7467804634,573.9628615864,308.2830300339,390.8136967553,221.3160909944,295.2736563606
1925,860.25,-703.5356540088,259.6281149442,572.3845256756,694.037156203,-853.7893765207,784.9916721572,-856.9517391515,817.641585942,495.0430749323,820.1361499352,642.188459307,508.2740287578,105.2319487631,351.8780145786,75.2580843843,267.3804395205
1926,1751.75,-1751.5574156999,-12.9876777706,868.365823275,1234.0739236297,-1751.7422964925,1514.8907375487,-1751.7460696376,1617.1606380039,-25.9746416101,1751.7018532633,1521.3707173033,1243.2576617569,-5.1951110888,879.6215753317,-3.7107962991,673.3643392628
1927,1408.25,-1127.1681774113,-444.8783410442,428.6903200823,823.6103868713,-1396.6274470975,1137.2931033282,-1402.3161232476,1253.5982988604,-844.1918989965,1336.1329739849,1341.4144296107,1142.293304339,-180.5542481195,830.5013302952,-129.1416005002,641.6068637369
1928,1069.25,-315.9522509982,-634.6115418586,106.7355178015,482.0462484906,-1034.8986477869,792.9131462239,-1051.6774891227,910.6930091141,-1021.5036649906,860.5601393511,1063.9093437599,954.4249456171,-268.8500535781,717.3453178528,-193.0544518332,560.2979614908
1929,1076.25,346.7469027071,-875.0715446575,-117.4471326892,329.0275919755,-999.5688304422,718.3006285474,-1036.8955513696,869.6062351328,-1018.8624283794,626.5491634587,1069.822524311,1024.7218677372,-398.9689407817,801.4725631788,-288.3776656573,634.1128119808
1930,1094.5,894.107361948,-1043.199587244,-342.9186452058,167.5534269441,-957.6847640955,641.329007929,-1023.9624756612,831.0588053172,-631.2703662539,331.1568679251,1039.3926364807,1081.5988623881,-529.8774788755,886.9201506274,-386.5631881565,712.2299573205
1931,1261.25,1261.1395261182,-1261.2223812272,-635.4378581152,-4.1733785621,-1018.4066675094,628.2139619398,-1135.3102314189,890.3616930182,16.6930573081,-8.3467114298,1089.4816616052,1261.2430952879,-744.0426211397,1093.6630104945,-549.3835098869,893.3127213388
1932,1094.5,877.0854364712,-1038.725242838,-735.8588076407,-174.7075724086,-795.9178964797,443.0196299473,-938.5347059265,709.4761489997,654.7147372178,-344.9349502314,810.2111238546,1080.4663410505,-751.2955158014,1000.8315829756,-563.1011061714,833.4109694506
1933,1738,516.2046942905,-1399.6084735877,-1410.3492632419,-542.2750560853,-1104.4650785982,533.5995598226,-1404.2306290782,1019.3551766984,1659.5712439038,-1030.4077448571,1015.6569084456,1651.2364347808,-1341.9392274456,1654.0603101934,-1024.0997707053,1407.6785939049
1934,1334.5,-427.9374395877,-777.7556611399,-1221.338036081,-609.4978753896,-712.29136471,274.7859538349,-1003.4320138111,695.5268992974,1264.0252362193,-1084.4290578756,537.7951762723,1187.1826270189,-1128.5084234331,1305.9031088006,-879.7809066233,1138.9172851238
1935,1133.25,-924.7204380404,-343.7412734098,-1109.4164019847,-668.8463068629,-480.0599319147,116.2097778821,-781.7459147335,512.974407377,655.0936375591,-1079.8599443699,231.1943111481,914.8224856746,-1026.5466498265,1127.2758535623,-820.4443230942,1010.5012715857
1936,985.5,-985.433203139,5.7370857793,-985.492578052,-698.8791555181,-302.3528948117,-1.912371528,-613.1667904811,375.8090221355,-11.473977128,-985.4833006433,-3.8247358548,694.8224060739,-937.9728018439,985.4981445113,-771.5158696042,911.0311898511
1937,1307.25,-1048.8182693622,410.9956690017,-1277.6483689158,-1059.7586165733,-242.0452431984,-139.0984044387,-718.3941351166,402.2021326302,-780.3094260306,-1240.961370294,-276.6174396287,765.3850253949,-1284.6465127595,1299.8285257612,-1092.1595254953,1243.8392207226
1938,906.25,-270.5438660985,536.7069423104,-826.5427135283,-808.6036510457,-54.9128710537,-190.0456897235,-428.1881987307,210.3473362559,-864.9248979053,-730.2292246794,-371.6398864671,409.2055693849,-904.5847882275,886.0991470019,-798.7139218567,881.5004598014
1939,654.25,208.8127456711,531.3467800577,-527.9260270789,-622.7666871922,42.4762982267,-203.2823889121,-256.2178144334,101.4838839533,-620.0324989428,-381.7245889674,-386.4416805065,200.511136408,-652.8696857635,621.8676168271,-601.9929352301,646.3312492815
1940,1031.5,840.7427489051,982.6541597876,-687.5546532113,-1019.2153883799,195.3846312033,-421.1766999803,-317.2975260329,79.5976660654,-597.615160587,-313.6607279405,-768.9348794582,158.7206416619,-1012.8262910734,941.5956867965,-981.4858786419,1028.4242614587
1941,1069,1068.9460102438,1068.9865024758,-531.3955138263,-1068.9966256136,332.3821066715,-536.0499956719,-236.3782746422,-1.3429853035,10.7437043808,5.3719200179,-927.5666056329,-2.6859684874,-1016.0133538319,924.8845344908,-1042.538397987,1068.9991564031
1942,1541.25,1238.0221951149,1463.4809993165,-471.5148986858,-1521.6835500025,658.9454346433,-907.9452695236,-204.7634634367,-122.7941184638,918.0155809695,483.3993454066,-1467.3531486378,-244.8075492131,-1393.2847794556,1245.4264129405,-1527.5874726317,1536.3506002767
1943,1193,357.9606184017,961.8461461568,-120.978981675,-1133.7397083028,641.136613442,-799.6627648146,-51.9210070576,-188.0126697789,1138.0304019109,705.7627017089,-1186.8500688768,-371.3263710235,-1006.0779507097,885.3182832005,-1191.869627529,1178.0917774107
1944,1729.5,-549.3822090914,1010.201395608,185.9955767521,-1539.2065429474,1104.8469201002,-1287.0216781377,79.8384642549,-405.6553549336,1639.9236074689,1403.8031878835,-1719.46965528,-788.6783046008,-1330.5951800398,1155.3118410211,-1727.6562359525,1681.253693829
1945,1715.5,-1396.6646192211,522.9541546475,534.8893241389,-1385.6529331506,1252.6050221853,-1389.3420899045,232.4083370915,-531.9081890609,996.1265940712,1633.8479739979,-1629.9796504626,-1011.3882532693,-1172.1437234384,1006.3144673609,-1699.684269166,1630.9549130525
1946,1366.75,-1366.7011160206,-5.7798001192,686.7092588892,-964.3925602904,1107.0813110449,-1184.6023472218,305.7402370286,-524.3672523733,-11.5594968761,1366.7377789505,-1181.7089135044,-968.4795052847,-801.4839569418,681.7058320541,-1332.1142856233,1262.1586854031
1947,1315.25,-1057.7321187082,-411.5218058433,882.7226041586,-770.9177995625,1153.5922788878,-1202.2652510199,407.8887792557,-598.3029862141,-781.7194685774,1249.2126983887,-975.0299311341,-1065.6304747978,-631.7494887932,533.329943553,-1250.4036573272,1171.2882220817
1948,889.75,-268.3216403877,-525.7926791831,721.1837834927,-402.387267565,827.7799321979,-846.560196874,350.6078746155,-465.6345085923,-848.3269179978,717.7723323015,-521.1036489291,-793.5613079035,-326.2444579614,273.8446559068,-817.7586323345,758.181750577
1949,1203.25,380.3993184861,-976.0958053563,1100.4440008486,-369.6777547439,1165.8953600902,-1177.2679827722,571.3177282257,-708.1651657997,-1141.5370869995,703.5961492688,-486.655487482,-1145.0541123229,-297.4870952161,248.6979276944,-1058.9648794531,972.7860301463
1950,1571.25,1277.7695930328,-1496.0818887268,1537.6922631692,-243.0101796613,1559.1415497112,-1562.8380483922,866.9421491776,-1021.5176987471,-914.402225293,480.1724114562,-323.0001026154,-1552.3442321473,-194.6899855263,162.3693228344,-1310.434230505,1193.8710791565
1951,695.75,695.7336048556,-695.7459012018,695.7481783109,1.1940977417,695.7493441918,-695.7495445776,434.326297321,-492.3915393281,4.7763557934,-2.388191966,1.5921297143,-695.7489752997,0.9552783622,-0.7960653782,-543.5335591805,491.5471844067
1952,1214.75,978.058038272,-1154.0609958947,1187.6508339132,191.9921453301,1204.970959335,-1207.9562105052,840.2891265347,-924.3484248485,720.4304520712,-379.1579885148,255.1530113583,-1199.4817958734,153.8263620429,-128.2940216922,-877.2295858711,788.160866816
1953,1444.25,437.7345882196,-1165.773614716,1318.1656739336,448.4359036955,1398.4277599895,-1412.3772224655,1088.4684708451,-1169.0833196168,1376.3162764337,-852.5432198616,590.1671954313,-1372.8668190239,360.9125414705,-301.7426783879,-949.2599488423,847.9989706915
1954,1449.25,-455.9801967518,-848.3797093158,1170.7876050792,659.8527368944,1346.8470813668,-1377.876899284,1173.1866042188,-1236.2477788543,1375.6480736984,-1174.9797578347,854.1556920685,-1290.3177624574,535.0967220174,-449.2001924749,-850.8576580026,756.3180493535
1955,1367.5,-1110.8074319248,-418.9433654104,913.1405717109,805.3419142828,1197.6119708545,-1248.7545759305,1174.4885584724,-1218.8850064263,797.598331982,-1301.7460223018,1017.9540983244,-1105.2061577368,660.1377259831,-557.3762275991,-700.4519084259,619.9803150981
1956,1588.5,-1588.4779209409,4.1876356954,791.8310392312,1124.7187002318,1284.1382079102,-1374.9828827696,1431.7077689679,-1467.982953804,-8.3752422882,-1588.4944802256,1377.0751088122,-1121.7575920621,935.0515028517,-795.4585608884,-688.1461431099,606.925281514
1957,1098.75,-885.6971455819,342.1197332747,337.8063904861,889.7065863068,800.2086726694,-888.3738892062,1028.9610312761,-1045.1833987881,-650.2246756376,-1044.1291350231,1045.5325939667,-644.7276578387,752.9393353283,-646.5627544768,-385.344986493,338.8852687823
1958,1464.25,-446.0181307286,863.4077873695,150.8055603511,1305.4257763573,932.3017255206,-1087.3925473913,1411.7402647816,-1423.9904767117,-1394.6669457478,-1182.6051983691,1456.4634377379,-663.2432471741,1129.088816299,-980.614863429,-388.6096850241,340.9973383099
