Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1927,3239.75,-2593.1071207301,-1023.4650135971,986.2236566567,1894.7571460083,-3213.011732103,2616.4000223736,-3226.0988178885,2883.9659781523,-1942.1059504874,3073.8411521162,3085.9914065906,2627.9032364512,-415.3741348092,1910.6101081653,-297.0967514437,1476.0488810876
1928,2999.5,-886.321044535,-1780.235978307,299.4184574661,1352.2541242437,-2903.1363049209,2224.3095460355,-2950.2049367533,2554.7100124739,-2865.5601993353,2414.0754154627,2984.5181918241,2677.3884726475,-754.1882026724,2012.3238540094,-541.5635522784,1571.7687495829
1929,3346.5,1078.1774772675,-2720.9541688235,-365.1910146753,1023.0809166513,-3108.066983577,2233.4894805426,-3224.1309757569,2703.960293493,-3168.058644898,1948.1967716743,3326.5143578227,3186.2780305529,-1240.5570827651,2492.1049316402,-896.6837241553,1971.7152383682
1930,2991.25,2443.5803073797,-2851.0468390531,-937.190861098,457.9206837338,-2617.3362728191,1752.741338481,-2798.4721382564,2271.269667798,-1725.2512408013,905.0461225956,2840.6425069647,2955.9914089707,-1448.1461934091,2423.9377803235,-1056.4706592721,1946.5124347511
1931,2719,2718.7618406466,-2718.9404595097,-1369.875549031,-8.9969604046,-2195.4788733066,1354.3022894068,-2447.499321489,1919.4397964849,35.9868565477,-17.9938223015,2348.7021906081,2718.9851148367,-1604.0054603599,2357.7163334268,-1184.3597727512,1925.801616904
1932,2770.25,2219.95973539,-2629.080497005,-1862.5060409927,-442.1961192005,-2014.5194634289,1121.3112196085,-2375.4917945116,1795.7298325869,1657.1251720215,-873.0525773217,2050.6965425839,2734.7299052492,-1901.5773436719,2533.1692030498,-1425.2451707367,2109.4168461586
1933,3740.5,1110.9687335982,-3012.2183518152,-3035.3345334616,-1167.077012248,-2377.0147448196,1148.4057269944,-3022.1660920985,2193.8423696436,3571.7066961002,-2217.6295567538,2185.8830069278,3553.7686330827,-2888.1033833487,3559.8461394008,-2204.053620439,3029.5867551791
1934,3282,-1052.4471163183,-1912.7718844969,-3003.6953423889,-1498.9674237757,-1751.7723933895,675.7943053473,-2467.7885869825,1710.5427377251,3108.6780256812,-2666.9885110136,1322.6255290563,2919.695303017,-2775.3950136437,3211.6702908082,-2163.6874751126,2800.9940275581
1935,3003.75,-2451.0293543029,-911.1077432205,-2940.5775578748,-1772.8189669001,-1272.4288731425,308.0212841943,-2072.0664384564,1359.6707488716,1736.3666567996,-2862.2363184656,612.7949809054,2424.7942125259,-2720.9260969922,2987.9151512356,-2174.6389900677,2678.3968184649
1936,3744.75,-3744.4961820953,21.8000527366,-3744.7217977274,-2655.6344166682,-1148.894980057,-7.2667207301,-2329.9404755496,1428.0170833505,-43.5993666667,-3744.6865449862,-14.5334140967,2640.2193862457,-3564.1538809793,3744.7429494252,-2931.6428743787,3461.7798561086
1937,3035.25,-2435.2079954726,954.2739371485,-2966.5191904775,-2460.6099376202,-561.9948934159,-322.9668633182,-1668.0097904858,933.8565867783,-1811.7683575133,-2881.3371575328,-642.2666541466,1777.1160056071,-2982.7678927926,3018.0183842546,-2535.8402752034,2888.0191200598
1938,2561,-764.5383073966,1516.6968046972,-2335.7527054853,-2285.058152086,-155.1799865032,-537.0560125593,-1210.0303193925,594.4270655462,-2444.2181114874,-2063.5774283078,-1050.2286888189,1156.386718008,-2556.2942263732,2504.0550791414,-2257.1104594483,2491.0595062636
1939,3241.75,1034.6484039422,2632.7755815849,-2615.82605775,-3085.7530121595,210.4662434488,-1007.2459828138,-1269.5362628038,502.8435319918,-3072.2053549071,-1891.4110604282,-1914.7838254215,993.5146755074,-3234.910666907,3081.2981992345,-2982.8209366179,3202.5133012736
1940,3634.5,2962.3650226812,3462.3912203082,-2422.6053195314,-3591.2150548394,688.4395948701,-1484.0200834496,-1118.0008321537,280.4631287587,-2105.7026671387,-1105.1865396993,-2709.3493159389,559.2536811635,-3568.7030100886,3317.721302629,-3458.2747706485,3623.6626061772
1941,2832.25,2832.1069574491,2832.2142391365,-1407.8998541016,-2832.24105977,880.6260258375,-1420.231618561,-626.2697552436,-3.558157274,28.4647864662,14.232572938,-2457.5308875619,-7.1163089322,-2691.8651275868,2450.4249044073,-2762.1416068274,2832.2477649416
1942,3228.25,2593.11931963,3065.3576876195,-987.6191219352,-3187.2667771586,1380.2047684589,-1901.7513812421,-428.8906088172,-257.2003976842,1922.8443142027,1012.5118811412,-3073.4681603179,-512.7655933477,-2918.3270652248,2608.6279432766,-3199.6329333485,3217.9878834345
1943,3598,1079.5828206281,2900.8570275541,-364.8636848839,-3419.2753314949,1933.6207335827,-2411.7239126596,-156.5899274042,-567.0323435578,3432.2157469199,2128.5282487414,-3579.4522613737,-1119.8929446292,-3034.2568873876,2670.0546378504,-3594.5908800079,3553.0379003551
1944,3232.5,-1026.8158374605,1888.1040828579,347.6326694717,-2876.8344319615,2065.0000978455,-2405.4915146459,149.2210671894,-758.184986888,3065.078381696,2623.7605116122,-3213.7529116465,-1474.06916428,-2486.9320147318,2159.3209170863,-3229.0539362338,3142.325854468
1945,3135.5,-2552.7495852916,955.8278938486,977.6423642305,-2532.6230089733,2289.4450871828,-2539.365854209,424.7836438067,-972.1936034978,1820.6674064182,2986.2607534073,-2979.1904366223,-1848.5618584237,-2142.3821887737,1839.2882613874,-3106.5928452171,2980.9729699073
