Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1937,3617.25,-2902.1517573917,1137.253076073,-3535.3402657952,-2932.4244450561,-669.7557131072,-384.8947817602,-1987.8456188567,1112.9207605712,-2159.1694559641,-3433.8248358736,-765.4193409808,2117.8726204703,-3554.7046075954,3596.7142740943,-3022.0799721536,3441.7880444893
1938,4113.75,-1228.0825701104,2436.2793753702,-3751.9338899609,-3670.502918057,-249.2665636383,-862.6763653518,-1943.6791200316,954.8318394731,-3926.1625365605,-3314.7370736826,-1686.9887811905,1857.5110742699,-4106.1910869749,4022.2790245287,-3625.610368042,4001.4041561467
1939,3725.25,1188.9639752559,3025.4483644017,-3005.9708557518,-3545.9863988732,241.8568283821,-1157.4745422926,-1458.8848501611,577.8415570455,-3530.4181378477,-2173.510928622,-2200.3696909545,1141.6952402048,-3717.3905951709,3540.867160237,-3427.7022269256,3680.1612325347
1940,3547.25,2891.2503306386,3379.2728728129,-2364.448127585,-3505.0041555315,671.912877398,-1448.3946185215,-1091.1620448087,273.7303159965,-2055.1530570938,-1078.6553729394,-2644.308532388,545.8282075958,-3483.0325361223,3238.0759088598,-3375.2552428622,3536.6727692288
1941,3539.75,3539.5712252204,3539.7053060229,-1759.595201185,-3539.7388264881,1100.6076352576,-1775.0074576048,-782.7128135311,-4.4469899234,35.5753298239,17.7878895074,-3071.4255306725,-8.8939728282,-3364.29679067,3062.5444630156,-3452.1284324362,3539.7472066209
1942,4049,3252.3937505404,3844.6939602482,-1238.7113218355,-3997.597206138,1731.1079090808,-2385.2524874621,-537.9317200034,-322.5910044834,2411.708085869,1269.9328139831,-3854.866438822,-643.131073326,-3660.2822851685,3271.8452853178,-4013.1073328051,4036.1288438089
1943,3880,1164.1971495378,3128.217139219,-393.4605606864,-3687.2674503058,2085.1718861314,-2600.7472988102,-168.8629567338,-611.4745672607,3701.2220950665,2295.3556434454,-3859.9985475625,-1207.666655131,-3272.0724633307,2879.3251792272,-3876.3236838328,3831.5139114446
1944,3569.5,-1133.8651606543,2084.9458696864,383.8746523369,-3176.7549899107,2280.2839440865,-2656.2728419269,164.7779116265,-837.22855706,3384.6240629432,2897.2971836658,-3548.7984588158,-1627.7462898368,-2746.2038133287,2384.4380552327,-3565.6946714266,3469.92486853
1945,4113.5,-3348.9827520642,1253.9620607068,1282.5807256458,-3322.5784555611,3003.5504277233,-3331.4244749764,557.2787494176,-1275.4324311875,2388.5553743585,3917.7112451415,-3908.4356118788,-2425.1504400019,-2810.6168501102,2412.9842969916,-4075.5763574552,3910.7741386425
1946,3688,-3687.8680928363,-15.5960510991,1852.9970709958,-2602.2899303831,2987.3172673375,-3196.497864682,825.0009103066,-1414.9379379936,-31.1918232881,3687.9670230616,-3188.690304009,-2613.3180285275,-2162.7019083238,1839.4959638672,-3594.5399563774,3405.7737199683
1947,4543.25,-3653.709521628,-1421.5141185306,3049.176560611,-2662.9707605873,3984.837955565,-4152.968334306,1408.9646047165,-2066.7097830201,-2700.2828174221,4315.1382565705,-3368.0324916367,-3680.9927045238,-2182.2435772362,1842.2742946565,-4319.2521696651,4045.9648089509
1948,4203,-1267.4974482153,-2483.7388374335,3406.7271053888,-1900.7964996636,3910.2658668476,-3998.9800589619,1656.2010643537,-2199.56374219,-4007.3256941217,3390.6120962777,-2461.5888018532,-3748.6239697877,-1541.1131855145,1293.5870624065,-3862.9272623793,3581.4980586402
1949,4044.75,1278.7202521891,-3281.1664315104,3699.1654871659,-1242.6794917935,3919.181597943,-3957.4109065596,1920.4964730861,-2380.5119919955,-3837.3007543248,2365.1531475212,-1635.9025829984,-3849.123308388,-1000.0090823812,836.0032769929,-3559.7325544715,3270.0405530308
1950,3910.75,3180.2943108691,-3723.6609364127,3827.2267418864,-604.8382244139,3880.6127704267,-3889.8131409704,2157.7686618275,-2542.4982277647,-2275.8940350451,1195.1212462066,-803.9284972495,-3863.694641763,-484.5720673967,404.1278149719,-3261.5946965458,2971.4757822189
